county,precinct,office,district,candidate,party,votes,election_day,absentee,provisional,military,federal
Cumberland,SOUTH MIDDLETON 6,Registered Voters,,,,1305,,,,,
Cumberland,SOUTH MIDDLETON 7,Registered Voters,,,,1099,,,,,
Cumberland,SOUTH MIDDLETON 8,Registered Voters,,,,1263,,,,,
Cumberland,SOUTH MIDDLETON 9,Registered Voters,,,,1273,,,,,
Cumberland,SOUTH NEWTON,Registered Voters,,,,737,,,,,
Cumberland,SOUTHAMPTON LOWER,Registered Voters,,,,914,,,,,
Cumberland,SOUTHAMPTON UPPER 1,Registered Voters,,,,998,,,,,
Cumberland,SOUTHAMPTON UPPER 2,Registered Voters,,,,2249,,,,,
Cumberland,UPPER ALLEN 1,Registered Voters,,,,1124,,,,,
Cumberland,UPPER ALLEN 2,Registered Voters,,,,809,,,,,
Cumberland,UPPER ALLEN 3,Registered Voters,,,,1414,,,,,
Cumberland,UPPER ALLEN 4,Registered Voters,,,,1605,,,,,
Cumberland,UPPER ALLEN 5,Registered Voters,,,,1430,,,,,
Cumberland,UPPER ALLEN 6,Registered Voters,,,,1545,,,,,
Cumberland,UPPER ALLEN 7,Registered Voters,,,,1074,,,,,
Cumberland,UPPER ALLEN 8,Registered Voters,,,,2177,,,,,
Cumberland,UPPER ALLEN 9,Registered Voters,,,,1579,,,,,
Cumberland,UPPER ALLEN 10,Registered Voters,,,,1295,,,,,
Cumberland,UPPER FRANKFORD,Registered Voters,,,,1303,,,,,
Cumberland,UPPER MIFFLIN,Registered Voters,,,,764,,,,,
Cumberland,WEST PENNSBORO LOWER,Registered Voters,,,,1651,,,,,
Cumberland,WEST PENNSBORO UPPER,Registered Voters,,,,1957,,,,,
Cumberland,WORMLEYSBURG 1,Registered Voters,,,,888,,,,,
Cumberland,WORMLEYSBURG 2,Registered Voters,,,,1105,,,,,
Cumberland,Total,Registered Voters,,,,172256,,,,,
Cumberland,CAMP HILL 1,Ballots Cast,,,,732,700.0,31.0,0.0,1.0,0.0
Cumberland,CAMP HILL 2,Ballots Cast,,,,976,924.0,47.0,0.0,1.0,4.0
Cumberland,CAMP HILL 3,Ballots Cast,,,,1264,1199.0,63.0,1.0,0.0,1.0
Cumberland,CAMP HILL 4,Ballots Cast,,,,506,496.0,10.0,0.0,0.0,0.0
Cumberland,CAMP HILL 5,Ballots Cast,,,,713,687.0,25.0,0.0,1.0,0.0
Cumberland,CARLISLE 1-1,Ballots Cast,,,,288,280.0,7.0,0.0,0.0,1.0
Cumberland,CARLISLE 1-2,Ballots Cast,,,,354,345.0,9.0,0.0,0.0,0.0
Cumberland,CARLISLE 2,Ballots Cast,,,,647,620.0,24.0,2.0,1.0,0.0
Cumberland,CARLISLE 3-1,Ballots Cast,,,,676,630.0,42.0,0.0,1.0,3.0
Cumberland,CARLISLE 3-2,Ballots Cast,,,,1039,954.0,84.0,1.0,0.0,0.0
Cumberland,CARLISLE 3-3,Ballots Cast,,,,1378,1247.0,128.0,0.0,3.0,0.0
Cumberland,CARLISLE 4-1,Ballots Cast,,,,277,262.0,15.0,0.0,0.0,0.0
Cumberland,CARLISLE 4-2,Ballots Cast,,,,1409,1349.0,51.0,1.0,7.0,1.0
Cumberland,CARLISLE 5,Ballots Cast,,,,1445,1392.0,49.0,1.0,3.0,0.0
Cumberland,COOKE,Ballots Cast,,,,106,103.0,3.0,0.0,0.0,0.0
Cumberland,DICKINSON NORTH,Ballots Cast,,,,1887,1765.0,118.0,1.0,2.0,1.0
Cumberland,DICKINSON SOUTH,Ballots Cast,,,,619,598.0,20.0,1.0,0.0,0.0
Cumberland,EAST PENNSBORO 1,Ballots Cast,,,,984,924.0,60.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 2,Ballots Cast,,,,876,848.0,27.0,0.0,0.0,1.0
Cumberland,EAST PENNSBORO 3,Ballots Cast,,,,1286,1245.0,39.0,0.0,2.0,0.0
Cumberland,EAST PENNSBORO 4,Ballots Cast,,,,882,856.0,26.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 5,Ballots Cast,,,,792,775.0,17.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 6,Ballots Cast,,,,341,326.0,12.0,2.0,0.0,1.0
Cumberland,EAST PENNSBORO 7,Ballots Cast,,,,987,938.0,47.0,0.0,2.0,0.0
Cumberland,EAST PENNSBORO 8,Ballots Cast,,,,895,864.0,31.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 9,Ballots Cast,,,,871,847.0,24.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 10,Ballots Cast,,,,584,558.0,25.0,0.0,0.0,1.0
Cumberland,HAMPDEN 1,Ballots Cast,,,,768,756.0,12.0,0.0,0.0,0.0
Cumberland,HAMPDEN 2,Ballots Cast,,,,832,798.0,33.0,1.0,0.0,0.0
Cumberland,HAMPDEN 3,Ballots Cast,,,,966,911.0,54.0,0.0,0.0,1.0
Cumberland,HAMPDEN 4,Ballots Cast,,,,979,929.0,48.0,0.0,1.0,1.0
Cumberland,HAMPDEN 5,Ballots Cast,,,,1015,964.0,50.0,0.0,0.0,1.0
Cumberland,HAMPDEN 6,Ballots Cast,,,,1460,1394.0,64.0,1.0,0.0,1.0
Cumberland,HAMPDEN 7,Ballots Cast,,,,791,738.0,51.0,0.0,0.0,2.0
Cumberland,HAMPDEN 8,Ballots Cast,,,,617,594.0,21.0,0.0,2.0,0.0
Cumberland,HAMPDEN 9,Ballots Cast,,,,1035,967.0,66.0,0.0,1.0,1.0
Cumberland,HAMPDEN 10,Ballots Cast,,,,2596,2436.0,157.0,0.0,0.0,3.0
Cumberland,HAMPDEN 11,Ballots Cast,,,,2315,2194.0,117.0,0.0,1.0,3.0
Cumberland,HAMPDEN 12,Ballots Cast,,,,1461,1388.0,73.0,0.0,0.0,0.0
Cumberland,HOPEWELL,Ballots Cast,,,,822,800.0,22.0,0.0,0.0,0.0
Cumberland,LEMOYNE 1,Ballots Cast,,,,388,381.0,6.0,1.0,0.0,0.0
Cumberland,LEMOYNE 2,Ballots Cast,,,,334,322.0,11.0,0.0,1.0,0.0
Cumberland,LEMOYNE 3,Ballots Cast,,,,936,872.0,62.0,0.0,0.0,2.0
Cumberland,LEMOYNE 4,Ballots Cast,,,,297,290.0,7.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 1 ANNEX,Ballots Cast,,,,182,179.0,3.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 1,Ballots Cast,,,,677,667.0,10.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 2,Ballots Cast,,,,2056,1958.0,94.0,0.0,2.0,2.0
Cumberland,LOWER ALLEN 3,Ballots Cast,,,,1016,973.0,41.0,0.0,1.0,1.0
Cumberland,LOWER ALLEN 4,Ballots Cast,,,,734,706.0,27.0,0.0,0.0,1.0
Cumberland,LOWER ALLEN 5,Ballots Cast,,,,1882,1782.0,99.0,0.0,0.0,1.0
Cumberland,LOWER ALLEN 6,Ballots Cast,,,,1165,1117.0,45.0,0.0,0.0,3.0
Cumberland,LOWER FRANKFORD,Ballots Cast,,,,663,638.0,23.0,0.0,0.0,2.0
Cumberland,LOWER MIFFLIN,Ballots Cast,,,,589,576.0,13.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 1,Ballots Cast,,,,440,425.0,14.0,0.0,1.0,0.0
Cumberland,MECHANICSBURG 2-1,Ballots Cast,,,,752,720.0,32.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 2-2,Ballots Cast,,,,966,929.0,37.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 3,Ballots Cast,,,,684,664.0,20.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 4,Ballots Cast,,,,402,385.0,14.0,0.0,2.0,1.0
Cumberland,MECHANICSBURG 5,Ballots Cast,,,,708,687.0,20.0,0.0,1.0,0.0
Cumberland,MIDDLESEX 1,Ballots Cast,,,,1703,1621.0,79.0,2.0,0.0,1.0
Cumberland,MIDDLESEX 2,Ballots Cast,,,,867,826.0,40.0,0.0,0.0,1.0
Cumberland,MONROE 1,Ballots Cast,,,,1691,1591.0,98.0,2.0,0.0,0.0
Cumberland,MONROE 2,Ballots Cast,,,,1291,1231.0,58.0,1.0,0.0,1.0
Cumberland,MT HOLLY SPRINGS,Ballots Cast,,,,619,600.0,19.0,0.0,0.0,0.0
Cumberland,NEW CUMBERLAND 1-1,Ballots Cast,,,,1026,1000.0,22.0,0.0,4.0,0.0
Cumberland,NEW CUMBERLAND 2-1,Ballots Cast,,,,834,819.0,14.0,0.0,1.0,0.0
Cumberland,NEW CUMBERLAND 2-2,Ballots Cast,,,,889,845.0,44.0,0.0,0.0,0.0
Cumberland,NEW CUMBERLAND 2-3,Ballots Cast,,,,648,623.0,24.0,1.0,0.0,0.0
Cumberland,NEWBURG,Ballots Cast,,,,117,115.0,2.0,0.0,0.0,0.0
Cumberland,NEWVILLE NORTH,Ballots Cast,,,,230,225.0,5.0,0.0,0.0,0.0
Cumberland,NEWVILLE SOUTH,Ballots Cast,,,,188,185.0,3.0,0.0,0.0,0.0
Cumberland,NORTH MIDDLETON 1,Ballots Cast,,,,1447,1392.0,52.0,0.0,2.0,1.0
Cumberland,NORTH MIDDLETON 2,Ballots Cast,,,,1070,1041.0,29.0,0.0,0.0,0.0
Cumberland,NORTH MIDDLETON 3,Ballots Cast,,,,2061,1959.0,99.0,0.0,3.0,0.0
Cumberland,NORTH NEWTON,Ballots Cast,,,,813,790.0,23.0,0.0,0.0,0.0
Cumberland,PENN,Ballots Cast,,,,1071,1042.0,29.0,0.0,0.0,0.0
Cumberland,SHIPPENSBURG EAST,Ballots Cast,,,,591,562.0,29.0,0.0,0.0,0.0
Cumberland,SHIPPENSBURG MIDDLE,Ballots Cast,,,,544,525.0,16.0,0.0,1.0,2.0
Cumberland,SHIPPENSBURG TWP,Ballots Cast,,,,891,872.0,14.0,5.0,0.0,0.0
Cumberland,SHIREMANSTOWN,Ballots Cast,,,,716,698.0,17.0,0.0,0.0,1.0
Cumberland,SILVER SPRING 1,Ballots Cast,,,,1261,1207.0,51.0,0.0,1.0,2.0
Cumberland,SILVER SPRING 2,Ballots Cast,,,,911,862.0,46.0,0.0,0.0,3.0
Cumberland,SILVER SPRING 3,Ballots Cast,,,,842,817.0,25.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 4,Ballots Cast,,,,1154,1093.0,61.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 5,Ballots Cast,,,,866,822.0,44.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 6,Ballots Cast,,,,584,538.0,46.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 7,Ballots Cast,,,,1429,1360.0,67.0,0.0,1.0,1.0
Cumberland,SILVER SPRING 8,Ballots Cast,,,,802,758.0,43.0,0.0,1.0,0.0
Cumberland,SILVER SPRING 9,Ballots Cast,,,,676,639.0,35.0,0.0,2.0,0.0
Cumberland,SOUTH MIDDLETON 1,Ballots Cast,,,,824,779.0,42.0,0.0,3.0,0.0
Cumberland,SOUTH MIDDLETON 2,Ballots Cast,,,,810,764.0,44.0,0.0,0.0,2.0
Cumberland,SOUTH MIDDLETON 3,Ballots Cast,,,,830,785.0,43.0,0.0,1.0,1.0
Cumberland,SOUTH MIDDLETON 4,Ballots Cast,,,,886,782.0,104.0,0.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 5,Ballots Cast,,,,698,668.0,29.0,1.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 6,Ballots Cast,,,,906,858.0,47.0,0.0,1.0,0.0
Cumberland,SOUTH MIDDLETON 7,Ballots Cast,,,,768,724.0,43.0,0.0,0.0,1.0
Cumberland,SOUTH MIDDLETON 8,Ballots Cast,,,,871,832.0,38.0,1.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 9,Ballots Cast,,,,846,787.0,57.0,0.0,2.0,0.0
Cumberland,SOUTH NEWTON,Ballots Cast,,,,446,434.0,12.0,0.0,0.0,0.0
Cumberland,SOUTHAMPTON LOWER,Ballots Cast,,,,529,512.0,17.0,0.0,0.0,0.0
Cumberland,SOUTHAMPTON UPPER 1,Ballots Cast,,,,534,519.0,14.0,0.0,0.0,1.0
Cumberland,SOUTHAMPTON UPPER 2,Ballots Cast,,,,1283,1246.0,36.0,0.0,1.0,0.0
Cumberland,UPPER ALLEN 1,Ballots Cast,,,,829,791.0,36.0,0.0,2.0,0.0
Cumberland,UPPER ALLEN 2,Ballots Cast,,,,400,380.0,20.0,0.0,0.0,0.0
Cumberland,UPPER ALLEN 3,Ballots Cast,,,,996,958.0,37.0,1.0,0.0,0.0
Cumberland,UPPER ALLEN 4,Ballots Cast,,,,1050,1004.0,41.0,0.0,3.0,2.0
Cumberland,UPPER ALLEN 5,Ballots Cast,,,,1000,945.0,52.0,1.0,1.0,1.0
Cumberland,UPPER ALLEN 6,Ballots Cast,,,,997,950.0,46.0,0.0,1.0,0.0
Cumberland,UPPER ALLEN 7,Ballots Cast,,,,752,717.0,34.0,0.0,0.0,1.0
Cumberland,UPPER ALLEN 8,Ballots Cast,,,,1514,1447.0,65.0,0.0,1.0,1.0
Cumberland,UPPER ALLEN 9,Ballots Cast,,,,1032,996.0,36.0,0.0,0.0,0.0
Cumberland,UPPER ALLEN 10,Ballots Cast,,,,744,720.0,18.0,6.0,0.0,0.0
Cumberland,UPPER FRANKFORD,Ballots Cast,,,,789,767.0,22.0,0.0,0.0,0.0
Cumberland,UPPER MIFFLIN,Ballots Cast,,,,472,447.0,25.0,0.0,0.0,0.0
Cumberland,WEST PENNSBORO LOWER,Ballots Cast,,,,1044,1006.0,36.0,0.0,2.0,0.0
Cumberland,WEST PENNSBORO UPPER,Ballots Cast,,,,1236,1181.0,55.0,0.0,0.0,0.0
Cumberland,WORMLEYSBURG 1,Ballots Cast,,,,489,461.0,25.0,2.0,0.0,1.0
Cumberland,WORMLEYSBURG 2,Ballots Cast,,,,619,597.0,20.0,1.0,1.0,0.0
Cumberland,Total,Ballots Cast,,,,105368,100587.0,4608.0,37.0,72.0,64.0
Cumberland,CAMP HILL 1,Straight Party,,,DEM,222,211.0,10.0,0.0,1.0,0.0
Cumberland,CAMP HILL 2,Straight Party,,,DEM,245,230.0,15.0,0.0,0.0,0.0
Cumberland,CAMP HILL 3,Straight Party,,,DEM,334,317.0,17.0,0.0,0.0,0.0
Cumberland,CAMP HILL 4,Straight Party,,,DEM,163,160.0,3.0,0.0,0.0,0.0
Cumberland,CAMP HILL 5,Straight Party,,,DEM,241,229.0,12.0,0.0,0.0,0.0
Cumberland,CARLISLE 1-1,Straight Party,,,DEM,124,119.0,5.0,0.0,0.0,0.0
Cumberland,CARLISLE 1-2,Straight Party,,,DEM,126,122.0,4.0,0.0,0.0,0.0
Cumberland,CARLISLE 2,Straight Party,,,DEM,257,248.0,8.0,1.0,0.0,0.0
Cumberland,CARLISLE 3-1,Straight Party,,,DEM,242,227.0,15.0,0.0,0.0,0.0
Cumberland,CARLISLE 3-2,Straight Party,,,DEM,369,345.0,24.0,0.0,0.0,0.0
Cumberland,CARLISLE 3-3,Straight Party,,,DEM,432,387.0,43.0,0.0,2.0,0.0
Cumberland,CARLISLE 4-1,Straight Party,,,DEM,161,158.0,3.0,0.0,0.0,0.0
Cumberland,CARLISLE 4-2,Straight Party,,,DEM,664,636.0,23.0,1.0,4.0,0.0
Cumberland,CARLISLE 5,Straight Party,,,DEM,558,542.0,15.0,1.0,0.0,0.0
Cumberland,COOKE,Straight Party,,,DEM,18,16.0,2.0,0.0,0.0,0.0
Cumberland,DICKINSON NORTH,Straight Party,,,DEM,384,359.0,25.0,0.0,0.0,0.0
Cumberland,DICKINSON SOUTH,Straight Party,,,DEM,90,85.0,5.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 1,Straight Party,,,DEM,242,222.0,20.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 2,Straight Party,,,DEM,211,206.0,5.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 3,Straight Party,,,DEM,460,445.0,15.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 4,Straight Party,,,DEM,226,218.0,8.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 5,Straight Party,,,DEM,225,217.0,8.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 6,Straight Party,,,DEM,104,99.0,3.0,2.0,0.0,0.0
Cumberland,EAST PENNSBORO 7,Straight Party,,,DEM,230,212.0,17.0,0.0,1.0,0.0
Cumberland,EAST PENNSBORO 8,Straight Party,,,DEM,237,226.0,11.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 9,Straight Party,,,DEM,280,271.0,9.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 10,Straight Party,,,DEM,112,111.0,1.0,0.0,0.0,0.0
Cumberland,HAMPDEN 1,Straight Party,,,DEM,239,237.0,2.0,0.0,0.0,0.0
Cumberland,HAMPDEN 2,Straight Party,,,DEM,286,269.0,17.0,0.0,0.0,0.0
Cumberland,HAMPDEN 3,Straight Party,,,DEM,291,267.0,24.0,0.0,0.0,0.0
Cumberland,HAMPDEN 4,Straight Party,,,DEM,255,242.0,12.0,0.0,1.0,0.0
Cumberland,HAMPDEN 5,Straight Party,,,DEM,315,299.0,16.0,0.0,0.0,0.0
Cumberland,HAMPDEN 6,Straight Party,,,DEM,395,379.0,15.0,1.0,0.0,0.0
Cumberland,HAMPDEN 7,Straight Party,,,DEM,195,181.0,14.0,0.0,0.0,0.0
Cumberland,HAMPDEN 8,Straight Party,,,DEM,155,151.0,3.0,0.0,1.0,0.0
Cumberland,HAMPDEN 9,Straight Party,,,DEM,240,224.0,16.0,0.0,0.0,0.0
Cumberland,HAMPDEN 10,Straight Party,,,DEM,639,582.0,57.0,0.0,0.0,0.0
Cumberland,HAMPDEN 11,Straight Party,,,DEM,598,561.0,36.0,0.0,1.0,0.0
Cumberland,HAMPDEN 12,Straight Party,,,DEM,339,317.0,22.0,0.0,0.0,0.0
Cumberland,HOPEWELL,Straight Party,,,DEM,97,96.0,1.0,0.0,0.0,0.0
Cumberland,LEMOYNE 1,Straight Party,,,DEM,130,129.0,0.0,1.0,0.0,0.0
Cumberland,LEMOYNE 2,Straight Party,,,DEM,130,124.0,6.0,0.0,0.0,0.0
Cumberland,LEMOYNE 3,Straight Party,,,DEM,272,253.0,19.0,0.0,0.0,0.0
Cumberland,LEMOYNE 4,Straight Party,,,DEM,94,92.0,2.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 1 ANNEX,Straight Party,,,DEM,51,50.0,1.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 1,Straight Party,,,DEM,188,188.0,0.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 2,Straight Party,,,DEM,501,477.0,24.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 3,Straight Party,,,DEM,330,310.0,20.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 4,Straight Party,,,DEM,227,215.0,12.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 5,Straight Party,,,DEM,493,469.0,24.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 6,Straight Party,,,DEM,333,322.0,11.0,0.0,0.0,0.0
Cumberland,LOWER FRANKFORD,Straight Party,,,DEM,98,93.0,5.0,0.0,0.0,0.0
Cumberland,LOWER MIFFLIN,Straight Party,,,DEM,82,77.0,5.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 1,Straight Party,,,DEM,136,132.0,4.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 2-1,Straight Party,,,DEM,194,187.0,7.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 2-2,Straight Party,,,DEM,217,205.0,12.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 3,Straight Party,,,DEM,179,174.0,5.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 4,Straight Party,,,DEM,115,111.0,3.0,0.0,1.0,0.0
Cumberland,MECHANICSBURG 5,Straight Party,,,DEM,201,195.0,6.0,0.0,0.0,0.0
Cumberland,MIDDLESEX 1,Straight Party,,,DEM,271,253.0,17.0,1.0,0.0,0.0
Cumberland,MIDDLESEX 2,Straight Party,,,DEM,174,163.0,11.0,0.0,0.0,0.0
Cumberland,MONROE 1,Straight Party,,,DEM,325,305.0,20.0,0.0,0.0,0.0
Cumberland,MONROE 2,Straight Party,,,DEM,248,236.0,12.0,0.0,0.0,0.0
Cumberland,MT HOLLY SPRINGS,Straight Party,,,DEM,156,148.0,8.0,0.0,0.0,0.0
Cumberland,NEW CUMBERLAND 1-1,Straight Party,,,DEM,262,258.0,4.0,0.0,0.0,0.0
Cumberland,NEW CUMBERLAND 2-1,Straight Party,,,DEM,237,234.0,3.0,0.0,0.0,0.0
Cumberland,NEW CUMBERLAND 2-2,Straight Party,,,DEM,217,207.0,10.0,0.0,0.0,0.0
Cumberland,NEW CUMBERLAND 2-3,Straight Party,,,DEM,164,159.0,4.0,1.0,0.0,0.0
Cumberland,NEWBURG,Straight Party,,,DEM,19,17.0,2.0,0.0,0.0,0.0
