county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Lebanon,0001 LEBANON 1ST WARD EAST,Registered Voters,,,,703,,,
Lebanon,0001 LEBANON 1ST WARD EAST,Ballots Cast,,,,322,317.0,5.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,STRAIGHT PARTY,,DEM,DEMOCRATIC,72,71.0,1.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,STRAIGHT PARTY,,REP,REPUBLICAN,98,98.0,0.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,STRAIGHT PARTY,,GRN,GREEN,0,0.0,0.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,STRAIGHT PARTY,,LIB,LIBERTARIAN,3,3.0,0.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. Senate,,DEM,"BOB CASEY, JR",153,151.0,2.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. Senate,,REP,LOU BARLETTA,153,150.0,3.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. Senate,,GRN,NEAL GALE,1,1.0,0.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. Senate,,LIB,"DALE R KERNS, JR",7,7.0,0.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. Senate,,,WRITE-INS,0,0.0,0.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,Governor,,DEM,TOM WOLF,166,162.0,4.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,Governor,,REP,SCOTT R WAGNER,144,143.0,1.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,Governor,,GRN,PAUL GLOVER,0,0.0,0.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,Governor,,LIB,KEN V KRAWCHUK,5,5.0,0.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,Governor,,,WRITE-INS,0,0.0,0.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. House,9.0,DEM,DENNY WOLFF,161,158.0,3.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. House,9.0,REP,DAN MEUSER,153,151.0,2.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. House,9.0,,WRITE-INS,0,0.0,0.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,State Senate,48.0,DEM,LOIS HERR,130,128.0,2.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,State Senate,48.0,REP,MIKE FOLMER,180,177.0,3.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,State Senate,48.0,,WRITE-INS,0,0.0,0.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,State House,101.0,DEM,CESAR LIRIANO,142,140.0,2.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,State House,101.0,REP,FRANK RYAN,171,168.0,3.0,0.0
Lebanon,0001 LEBANON 1ST WARD EAST,State House,101.0,,WRITE-INS,0,0.0,0.0,0.0
Lebanon,0002 LEBANON 1ST WARD MIDDLE,Registered Voters,,,,633,,,
Lebanon,0002 LEBANON 1ST WARD MIDDLE,Ballots Cast,,,,232,221.0,11.0,0.0
Lebanon,0002 LEBANON 1ST WARD MIDDLE,STRAIGHT PARTY,,DEM,DEMOCRATIC,60,59.0,1.0,0.0
Lebanon,0002 LEBANON 1ST WARD MIDDLE,STRAIGHT PARTY,,REP,REPUBLICAN,72,67.0,5.0,0.0
Lebanon,0002 LEBANON 1ST WARD MIDDLE,STRAIGHT PARTY,,GRN,GREEN,0,0.0,0.0,0.0
Lebanon,0002 LEBANON 1ST WARD MIDDLE,STRAIGHT PARTY,,LIB,LIBERTARIAN,2,2.0,0.0,0.0
Lebanon,0002 LEBANON 1ST WARD MIDDLE,U.S. Senate,,DEM,"BOB CASEY, JR",112,111.0,1.0,0.0
Lebanon,0002 LEBANON 1ST WARD MIDDLE,U.S. Senate,,REP,LOU BARLETTA,107,98.0,9.0,0.0
Lebanon,0002 LEBANON 1ST WARD MIDDLE,U.S. Senate,,GRN,NEAL GALE,4,4.0,0.0,0.0
