county,precinct,office,district,party,candidate,votes,absentee,military,ivo,provisional
Luzerne,ASHLEY BORO W 01,STRAIGHT PARTY,,DEM,Democratic,163,2,0,161,0
Luzerne,ASHLEY BORO W 02,STRAIGHT PARTY,,DEM,Democratic,89,3,0,86,0
Luzerne,AVOCA BORO W 01,STRAIGHT PARTY,,DEM,Democratic,130,3,0,127,0
Luzerne,AVOCA BORO W 02,STRAIGHT PARTY,,DEM,Democratic,129,10,0,119,0
Luzerne,AVOCA BORO W 03,STRAIGHT PARTY,,DEM,Democratic,130,4,0,126,0
Luzerne,BEAR CREEK TWP D 01,STRAIGHT PARTY,,DEM,Democratic,84,6,0,78,0
Luzerne,BEAR CREEK TWP D 02,STRAIGHT PARTY,,DEM,Democratic,141,10,0,131,0
Luzerne,BEAR CREEK TWP D 03,STRAIGHT PARTY,,DEM,Democratic,29,0,0,29,0
Luzerne,BEAR CREEK VLG BORO,STRAIGHT PARTY,,DEM,Democratic,41,6,0,35,0
Luzerne,BLACK CREEK TWP D 01,STRAIGHT PARTY,,DEM,Democratic,39,0,0,39,0
Luzerne,BLACK CREEK TWP D 02,STRAIGHT PARTY,,DEM,Democratic,49,2,0,47,0
Luzerne,BUCK TWP,STRAIGHT PARTY,,DEM,Democratic,21,1,0,20,0
Luzerne,BUTLER TWP D 01,STRAIGHT PARTY,,DEM,Democratic,167,8,0,159,0
Luzerne,BUTLER TWP D 02,STRAIGHT PARTY,,DEM,Democratic,201,11,0,190,0
Luzerne,BUTLER TWP D 03,STRAIGHT PARTY,,DEM,Democratic,180,14,0,166,0
Luzerne,BUTLER TWP D 04,STRAIGHT PARTY,,DEM,Democratic,84,1,0,83,0
Luzerne,CONYNGHAM BORO,STRAIGHT PARTY,,DEM,Democratic,147,4,0,143,0
Luzerne,CONYNGHAM TWP,STRAIGHT PARTY,,DEM,Democratic,85,0,0,85,0
Luzerne,COURTDALE BORO,STRAIGHT PARTY,,DEM,Democratic,58,2,0,56,0
