county,precinct,precinct_name,office,district,candidate,party,votes
Lehigh,10101,Allentown 1st Ward 1st District,President,,Joseph R. Biden,Dem,536
Lehigh,10101,Allentown 1st Ward 1st District,President,,Donald J. Trump,Rep,156
Lehigh,10101,Allentown 1st Ward 1st District,President,,Jo Jorgensen,Lib,7
Lehigh,10201,Allentown 2nd Ward 1st District,President,,Joseph R. Biden,Dem,465
Lehigh,10201,Allentown 2nd Ward 1st District,President,,Donald J. Trump,Rep,135
Lehigh,10201,Allentown 2nd Ward 1st District,President,,Jo Jorgensen,Lib,13
Lehigh,10301,Allentown 3rd Ward 1st District,President,,Joseph R. Biden,Dem,542
Lehigh,10301,Allentown 3rd Ward 1st District,President,,Donald J. Trump,Rep,175
Lehigh,10301,Allentown 3rd Ward 1st District,President,,Jo Jorgensen,Lib,10
Lehigh,10401,Allentown 4th Ward 1st District,President,,Joseph R. Biden,Dem,326
Lehigh,10401,Allentown 4th Ward 1st District,President,,Donald J. Trump,Rep,104
Lehigh,10401,Allentown 4th Ward 1st District,President,,Jo Jorgensen,Lib,2
Lehigh,10501,Allentown 5th Ward 1st District,President,,Joseph R. Biden,Dem,445
Lehigh,10501,Allentown 5th Ward 1st District,President,,Donald J. Trump,Rep,125
Lehigh,10501,Allentown 5th Ward 1st District,President,,Jo Jorgensen,Lib,3
Lehigh,10601,Allentown 6th Ward 1st District,President,,Joseph R. Biden,Dem,244
Lehigh,10601,Allentown 6th Ward 1st District,President,,Donald J. Trump,Rep,91
Lehigh,10601,Allentown 6th Ward 1st District,President,,Jo Jorgensen,Lib,6
Lehigh,10602,Allentown 6th Ward 2nd District,President,,Joseph R. Biden,Dem,395
Lehigh,10602,Allentown 6th Ward 2nd District,President,,Donald J. Trump,Rep,172
Lehigh,10602,Allentown 6th Ward 2nd District,President,,Jo Jorgensen,Lib,7
Lehigh,10701,Allentown 7th Ward,President,,Joseph R. Biden,Dem,641
Lehigh,10701,Allentown 7th Ward,President,,Donald J. Trump,Rep,196
Lehigh,10701,Allentown 7th Ward,President,,Jo Jorgensen,Lib,6
Lehigh,10801,Allentown 8th Ward 1st District,President,,Joseph R. Biden,Dem,234
Lehigh,10801,Allentown 8th Ward 1st District,President,,Donald J. Trump,Rep,77
Lehigh,10801,Allentown 8th Ward 1st District,President,,Jo Jorgensen,Lib,1
Lehigh,10802,Allentown 8th Ward 2nd District,President,,Joseph R. Biden,Dem,307
Lehigh,10802,Allentown 8th Ward 2nd District,President,,Donald J. Trump,Rep,79
Lehigh,10802,Allentown 8th Ward 2nd District,President,,Jo Jorgensen,Lib,3
Lehigh,10803,Allentown 8th Ward 3rd District,President,,Joseph R. Biden,Dem,478
Lehigh,10803,Allentown 8th Ward 3rd District,President,,Donald J. Trump,Rep,152
Lehigh,10803,Allentown 8th Ward 3rd District,President,,Jo Jorgensen,Lib,2
Lehigh,10804,Allentown 8th Ward 4th District,President,,Joseph R. Biden,Dem,602
Lehigh,10804,Allentown 8th Ward 4th District,President,,Donald J. Trump,Rep,262
Lehigh,10804,Allentown 8th Ward 4th District,President,,Jo Jorgensen,Lib,7
Lehigh,10805,Allentown 8th Ward 5th District,President,,Joseph R. Biden,Dem,267
Lehigh,10805,Allentown 8th Ward 5th District,President,,Donald J. Trump,Rep,109
Lehigh,10805,Allentown 8th Ward 5th District,President,,Jo Jorgensen,Lib,3
Lehigh,10806,Allentown 8th Ward 6th District,President,,Joseph R. Biden,Dem,402
Lehigh,10806,Allentown 8th Ward 6th District,President,,Donald J. Trump,Rep,115
Lehigh,10806,Allentown 8th Ward 6th District,President,,Jo Jorgensen,Lib,8
Lehigh,10807,Allentown 8th Ward 7th District,President,,Joseph R. Biden,Dem,437
Lehigh,10807,Allentown 8th Ward 7th District,President,,Donald J. Trump,Rep,281
Lehigh,10807,Allentown 8th Ward 7th District,President,,Jo Jorgensen,Lib,7
Lehigh,10901,Allentown 9th Ward 1st District,President,,Joseph R. Biden,Dem,501
Lehigh,10901,Allentown 9th Ward 1st District,President,,Donald J. Trump,Rep,147
Lehigh,10901,Allentown 9th Ward 1st District,President,,Jo Jorgensen,Lib,5
Lehigh,11001,Allentown 10th Ward 1st District,President,,Joseph R. Biden,Dem,574
Lehigh,11001,Allentown 10th Ward 1st District,President,,Donald J. Trump,Rep,155
Lehigh,11001,Allentown 10th Ward 1st District,President,,Jo Jorgensen,Lib,7
Lehigh,11003,Allentown 10th Ward 3rd District,President,,Joseph R. Biden,Dem,399
