county,precinct,office,district,party,candidate,election_day,absentee,mail_in,provisional,votes
Bedford,2701 Saxton Borough,Registered Voters,,,,,,,,323
Bedford,2801 Schellsburg Borough,Votes Cast,,,,63,5,25,3,96
Bedford,2801 Schellsburg Borough,Registered Voters,,,,,,,,200
Bedford,2901 Snake Spring Township,Votes Cast,,,,275,30,206,11,522
Bedford,2901 Snake Spring Township,Registered Voters,,,,,,,,1187
Bedford,3003 Southampton Township,Votes Cast,,,,114,9,41,2,166
Bedford,3003 Southampton Township,Registered Voters,,,,,,,,503
Bedford,3101 St. Clairsville Borough,Votes Cast,,,,14,0,3,2,19
Bedford,3101 St. Clairsville Borough,Registered Voters,,,,,,,,58
Bedford,3201 East St. Clair Township,Votes Cast,,,,443,25,217,9,694
Bedford,3201 East St. Clair Township,Registered Voters,,,,,,,,1815
Bedford,3202 West St. Clair Township,Votes Cast,,,,295,23,100,8,426
Bedford,3202 West St. Clair Township,Registered Voters,,,,,,,,1063
Bedford,3301 Pavia Township,Votes Cast,,,,50,2,18,2,72
Bedford,3301 Pavia Township,Registered Voters,,,,,,,,172
Bedford,3401 Woodbury Borough,Votes Cast,,,,48,3,13,1,65
Bedford,3401 Woodbury Borough,Registered Voters,,,,,,,,171
Bedford,3501 Woodbury Township,Votes Cast,,,,179,3,40,3,225
Bedford,3501 Woodbury Township,Registered Voters,,,,,,,,585
Bedford,3601 South Woodbury Township,Votes Cast,,,,387,9,55,8,459
Bedford,3601 South Woodbury Township,Registered Voters,,,,,,,,1153
Bedford,0101 Bedford Borough East Ward,President,,DEM,Bernie Sanders,,,,,18
Bedford,0101 Bedford Borough East Ward,President,,DEM,Joseph R Biden,,,,,97
Bedford,0101 Bedford Borough East Ward,President,,DEM,Tulsi Gabbard,,,,,5
Bedford,0101 Bedford Borough East Ward,President,,DEM,Write-in,,,,,0
Bedford,0102 Bedford Borough West Ward,President,,DEM,Bernie Sanders,,,,,20
Bedford,0102 Bedford Borough West Ward,President,,DEM,Joseph R Biden,,,,,88
Bedford,0102 Bedford Borough West Ward,President,,DEM,Tulsi Gabbard,,,,,4
Bedford,0102 Bedford Borough West Ward,President,,DEM,Write-in,,,,,5
Bedford,0201 Bedford Township No 1,President,,DEM,Bernie Sanders,,,,,15
Bedford,0201 Bedford Township No 1,President,,DEM,Joseph R Biden,,,,,85
Bedford,0201 Bedford Township No 1,President,,DEM,Tulsi Gabbard,,,,,3
Bedford,0201 Bedford Township No 1,President,,DEM,Write-in,,,,,9
Bedford,0202 Bedford Township No 2,President,,DEM,Bernie Sanders,,,,,22
Bedford,0202 Bedford Township No 2,President,,DEM,Joseph R Biden,,,,,126
Bedford,0202 Bedford Township No 2,President,,DEM,Tulsi Gabbard,,,,,1
Bedford,0202 Bedford Township No 2,President,,DEM,Write-in,,,,,10
Bedford,0301 Bloomfield Township,President,,DEM,Bernie Sanders,,,,,6
Bedford,0301 Bloomfield Township,President,,DEM,Joseph R Biden,,,,,25
Bedford,0301 Bloomfield Township,President,,DEM,Tulsi Gabbard,,,,,3
Bedford,0301 Bloomfield Township,President,,DEM,Write-in,,,,,1
Bedford,0401 Broad Top Township,President,,DEM,Bernie Sanders,,,,,16
Bedford,0401 Broad Top Township,President,,DEM,Joseph R Biden,,,,,47
Bedford,0401 Broad Top Township,President,,DEM,Tulsi Gabbard,,,,,2
Bedford,0401 Broad Top Township,President,,DEM,Write-in,,,,,5
Bedford,0501 Coaldale Borough,President,,DEM,Bernie Sanders,,,,,2
Bedford,0501 Coaldale Borough,President,,DEM,Joseph R Biden,,,,,6
Bedford,0501 Coaldale Borough,President,,DEM,Tulsi Gabbard,,,,,1
Bedford,0501 Coaldale Borough,President,,DEM,Write-in,,,,,0
Bedford,0601 Colerain Township,President,,DEM,Bernie Sanders,,,,,7
Bedford,0601 Colerain Township,President,,DEM,Joseph R Biden,,,,,43
Bedford,0601 Colerain Township,President,,DEM,Tulsi Gabbard,,,,,1
Bedford,0601 Colerain Township,President,,DEM,Write-in,,,,,5
Bedford,0701 Cumberland Valley Township,President,,DEM,Bernie Sanders,,,,,6
Bedford,0701 Cumberland Valley Township,President,,DEM,Joseph R Biden,,,,,57
Bedford,0701 Cumberland Valley Township,President,,DEM,Tulsi Gabbard,,,,,2
Bedford,0701 Cumberland Valley Township,President,,DEM,Write-in,,,,,6
Bedford,0801 Everett Borough,President,,DEM,Bernie Sanders,,,,,16
Bedford,0801 Everett Borough,President,,DEM,Joseph R Biden,,,,,46
Bedford,0801 Everett Borough,President,,DEM,Tulsi Gabbard,,,,,1
Bedford,0801 Everett Borough,President,,DEM,Write-in,,,,,6
Bedford,0901 Harrison Township,President,,DEM,Bernie Sanders,,,,,11
Bedford,0901 Harrison Township,President,,DEM,Joseph R Biden,,,,,33
Bedford,0901 Harrison Township,President,,DEM,Tulsi Gabbard,,,,,2
Bedford,0901 Harrison Township,President,,DEM,Write-in,,,,,7
Bedford,1001 Hopewell Borough,President,,DEM,Bernie Sanders,,,,,3
Bedford,1001 Hopewell Borough,President,,DEM,Joseph R Biden,,,,,6
Bedford,1001 Hopewell Borough,President,,DEM,Tulsi Gabbard,,,,,0
Bedford,1001 Hopewell Borough,President,,DEM,Write-in,,,,,1
Bedford,1101 Hopewell Township,President,,DEM,Bernie Sanders,,,,,8
Bedford,1101 Hopewell Township,President,,DEM,Joseph R Biden,,,,,57
Bedford,1101 Hopewell Township,President,,DEM,Tulsi Gabbard,,,,,3
Bedford,1101 Hopewell Township,President,,DEM,Write-in,,,,,10
Bedford,1201 Hyndman Borough,President,,DEM,Bernie Sanders,,,,,4
Bedford,1201 Hyndman Borough,President,,DEM,Joseph R Biden,,,,,29
Bedford,1201 Hyndman Borough,President,,DEM,Tulsi Gabbard,,,,,2
Bedford,1201 Hyndman Borough,President,,DEM,Write-in,,,,,5
Bedford,1301 Juniata Township,President,,DEM,Bernie Sanders,,,,,6
Bedford,1301 Juniata Township,President,,DEM,Joseph R Biden,,,,,49
Bedford,1301 Juniata Township,President,,DEM,Tulsi Gabbard,,,,,3
Bedford,1301 Juniata Township,President,,DEM,Write-in,,,,,7
Bedford,1401 Kimmel Township,President,,DEM,Bernie Sanders,,,,,16
Bedford,1401 Kimmel Township,President,,DEM,Joseph R Biden,,,,,69
Bedford,1401 Kimmel Township,President,,DEM,Tulsi Gabbard,,,,,5
Bedford,1401 Kimmel Township,President,,DEM,Write-in,,,,,14
Bedford,1501 King Township,President,,DEM,Bernie Sanders,,,,,5
Bedford,1501 King Township,President,,DEM,Joseph R Biden,,,,,24
Bedford,1501 King Township,President,,DEM,Tulsi Gabbard,,,,,3
Bedford,1501 King Township,President,,DEM,Write-in,,,,,8
Bedford,1601 Liberty Township,President,,DEM,Bernie Sanders,,,,,12
Bedford,1601 Liberty Township,President,,DEM,Joseph R Biden,,,,,69
Bedford,1601 Liberty Township,President,,DEM,Tulsi Gabbard,,,,,6
Bedford,1601 Liberty Township,President,,DEM,Write-in,,,,,5
Bedford,1701 Lincoln Township,President,,DEM,Bernie Sanders,,,,,2
Bedford,1701 Lincoln Township,President,,DEM,Joseph R Biden,,,,,11
Bedford,1701 Lincoln Township,President,,DEM,Tulsi Gabbard,,,,,0
Bedford,1701 Lincoln Township,President,,DEM,Write-in,,,,,3
Bedford,1801 Londonderry Township,President,,DEM,Bernie Sanders,,,,,7
Bedford,1801 Londonderry Township,President,,DEM,Joseph R Biden,,,,,35
Bedford,1801 Londonderry Township,President,,DEM,Tulsi Gabbard,,,,,1
Bedford,1801 Londonderry Township,President,,DEM,Write-in,,,,,3
Bedford,1901 Mann Township,President,,DEM,Bernie Sanders,,,,,5
Bedford,1901 Mann Township,President,,DEM,Joseph R Biden,,,,,18
Bedford,1901 Mann Township,President,,DEM,Tulsi Gabbard,,,,,0
Bedford,1901 Mann Township,President,,DEM,Write-in,,,,,2
Bedford,2001 Manns Choice Borough,President,,DEM,Bernie Sanders,,,,,7
Bedford,2001 Manns Choice Borough,President,,DEM,Joseph R Biden,,,,,10
Bedford,2001 Manns Choice Borough,President,,DEM,Tulsi Gabbard,,,,,2
Bedford,2001 Manns Choice Borough,President,,DEM,Write-in,,,,,2
Bedford,2101 Monroe Township,President,,DEM,Bernie Sanders,,,,,5
Bedford,2101 Monroe Township,President,,DEM,Joseph R Biden,,,,,25
Bedford,2101 Monroe Township,President,,DEM,Tulsi Gabbard,,,,,5
Bedford,2101 Monroe Township,President,,DEM,Write-in,,,,,2
Bedford,2201 Napier Township,President,,DEM,Bernie Sanders,,,,,11
Bedford,2201 Napier Township,President,,DEM,Joseph R Biden,,,,,69
Bedford,2201 Napier Township,President,,DEM,Tulsi Gabbard,,,,,6
Bedford,2201 Napier Township,President,,DEM,Write-in,,,,,18
Bedford,2301 New Paris Borough,President,,DEM,Bernie Sanders,,,,,2
Bedford,2301 New Paris Borough,President,,DEM,Joseph R Biden,,,,,7
Bedford,2301 New Paris Borough,President,,DEM,Tulsi Gabbard,,,,,1
Bedford,2301 New Paris Borough,President,,DEM,Write-in,,,,,1
Bedford,2401 Pleasantville Borough,President,,DEM,Bernie Sanders,,,,,0
Bedford,2401 Pleasantville Borough,President,,DEM,Joseph R Biden,,,,,1
Bedford,2401 Pleasantville Borough,President,,DEM,Tulsi Gabbard,,,,,0
Bedford,2401 Pleasantville Borough,President,,DEM,Write-in,,,,,0
Bedford,2501 East Providence Township,President,,DEM,Bernie Sanders,,,,,9
Bedford,2501 East Providence Township,President,,DEM,Joseph R Biden,,,,,43
Bedford,2501 East Providence Township,President,,DEM,Tulsi Gabbard,,,,,3
Bedford,2501 East Providence Township,President,,DEM,Write-in,,,,,5
Bedford,2502 West Providence Township,President,,DEM,Bernie Sanders,,,,,12
Bedford,2502 West Providence Township,President,,DEM,Joseph R Biden,,,,,95
Bedford,2502 West Providence Township,President,,DEM,Tulsi Gabbard,,,,,2
Bedford,2502 West Providence Township,President,,DEM,Write-in,,,,,18
Bedford,2601 Rainsburg Borough,President,,DEM,Bernie Sanders,,,,,0
Bedford,2601 Rainsburg Borough,President,,DEM,Joseph R Biden,,,,,4
Bedford,2601 Rainsburg Borough,President,,DEM,Tulsi Gabbard,,,,,1
Bedford,2601 Rainsburg Borough,President,,DEM,Write-in,,,,,3
Bedford,2701 Saxton Borough,President,,DEM,Bernie Sanders,,,,,4
Bedford,2701 Saxton Borough,President,,DEM,Joseph R Biden,,,,,26
Bedford,2701 Saxton Borough,President,,DEM,Tulsi Gabbard,,,,,0
Bedford,2701 Saxton Borough,President,,DEM,Write-in,,,,,0
Bedford,2801 Schellsburg Borough,President,,DEM,Bernie Sanders,,,,,2
Bedford,2801 Schellsburg Borough,President,,DEM,Joseph R Biden,,,,,12
Bedford,2801 Schellsburg Borough,President,,DEM,Tulsi Gabbard,,,,,0
Bedford,2801 Schellsburg Borough,President,,DEM,Write-in,,,,,2
Bedford,2901 Snake Spring Township,President,,DEM,Bernie Sanders,,,,,17
Bedford,2901 Snake Spring Township,President,,DEM,Joseph R Biden,,,,,91
Bedford,2901 Snake Spring Township,President,,DEM,Tulsi Gabbard,,,,,5
Bedford,2901 Snake Spring Township,President,,DEM,Write-in,,,,,9
Bedford,3003 Southampton Township,President,,DEM,Bernie Sanders,,,,,6
Bedford,3003 Southampton Township,President,,DEM,Joseph R Biden,,,,,19
Bedford,3003 Southampton Township,President,,DEM,Tulsi Gabbard,,,,,1
Bedford,3003 Southampton Township,President,,DEM,Write-in,,,,,2
Bedford,3101 St. Clairsville Borough,President,,DEM,Bernie Sanders,,,,,2
Bedford,3101 St. Clairsville Borough,President,,DEM,Joseph R Biden,,,,,4
Bedford,3101 St. Clairsville Borough,President,,DEM,Tulsi Gabbard,,,,,0
Bedford,3101 St. Clairsville Borough,President,,DEM,Write-in,,,,,2
Bedford,3201 East St. Clair Township,President,,DEM,Bernie Sanders,,,,,18
Bedford,3201 East St. Clair Township,President,,DEM,Joseph R Biden,,,,,97
Bedford,3201 East St. Clair Township,President,,DEM,Tulsi Gabbard,,,,,12
Bedford,3201 East St. Clair Township,President,,DEM,Write-in,,,,,22
Bedford,3202 West St. Clair Township,President,,DEM,Bernie Sanders,,,,,8
Bedford,3202 West St. Clair Township,President,,DEM,Joseph R Biden,,,,,57
Bedford,3202 West St. Clair Township,President,,DEM,Tulsi Gabbard,,,,,4
Bedford,3202 West St. Clair Township,President,,DEM,Write-in,,,,,6
Bedford,3301 Pavia Township,President,,DEM,Bernie Sanders,,,,,2
Bedford,3301 Pavia Township,President,,DEM,Joseph R Biden,,,,,4
Bedford,3301 Pavia Township,President,,DEM,Tulsi Gabbard,,,,,1
Bedford,3301 Pavia Township,President,,DEM,Write-in,,,,,0
Bedford,3501 Woodbury Township,President,,DEM,Bernie Sanders,,,,,0
Bedford,3501 Woodbury Township,President,,DEM,Joseph R Biden,,,,,11
Bedford,3501 Woodbury Township,President,,DEM,Tulsi Gabbard,,,,,2
Bedford,3501 Woodbury Township,President,,DEM,Write-in,,,,,1
Bedford,3401 Woodbury Borough,President,,DEM,Bernie Sanders,,,,,3
Bedford,3401 Woodbury Borough,President,,DEM,Joseph R Biden,,,,,4
Bedford,3401 Woodbury Borough,President,,DEM,Tulsi Gabbard,,,,,0
Bedford,3401 Woodbury Borough,President,,DEM,Write-in,,,,,0
Bedford,3601 South Woodbury Township,President,,DEM,Bernie Sanders,,,,,4
Bedford,3601 South Woodbury Township,President,,DEM,Joseph R Biden,,,,,28
Bedford,3601 South Woodbury Township,President,,DEM,Tulsi Gabbard,,,,,1
Bedford,3601 South Woodbury Township,President,,DEM,Write-in,,,,,6
Bedford,0101 Bedford Borough East Ward,President,,REP,Donald J Trump,,,,,240
Bedford,0101 Bedford Borough East Ward,President,,REP,Roque Rocky De La Fuente,,,,,2
Bedford,0101 Bedford Borough East Ward,President,,REP,Bill Weld,,,,,18
Bedford,0101 Bedford Borough East Ward,President,,REP,Write-in,,,,,3
Bedford,0102 Bedford Borough West Ward,President,,REP,Donald J Trump,,,,,248
Bedford,0102 Bedford Borough West Ward,President,,REP,Roque Rocky De La Fuente,,,,,3
Bedford,0102 Bedford Borough West Ward,President,,REP,Bill Weld,,,,,12
Bedford,0102 Bedford Borough West Ward,President,,REP,Write-in,,,,,4
Bedford,0201 Bedford Township No 1,President,,REP,Donald J Trump,,,,,474
Bedford,0201 Bedford Township No 1,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,0201 Bedford Township No 1,President,,REP,Bill Weld,,,,,7
Bedford,0201 Bedford Township No 1,President,,REP,Write-in,,,,,7
Bedford,0202 Bedford Township No 2,President,,REP,Donald J Trump,,,,,500
Bedford,0202 Bedford Township No 2,President,,REP,Roque Rocky De La Fuente,,,,,2
Bedford,0202 Bedford Township No 2,President,,REP,Bill Weld,,,,,13
Bedford,0202 Bedford Township No 2,President,,REP,Write-in,,,,,7
Bedford,0301 Bloomfield Township,President,,REP,Donald J Trump,,,,,214
Bedford,0301 Bloomfield Township,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,0301 Bloomfield Township,President,,REP,Bill Weld,,,,,2
Bedford,0301 Bloomfield Township,President,,REP,Write-in,,,,,1
Bedford,0401 Broad Top Township,President,,REP,Donald J Trump,,,,,171
Bedford,0401 Broad Top Township,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,0401 Broad Top Township,President,,REP,Bill Weld,,,,,0
Bedford,0401 Broad Top Township,President,,REP,Write-in,,,,,0
Bedford,0501 Coaldale Borough,President,,REP,Donald J Trump,,,,,17
Bedford,0501 Coaldale Borough,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,0501 Coaldale Borough,President,,REP,Bill Weld,,,,,0
Bedford,0501 Coaldale Borough,President,,REP,Write-in,,,,,0
Bedford,0601 Colerain Township,President,,REP,Donald J Trump,,,,,227
Bedford,0601 Colerain Township,President,,REP,Roque Rocky De La Fuente,,,,,3
Bedford,0601 Colerain Township,President,,REP,Bill Weld,,,,,10
Bedford,0601 Colerain Township,President,,REP,Write-in,,,,,3
Bedford,0701 Cumberland Valley Township,President,,REP,Donald J Trump,,,,,218
Bedford,0701 Cumberland Valley Township,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,0701 Cumberland Valley Township,President,,REP,Bill Weld,,,,,4
Bedford,0701 Cumberland Valley Township,President,,REP,Write-in,,,,,1
Bedford,0801 Everett Borough,President,,REP,Donald J Trump,,,,,207
Bedford,0801 Everett Borough,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,0801 Everett Borough,President,,REP,Bill Weld,,,,,5
Bedford,0801 Everett Borough,President,,REP,Write-in,,,,,1
Bedford,0901 Harrison Township,President,,REP,Donald J Trump,,,,,173
Bedford,0901 Harrison Township,President,,REP,Roque Rocky De La Fuente,,,,,2
Bedford,0901 Harrison Township,President,,REP,Bill Weld,,,,,3
Bedford,0901 Harrison Township,President,,REP,Write-in,,,,,3
Bedford,1001 Hopewell Borough,President,,REP,Donald J Trump,,,,,17
Bedford,1001 Hopewell Borough,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,1001 Hopewell Borough,President,,REP,Bill Weld,,,,,0
Bedford,1001 Hopewell Borough,President,,REP,Write-in,,,,,0
Bedford,1101 Hopewell Township,President,,REP,Donald J Trump,,,,,363
Bedford,1101 Hopewell Township,President,,REP,Roque Rocky De La Fuente,,,,,2
Bedford,1101 Hopewell Township,President,,REP,Bill Weld,,,,,2
Bedford,1101 Hopewell Township,President,,REP,Write-in,,,,,3
Bedford,1201 Hyndman Borough,President,,REP,Donald J Trump,,,,,139
Bedford,1201 Hyndman Borough,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,1201 Hyndman Borough,President,,REP,Bill Weld,,,,,1
Bedford,1201 Hyndman Borough,President,,REP,Write-in,,,,,0
Bedford,1301 Juniata Township,President,,REP,Donald J Trump,,,,,182
Bedford,1301 Juniata Township,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,1301 Juniata Township,President,,REP,Bill Weld,,,,,3
Bedford,1301 Juniata Township,President,,REP,Write-in,,,,,2
Bedford,1401 Kimmel Township,President,,REP,Donald J Trump,,,,,244
Bedford,1401 Kimmel Township,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,1401 Kimmel Township,President,,REP,Bill Weld,,,,,4
Bedford,1401 Kimmel Township,President,,REP,Write-in,,,,,2
Bedford,1501 King Township,President,,REP,Donald J Trump,,,,,201
Bedford,1501 King Township,President,,REP,Roque Rocky De La Fuente,,,,,3
Bedford,1501 King Township,President,,REP,Bill Weld,,,,,0
Bedford,1501 King Township,President,,REP,Write-in,,,,,3
Bedford,1601 Liberty Township,President,,REP,Donald J Trump,,,,,224
Bedford,1601 Liberty Township,President,,REP,Roque Rocky De La Fuente,,,,,2
Bedford,1601 Liberty Township,President,,REP,Bill Weld,,,,,9
Bedford,1601 Liberty Township,President,,REP,Write-in,,,,,1
Bedford,1701 Lincoln Township,President,,REP,Donald J Trump,,,,,104
Bedford,1701 Lincoln Township,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,1701 Lincoln Township,President,,REP,Bill Weld,,,,,1
Bedford,1701 Lincoln Township,President,,REP,Write-in,,,,,0
Bedford,1801 Londonderry Township,President,,REP,Donald J Trump,,,,,277
Bedford,1801 Londonderry Township,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,1801 Londonderry Township,President,,REP,Bill Weld,,,,,5
Bedford,1801 Londonderry Township,President,,REP,Write-in,,,,,5
Bedford,1901 Mann Township,President,,REP,Donald J Trump,,,,,92
Bedford,1901 Mann Township,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,1901 Mann Township,President,,REP,Bill Weld,,,,,0
Bedford,1901 Mann Township,President,,REP,Write-in,,,,,0
Bedford,2001 Manns Choice Borough,President,,REP,Donald J Trump,,,,,30
Bedford,2001 Manns Choice Borough,President,,REP,Roque Rocky De La Fuente,,,,,1
Bedford,2001 Manns Choice Borough,President,,REP,Bill Weld,,,,,2
Bedford,2001 Manns Choice Borough,President,,REP,Write-in,,,,,0
Bedford,2101 Monroe Township,President,,REP,Donald J Trump,,,,,223
Bedford,2101 Monroe Township,President,,REP,Roque Rocky De La Fuente,,,,,2
Bedford,2101 Monroe Township,President,,REP,Bill Weld,,,,,5
Bedford,2101 Monroe Township,President,,REP,Write-in,,,,,2
Bedford,2201 Napier Township,President,,REP,Donald J Trump,,,,,446
Bedford,2201 Napier Township,President,,REP,Roque Rocky De La Fuente,,,,,4
Bedford,2201 Napier Township,President,,REP,Bill Weld,,,,,5
Bedford,2201 Napier Township,President,,REP,Write-in,,,,,4
Bedford,2301 New Paris Borough,President,,REP,Donald J Trump,,,,,25
Bedford,2301 New Paris Borough,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,2301 New Paris Borough,President,,REP,Bill Weld,,,,,0
Bedford,2301 New Paris Borough,President,,REP,Write-in,,,,,0
Bedford,2401 Pleasantville Borough,President,,REP,Donald J Trump,,,,,29
Bedford,2401 Pleasantville Borough,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,2401 Pleasantville Borough,President,,REP,Bill Weld,,,,,1
Bedford,2401 Pleasantville Borough,President,,REP,Write-in,,,,,0
Bedford,2501 East Providence Township,President,,REP,Donald J Trump,,,,,372
Bedford,2501 East Providence Township,President,,REP,Roque Rocky De La Fuente,,,,,1
Bedford,2501 East Providence Township,President,,REP,Bill Weld,,,,,10
Bedford,2501 East Providence Township,President,,REP,Write-in,,,,,4
Bedford,2502 West Providence Township,President,,REP,Donald J Trump,,,,,557
Bedford,2502 West Providence Township,President,,REP,Roque Rocky De La Fuente,,,,,3
Bedford,2502 West Providence Township,President,,REP,Bill Weld,,,,,16
Bedford,2502 West Providence Township,President,,REP,Write-in,,,,,7
Bedford,2601 Rainsburg Borough,President,,REP,Donald J Trump,,,,,16
Bedford,2601 Rainsburg Borough,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,2601 Rainsburg Borough,President,,REP,Bill Weld,,,,,0
Bedford,2601 Rainsburg Borough,President,,REP,Write-in,,,,,0
Bedford,2701 Saxton Borough,President,,REP,Donald J Trump,,,,,68
Bedford,2701 Saxton Borough,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,2701 Saxton Borough,President,,REP,Bill Weld,,,,,6
Bedford,2701 Saxton Borough,President,,REP,Write-in,,,,,1
Bedford,2801 Schellsburg Borough,President,,REP,Donald J Trump,,,,,69
Bedford,2801 Schellsburg Borough,President,,REP,Roque Rocky De La Fuente,,,,,3
Bedford,2801 Schellsburg Borough,President,,REP,Bill Weld,,,,,3
Bedford,2801 Schellsburg Borough,President,,REP,Write-in,,,,,2
Bedford,2901 Snake Spring Township,President,,REP,Donald J Trump,,,,,362
Bedford,2901 Snake Spring Township,President,,REP,Roque Rocky De La Fuente,,,,,1
Bedford,2901 Snake Spring Township,President,,REP,Bill Weld,,,,,9
Bedford,2901 Snake Spring Township,President,,REP,Write-in,,,,,8
Bedford,3003 Southampton Township,President,,REP,Donald J Trump,,,,,131
Bedford,3003 Southampton Township,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,3003 Southampton Township,President,,REP,Bill Weld,,,,,4
Bedford,3003 Southampton Township,President,,REP,Write-in,,,,,1
Bedford,3101 St. Clairsville Borough,President,,REP,Donald J Trump,,,,,11
Bedford,3101 St. Clairsville Borough,President,,REP,Roque Rocky De La Fuente,,,,,0
Bedford,3101 St. Clairsville Borough,President,,REP,Bill Weld,,,,,0
Bedford,3101 St. Clairsville Borough,President,,REP,Write-in,,,,,0
Bedford,3201 East St. Clair Township,President,,REP,Donald J Trump,,,,,508
