county,precinct,office,district,party,candidate,election_day,absentee,mail_in,provisional,votes
Bedford,0101 Bedford Borough East Ward,Votes Cast,,,,223,23,146,6,398
Bedford,0101 Bedford Borough East Ward,Registered Voters,,,,,,,,981
Bedford,0102 Bedford Borough West Ward,Votes Cast,,,,214,19,153,8,394
Bedford,0102 Bedford Borough West Ward,Registered Voters,,,,,,,,926
Bedford,0201 Bedford Township No 1,Votes Cast,,,,385,34,201,6,626
Bedford,0201 Bedford Township No 1,Registered Voters,,,,,,,,1542
Bedford,0202 Bedford Township No 2,Votes Cast,,,,643,52,7,0,702
Bedford,0202 Bedford Township No 2,Registered Voters,,,,,,,,1766
Bedford,0301 Bloomfield Township,Votes Cast,,,,201,5,48,1,255
Bedford,0301 Bloomfield Township,Registered Voters,,,,,,,,555
Bedford,0401 Broad Top Township,Votes Cast,,,,191,12,54,0,257
Bedford,0401 Broad Top Township,Registered Voters,,,,,,,,763
Bedford,0501 Coaldale Borough,Votes Cast,,,,27,0,1,0,28
Bedford,0501 Coaldale Borough,Registered Voters,,,,,,,,76
Bedford,0601 Colerain Township,Votes Cast,,,,200,14,86,8,308
Bedford,0601 Colerain Township,Registered Voters,,,,,,,,708
Bedford,0701 Cumberland Valley Township,Votes Cast,,,,231,11,49,9,300
Bedford,0701 Cumberland Valley Township,Registered Voters,,,,,,,,980
Bedford,0801 Everett Borough,Votes Cast,,,,215,18,53,1,287
Bedford,0801 Everett Borough,Registered Voters,,,,,,,,819
Bedford,0901 Harrison Township,Votes Cast,,,,145,17,75,4,241
Bedford,0901 Harrison Township,Registered Voters,,,,,,,,603
Bedford,1001 Hopewell Borough,Votes Cast,,,,19,3,3,3,28
Bedford,1001 Hopewell Borough,Registered Voters,,,,,,,,106
Bedford,1101 Hopewell Township,Votes Cast,,,,345,22,87,4,458
Bedford,1101 Hopewell Township,Registered Voters,,,,,,,,1153
Bedford,1201 Hyndman Borough,Votes Cast,,,,155,8,23,0,186
Bedford,1201 Hyndman Borough,Registered Voters,,,,,,,,516
Bedford,1301 Juniata Township,Votes Cast,,,,208,14,47,2,271
Bedford,1301 Juniata Township,Registered Voters,,,,,,,,603
Bedford,1401 Kimmel Township,Votes Cast,,,,257,13,103,1,374
Bedford,1401 Kimmel Township,Registered Voters,,,,,,,,925
Bedford,1501 King Township,Votes Cast,,,,199,6,57,2,264
Bedford,1501 King Township,Registered Voters,,,,,,,,735
Bedford,1601 Liberty Township,Votes Cast,,,,208,12,124,2,346
Bedford,1601 Liberty Township,Registered Voters,,,,,,,,920
Bedford,1701 Lincoln Township,Votes Cast,,,,100,2,20,2,124
Bedford,1701 Lincoln Township,Registered Voters,,,,,,,,268
Bedford,1801 Londonderry Township,Votes Cast,,,,240,7,82,9,338
Bedford,1801 Londonderry Township,Registered Voters,,,,,,,,1089
Bedford,1901 Mann Township,Votes Cast,,,,70,9,40,0,119
Bedford,1901 Mann Township,Registered Voters,,,,,,,,338
Bedford,2001 Manns Choice Borough,Votes Cast,,,,34,3,19,0,56
Bedford,2001 Manns Choice Borough,Registered Voters,,,,,,,,170
Bedford,2101 Monroe Township,Votes Cast,,,,200,14,58,5,277
Bedford,2101 Monroe Township,Registered Voters,,,,,,,,774
Bedford,2201 Napier Township,Votes Cast,,,,377,17,176,7,577
Bedford,2201 Napier Township,Registered Voters,,,,,,,,1346
Bedford,2301 New Paris Borough,Votes Cast,,,,26,2,7,3,38
Bedford,2301 New Paris Borough,Registered Voters,,,,,,,,91
Bedford,2401 Pleasantville Borough,Votes Cast,,,,25,1,3,2,31
Bedford,2401 Pleasantville Borough,Registered Voters,,,,,,,,111
Bedford,2501 East Providence Township,Votes Cast,,,,316,15,119,5,455
Bedford,2501 East Providence Township,Registered Voters,,,,,,,,1050
Bedford,2502 West Providence Township,Votes Cast,,,,431,50,232,9,722
Bedford,2502 West Providence Township,Registered Voters,,,,,,,,1927
Bedford,2601 Rainsburg Borough,Votes Cast,,,,16,3,8,0,27
Bedford,2601 Rainsburg Borough,Registered Voters,,,,,,,,77
Bedford,2701 Saxton Borough,Votes Cast,,,,82,1,26,2,111
