county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Cumberland,CAMP HILL 1,Registered Voters,,,,1127,,,
Cumberland,CAMP HILL 1,Ballots Cast,,,,911,540,363,8
Cumberland,CAMP HILL 1,President,,DEM,Joseph R. Biden,545,248,294,3
Cumberland,CAMP HILL 1,President,,REP,Donald J. Trump,338,274,59,5
Cumberland,CAMP HILL 1,President,,LIB,Jo Jorgensen,21,15,6,0
Cumberland,CAMP HILL 1,President,,,Write-ins,5,2,3,0
Cumberland,CAMP HILL 1,Attorney General,,DEM,JOSH SHAPIRO,503,230,270,3
Cumberland,CAMP HILL 1,Attorney General,,REP,HEATHER HEIDELBAUGH,350,274,72,4
Cumberland,CAMP HILL 1,Attorney General,,LIB,DANIEL WASSMER,27,17,9,1
Cumberland,CAMP HILL 1,Attorney General,,GRN,RICHARD L WEISS,11,5,6,0
Cumberland,CAMP HILL 1,Attorney General,,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 1,Auditor General,,DEM,NINA AHMAD,469,205,262,2
Cumberland,CAMP HILL 1,Auditor General,,REP,TIMOTHY DEFOOR,372,289,79,4
Cumberland,CAMP HILL 1,Auditor General,,LIB,JENNIFER MOORE,32,23,9,0
Cumberland,CAMP HILL 1,Auditor General,,GRN,OLIVIA FAISON,14,8,5,1
Cumberland,CAMP HILL 1,Auditor General,,,Write-ins,1,1,0,0
Cumberland,CAMP HILL 1,State Treasurer,,DEM,JOE TORSELLA,489,214,272,3
Cumberland,CAMP HILL 1,State Treasurer,,REP,STACY L GARRITY,352,279,69,4
Cumberland,CAMP HILL 1,State Treasurer,,LIB,JOE SOLOSKI,34,24,10,0
Cumberland,CAMP HILL 1,State Treasurer,,GRN,TIMOTHY RUNKLE,16,10,5,1
Cumberland,CAMP HILL 1,State Treasurer,,,Write-ins,1,1,0,0
Cumberland,CAMP HILL 1,U.S. House,10,DEM,EUGENE DEPASQUALE,517,227,287,3
Cumberland,CAMP HILL 1,U.S. House,10,REP,SCOTT PERRY,375,300,71,4
Cumberland,CAMP HILL 1,U.S. House,10,,Write-ins,1,1,0,0
Cumberland,CAMP HILL 1,State Senate,31,DEM,SHANNA DANIELSON,492,219,270,3
Cumberland,CAMP HILL 1,State Senate,31,REP,MIKE REGAN,402,311,86,5
Cumberland,CAMP HILL 1,State Senate,31,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 1,State House,87,DEM,NICOLE MILLER,491,223,266,2
Cumberland,CAMP HILL 1,State House,87,REP,GREG ROTHMAN,403,307,91,5
Cumberland,CAMP HILL 1,State House,87,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 2,Registered Voters,,,,1127,,,
Cumberland,CAMP HILL 2,Ballots Cast,,,,1187,717,458,12
Cumberland,CAMP HILL 2,President,,DEM,Joseph R. Biden,672,291,374,7
Cumberland,CAMP HILL 2,President,,REP,Donald J. Trump,490,407,78,5
Cumberland,CAMP HILL 2,President,,LIB,Jo Jorgensen,16,12,4,0
Cumberland,CAMP HILL 2,President,,,Write-ins,7,5,2,0
Cumberland,CAMP HILL 2,Attorney General,,DEM,JOSH SHAPIRO,628,264,358,6
Cumberland,CAMP HILL 2,Attorney General,,REP,HEATHER HEIDELBAUGH,508,420,82,6
Cumberland,CAMP HILL 2,Attorney General,,LIB,DANIEL WASSMER,14,10,4,0
Cumberland,CAMP HILL 2,Attorney General,,GRN,RICHARD L WEISS,15,10,5,0
Cumberland,CAMP HILL 2,Attorney General,,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 2,Auditor General,,DEM,NINA AHMAD,560,229,326,5
Cumberland,CAMP HILL 2,Auditor General,,REP,TIMOTHY DEFOOR,552,438,107,7
Cumberland,CAMP HILL 2,Auditor General,,LIB,JENNIFER MOORE,33,22,11,0
Cumberland,CAMP HILL 2,Auditor General,,GRN,OLIVIA FAISON,16,12,4,0
Cumberland,CAMP HILL 2,Auditor General,,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 2,State Treasurer,,DEM,JOE TORSELLA,586,245,336,5
Cumberland,CAMP HILL 2,State Treasurer,,REP,STACY L GARRITY,530,426,98,6
Cumberland,CAMP HILL 2,State Treasurer,,LIB,JOE SOLOSKI,29,21,8,0
Cumberland,CAMP HILL 2,State Treasurer,,GRN,TIMOTHY RUNKLE,20,12,7,1
Cumberland,CAMP HILL 2,State Treasurer,,,Write-ins,0,0,0,0
