county,precinct,office,district,party,candidate,election_day,mail_in,votes
Delaware,ALDAN Eastern,President,,DEM,Bernie Sanders,45,19,64
Delaware,ALDAN Eastern,President,,DEM,Joseph R. Biden,267,128,395
Delaware,ALDAN Eastern,President,,DEM,Tulsi Gabbard,0,0,0
Delaware,ALDAN Eastern,President,,DEM,Write-in,1,1,2
Delaware,ALDAN Eastern,President,,REP,Donald J. Trump,117,28,145
Delaware,ALDAN Eastern,President,,REP,Roque Rocky De La Fuente,6,3,9
Delaware,ALDAN Eastern,President,,REP,Billy Weld,4,8,12
Delaware,ALDAN Eastern,President,,REP,Write-in,4,4,8
Delaware,ALDAN Eastern,Attorney General,,DEM,Josh Shapiro,258,132,390
Delaware,ALDAN Eastern,Attorney General,,DEM,Write-in,1,0,1
Delaware,ALDAN Eastern,Attorney General,,REP,Heather Heidelbaugh,109,39,148
Delaware,ALDAN Eastern,Attorney General,,REP,Write-in,2,1,3
Delaware,ALDAN Eastern,Auditor General,,DEM,H. Scott Conklin,10,2,12
Delaware,ALDAN Eastern,Auditor General,,DEM,Michael Lamb,11,7,18
Delaware,ALDAN Eastern,Auditor General,,DEM,Tracie Fountain,9,9,18
Delaware,ALDAN Eastern,Auditor General,,DEM,Rose Rosie Marie Davis,12,4,16
Delaware,ALDAN Eastern,Auditor General,,DEM,Nina Ahmad,221,100,321
Delaware,ALDAN Eastern,Auditor General,,DEM,Christina M. Hartman,18,14,32
Delaware,ALDAN Eastern,Auditor General,,DEM,Write-in,0,0,0
Delaware,ALDAN Eastern,Auditor General,,REP,Timothy Defoor,113,38,151
Delaware,ALDAN Eastern,Auditor General,,REP,Write-in,0,0,0
Delaware,ALDAN Eastern,State Treasurer,,DEM,Joe Torsella,257,126,383
Delaware,ALDAN Eastern,State Treasurer,,DEM,Write-in,0,0,0
Delaware,ALDAN Eastern,State Treasurer,,REP,Stacy L. Garrity,113,39,152
Delaware,ALDAN Eastern,State Treasurer,,REP,Write-in,0,0,0
Delaware,ALDAN Eastern,U.S. House,5,DEM,Mary Gay Scanlon,288,142,430
Delaware,ALDAN Eastern,U.S. House,5,DEM,Write-in,0,0,0
Delaware,ALDAN Eastern,U.S. House,5,REP,Rob Jordan,54,11,65
Delaware,ALDAN Eastern,U.S. House,5,REP,Dasha Pruett,65,32,97
Delaware,ALDAN Eastern,U.S. House,5,REP,Write-in,0,1,1
Delaware,ALDAN Eastern,General Assembly,163,DEM,Mike Zabel,279,140,419
Delaware,ALDAN Eastern,General Assembly,163,DEM,Write-in,1,0,1
Delaware,ALDAN Eastern,General Assembly,163,REP,Michael Mccollum,116,38,154
Delaware,ALDAN Eastern,General Assembly,163,REP,Write-in,0,1,1
Delaware,ALDAN Western,President,,DEM,Bernie Sanders,30,29,59
Delaware,ALDAN Western,President,,DEM,Joseph R. Biden,164,111,275
Delaware,ALDAN Western,President,,DEM,Tulsi Gabbard,5,0,5
Delaware,ALDAN Western,President,,DEM,Write-in,1,1,2
Delaware,ALDAN Western,President,,REP,Donald J. Trump,108,24,132
Delaware,ALDAN Western,President,,REP,Roque Rocky De La Fuente,2,3,5
Delaware,ALDAN Western,President,,REP,Billy Weld,9,6,15
Delaware,ALDAN Western,President,,REP,Write-in,3,5,8
Delaware,ALDAN Western,Attorney General,,DEM,Josh Shapiro,171,130,301
Delaware,ALDAN Western,Attorney General,,DEM,Write-in,2,0,2
Delaware,ALDAN Western,Attorney General,,REP,Heather Heidelbaugh,112,39,151
Delaware,ALDAN Western,Attorney General,,REP,Write-in,1,0,1
Delaware,ALDAN Western,Auditor General,,DEM,H. Scott Conklin,11,9,20
