county,precinct,office,district,party,candidate,election_day,absentee,provisional,military,votes
PERRY,BLAIN BOROUGH,President,,DEM,Bernie Sanders,2,0,0,0,2
PERRY,BLAIN BOROUGH,President,,DEM,Joseph R Biden,4,0,0,1,5
PERRY,BLAIN BOROUGH,President,,DEM,Tulsi Gabbard,1,0,0,0,1
PERRY,BLAIN BOROUGH,President,,DEM,Write-In,0,0,0,0,0
PERRY,BLAIN BOROUGH,President,,REP,Donald J Trump,63,0,0,0,63
PERRY,BLAIN BOROUGH,President,,REP,Roque Rocky De La Fuente,2,0,0,0,2
PERRY,BLAIN BOROUGH,President,,REP,Bill Weld,0,0,0,0,0
PERRY,BLAIN BOROUGH,President,,REP,Write-In,1,0,0,0,1
PERRY,BLAIN BOROUGH,Attorney General,,DEM,Josh Shapiro,6,0,0,0,6
PERRY,BLAIN BOROUGH,Attorney General,,DEM,Write-In,0,0,0,0,0
PERRY,BLAIN BOROUGH,Attorney General,,REP,Heather Heidelbaugh,56,0,0,0,56
PERRY,BLAIN BOROUGH,Attorney General,,REP,Write-In,0,0,0,0,0
PERRY,BLAIN BOROUGH,Auditor General,,DEM,H Scott Conklin,2,0,0,0,2
PERRY,BLAIN BOROUGH,Auditor General,,DEM,Michael Lamb,1,0,0,0,1
PERRY,BLAIN BOROUGH,Auditor General,,DEM,Tracie Fountain,2,0,0,0,2
PERRY,BLAIN BOROUGH,Auditor General,,DEM,Rose Rosie Marie Davis,0,0,0,0,0
PERRY,BLAIN BOROUGH,Auditor General,,DEM,Nina Ahmad,1,0,0,0,1
PERRY,BLAIN BOROUGH,Auditor General,,DEM,Christina M Hartman,1,0,0,1,2
PERRY,BLAIN BOROUGH,Auditor General,,DEM,Write-In,0,0,0,0,0
PERRY,BLAIN BOROUGH,Auditor General,,REP,Timothy Defoor,56,0,0,0,56
PERRY,BLAIN BOROUGH,Auditor General,,REP,Write-In,0,0,0,0,0
PERRY,BLAIN BOROUGH,State Treasurer,,DEM,Joe Torsella,7,0,0,1,8
PERRY,BLAIN BOROUGH,State Treasurer,,DEM,Write-In,0,0,0,0,0
PERRY,BLAIN BOROUGH,State Treasurer,,REP,Stacy L Garrity,58,0,0,0,58
PERRY,BLAIN BOROUGH,State Treasurer,,REP,Write-In,0,0,0,0,0
PERRY,BLAIN BOROUGH,U.S. House,12,DEM,Lee Griffin,7,0,0,1,8
PERRY,BLAIN BOROUGH,U.S. House,12,DEM,Write-In,0,0,0,0,0
PERRY,BLAIN BOROUGH,U.S. House,12,REP,Fred Keller,63,0,0,0,63
PERRY,BLAIN BOROUGH,U.S. House,12,REP,Write-In,0,0,0,0,0
PERRY,BLAIN BOROUGH,State Senate,15,DEM,George Scott,5,0,0,1,6
PERRY,BLAIN BOROUGH,State Senate,15,DEM,Alvin Q Taylor,2,0,0,0,2
PERRY,BLAIN BOROUGH,State Senate,15,DEM,Write-In,0,0,0,0,0
PERRY,BLAIN BOROUGH,State Senate,15,REP,John Disanto,59,0,0,0,59
PERRY,BLAIN BOROUGH,State Senate,15,REP,Write-In,0,0,0,0,0
PERRY,BLAIN BOROUGH,General Assembly,86,DEM,Write-In,0,0,0,0,0
PERRY,BLAIN BOROUGH,General Assembly,86,REP,Jed Nessinger,18,0,0,0,18
