county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Chester,005 ATGLEN,President,,DEM,Joseph R. Biden,328,194,130,4
Chester,005 ATGLEN,President,,REP,Donald J. Trump,365,332,29,4
Chester,005 ATGLEN,President,,LIB,Jo Jorgensen,9,7,2,0
Chester,005 ATGLEN,Attorney General,,DEM,JOSH SHAPIRO,308,183,121,4
Chester,005 ATGLEN,Attorney General,,REP,HEATHER HEIDELBAUGH,365,328,33,4
Chester,005 ATGLEN,Attorney General,,LIB,DANIEL WASSMER,13,11,2,0
Chester,005 ATGLEN,Attorney General,,GRN,RICHARD L WEISS,14,9,5,0
Chester,005 ATGLEN,Auditor General,,DEM,NINA AHMAD,293,170,119,4
Chester,005 ATGLEN,Auditor General,,REP,TIMOTHY DEFOOR,366,331,31,4
Chester,005 ATGLEN,Auditor General,,LIB,JENNIFER MOORE,26,20,6,0
Chester,005 ATGLEN,Auditor General,,GRN,OLIVIA FAISON,10,6,4,0
Chester,005 ATGLEN,State Treasurer,,DEM,JOE TORSELLA,314,187,123,4
Chester,005 ATGLEN,State Treasurer,,REP,STACY L GARRITY,364,332,28,4
Chester,005 ATGLEN,State Treasurer,,LIB,JOE SOLOSKI,10,6,4,0
Chester,005 ATGLEN,State Treasurer,,GRN,TIMOTHY RUNKLE,11,6,5,0
Chester,005 ATGLEN,U.S. House,6TH,DEM,CHRISSY HOULAHAN,321,186,131,4
Chester,005 ATGLEN,U.S. House,6TH,REP,JOHN EMMONS,380,346,30,4
Chester,005 ATGLEN,State House,19TH,DEM,CAROLYN COMITTA,316,182,130,4
Chester,005 ATGLEN,State House,19TH,REP,KEVIN RUNEY,382,347,31,4
Chester,005 ATGLEN,State House,13TH,DEM,RICHARD RUGGIERI,299,175,120,4
Chester,005 ATGLEN,State House,13TH,REP,JOHN LAWRENCE,400,355,41,4
Chester,010 AVONDALE,President,,DEM,Joseph R. Biden,254,150,101,3
Chester,010 AVONDALE,President,,REP,Donald J. Trump,107,91,16,0
Chester,010 AVONDALE,President,,LIB,Jo Jorgensen,6,4,2,0
Chester,010 AVONDALE,Attorney General,,DEM,JOSH SHAPIRO,252,149,101,2
Chester,010 AVONDALE,Attorney General,,REP,HEATHER HEIDELBAUGH,100,86,14,0
Chester,010 AVONDALE,Attorney General,,LIB,DANIEL WASSMER,10,7,3,0
Chester,010 AVONDALE,Attorney General,,GRN,RICHARD L WEISS,3,2,1,0
Chester,010 AVONDALE,Auditor General,,DEM,NINA AHMAD,233,132,99,2
Chester,010 AVONDALE,Auditor General,,REP,TIMOTHY DEFOOR,110,98,12,0
Chester,010 AVONDALE,Auditor General,,LIB,JENNIFER MOORE,14,8,6,0
Chester,010 AVONDALE,Auditor General,,GRN,OLIVIA FAISON,5,3,2,0
Chester,010 AVONDALE,State Treasurer,,DEM,JOE TORSELLA,241,142,97,2
Chester,010 AVONDALE,State Treasurer,,REP,STACY L GARRITY,114,97,17,0
Chester,010 AVONDALE,State Treasurer,,LIB,JOE SOLOSKI,6,3,3,0
Chester,010 AVONDALE,State Treasurer,,GRN,TIMOTHY RUNKLE,3,2,1,0
Chester,010 AVONDALE,U.S. House,6TH,DEM,CHRISSY HOULAHAN,253,147,104,2
Chester,010 AVONDALE,U.S. House,6TH,REP,JOHN EMMONS,111,96,15,0
Chester,010 AVONDALE,State House,19TH,DEM,CAROLYN COMITTA,245,143,100,2
Chester,010 AVONDALE,State House,19TH,REP,KEVIN RUNEY,115,98,17,0
Chester,010 AVONDALE,State House,58TH,DEM,CHRISTINA SAPPEY,235,137,96,2
Chester,010 AVONDALE,State House,58TH,REP,ERIC ROE,126,103,23,0
Chester,014 BIRMINGHAM 1,President,,DEM,Joseph R. Biden,633,261,366,6
Chester,014 BIRMINGHAM 1,President,,REP,Donald J. Trump,451,341,108,2
Chester,014 BIRMINGHAM 1,President,,LIB,Jo Jorgensen,8,7,0,1
Chester,014 BIRMINGHAM 1,Attorney General,,DEM,JOSH SHAPIRO,561,235,321,5
Chester,014 BIRMINGHAM 1,Attorney General,,REP,HEATHER HEIDELBAUGH,501,358,140,3
Chester,014 BIRMINGHAM 1,Attorney General,,LIB,DANIEL WASSMER,17,12,4,1
Chester,014 BIRMINGHAM 1,Attorney General,,GRN,RICHARD L WEISS,6,1,5,0
Chester,014 BIRMINGHAM 1,Auditor General,,DEM,NINA AHMAD,510,208,298,4
Chester,014 BIRMINGHAM 1,Auditor General,,REP,TIMOTHY DEFOOR,535,373,158,4
Chester,014 BIRMINGHAM 1,Auditor General,,LIB,JENNIFER MOORE,31,20,11,0
Chester,014 BIRMINGHAM 1,Auditor General,,GRN,OLIVIA FAISON,3,1,1,1
Chester,014 BIRMINGHAM 1,State Treasurer,,DEM,JOE TORSELLA,524,217,304,3
Chester,014 BIRMINGHAM 1,State Treasurer,,REP,STACY L GARRITY,524,365,155,4
Chester,014 BIRMINGHAM 1,State Treasurer,,LIB,JOE SOLOSKI,23,17,6,0
Chester,014 BIRMINGHAM 1,State Treasurer,,GRN,TIMOTHY RUNKLE,7,4,2,1
Chester,014 BIRMINGHAM 1,U.S. House,6TH,DEM,CHRISSY HOULAHAN,581,241,336,4
Chester,014 BIRMINGHAM 1,U.S. House,6TH,REP,JOHN EMMONS,510,369,136,5
Chester,014 BIRMINGHAM 1,State House,9TH,DEM,JOHN I KANE,523,210,308,5
Chester,014 BIRMINGHAM 1,State House,9TH,REP,THOMAS H KILLION,563,399,160,4
Chester,014 BIRMINGHAM 1,State House,56TH,DEM,DIANNE HERRIN,552,227,321,4
Chester,014 BIRMINGHAM 1,State House,56TH,REP,LEN IACONO,530,377,148,5
Chester,015 BIRMINGHAM 2,President,,DEM,Joseph R. Biden,"1,089",271,810,8
Chester,015 BIRMINGHAM 2,President,,REP,Donald J. Trump,792,525,264,3
Chester,015 BIRMINGHAM 2,President,,LIB,Jo Jorgensen,23,12,11,0
Chester,015 BIRMINGHAM 2,Attorney General,,DEM,JOSH SHAPIRO,983,230,745,8
Chester,015 BIRMINGHAM 2,Attorney General,,REP,HEATHER HEIDELBAUGH,863,553,306,4
Chester,015 BIRMINGHAM 2,Attorney General,,LIB,DANIEL WASSMER,28,14,14,0
