county,precinct,office,district,party,candidate,election_day,mail_in,absentee,provisional,votes
Westmoreland,Adamsburg Borough,Ballots Cast,,,,,,,,32
Westmoreland,Adamsburg Borough,Registered Voters,,,,,,,,101
Westmoreland,Allegheny Township #1 Shearers,Ballots Cast,,,,,,,,707
Westmoreland,Allegheny Township #1 Shearers,Registered Voters,,,,,,,,2093
Westmoreland,Allegheny Township #2 Mckees,Ballots Cast,,,,,,,,190
Westmoreland,Allegheny Township #2 Mckees,Registered Voters,,,,,,,,539
Westmoreland,Allegheny Township #3 Sobers,Ballots Cast,,,,,,,,477
Westmoreland,Allegheny Township #3 Sobers,Registered Voters,,,,,,,,1503
Westmoreland,Allegheny Township #4 Stewarts,Ballots Cast,,,,,,,,277
Westmoreland,Allegheny Township #4 Stewarts,Registered Voters,,,,,,,,711
Westmoreland,Allegheny Township #5 Bellvue,Ballots Cast,,,,,,,,219
Westmoreland,Allegheny Township #5 Bellvue,Registered Voters,,,,,,,,521
Westmoreland,City Of Arnold - 1-1,Ballots Cast,,,,,,,,78
Westmoreland,City Of Arnold - 1-1,Registered Voters,,,,,,,,336
Westmoreland,City Of Arnold - 1-2,Ballots Cast,,,,,,,,69
Westmoreland,City Of Arnold - 1-2,Registered Voters,,,,,,,,295
Westmoreland,City Of Arnold - 2-1,Ballots Cast,,,,,,,,173
Westmoreland,City Of Arnold - 2-1,Registered Voters,,,,,,,,576
Westmoreland,City Of Arnold - 2-2,Ballots Cast,,,,,,,,222
Westmoreland,City Of Arnold - 2-2,Registered Voters,,,,,,,,719
Westmoreland,City Of Arnold - 2-3,Ballots Cast,,,,,,,,204
Westmoreland,City Of Arnold - 2-3,Registered Voters,,,,,,,,776
Westmoreland,Arona Borough,Ballots Cast,,,,,,,,68
Westmoreland,Arona Borough,Registered Voters,,,,,,,,215
Westmoreland,Avonmore Borough,Ballots Cast,,,,,,,,212
Westmoreland,Avonmore Borough,Registered Voters,,,,,,,,580
Westmoreland,Bell Township - Perrysville,Ballots Cast,,,,,,,,292
Westmoreland,Bell Township - Perrysville,Registered Voters,,,,,,,,829
Westmoreland,Bell Township - Roaring Run,Ballots Cast,,,,,,,,150
Westmoreland,Bell Township - Roaring Run,Registered Voters,,,,,,,,349
Westmoreland,Bell Township - Salina,Ballots Cast,,,,,,,,86
Westmoreland,Bell Township - Salina,Registered Voters,,,,,,,,260
Westmoreland,Bolivar Borough,Ballots Cast,,,,,,,,93
Westmoreland,Bolivar Borough,Registered Voters,,,,,,,,252
Westmoreland,Cook Township,Ballots Cast,,,,,,,,469
Westmoreland,Cook Township,Registered Voters,,,,,,,,1380
Westmoreland,Delmont Borough,Ballots Cast,,,,,,,,662
Westmoreland,Delmont Borough,Registered Voters,,,,,,,,1869
