county,precinct,office,district,party,candidate,election_day,absentee,mail,provisional,votes
Bradford,ALBA BOROUGH,Registered Voters,,,,,,,,95
Bradford,ALBANY TOWNSHIP,Registered Voters,,,,,,,,586
Bradford,ARMENIA TOWNSHIP,Registered Voters,,,,,,,,143
Bradford,ASYLUM TOWNSHIP,Registered Voters,,,,,,,,661
Bradford,ATHENS BOROUGH 1ST WARD,Registered Voters,,,,,,,,365
Bradford,ATHENS BOROUGH 2ND WARD,Registered Voters,,,,,,,,372
Bradford,ATHENS BOROUGH 3RD WARD,Registered Voters,,,,,,,,553
Bradford,ATHENS BOROUGH 4TH WARD,Registered Voters,,,,,,,,616
Bradford,ATHENS TOWNSHIP 1ST DISTRICT,Registered Voters,,,,,,,,1400
Bradford,ATHENS TOWNSHIP 2ND DISTRICT,Registered Voters,,,,,,,,2008
Bradford,BURLINGTON BOROUGH,Registered Voters,,,,,,,,90
Bradford,BURLINGTON TOWNSHIP,Registered Voters,,,,,,,,479
Bradford,WEST BURLINGTON TOWNSHIP,Registered Voters,,,,,,,,322
Bradford,CANTON BOROUGH,Registered Voters,,,,,,,,995
Bradford,CANTON TOWNSHIP,Registered Voters,,,,,,,,1195
Bradford,COLUMBIA TOWNSHIP,Registered Voters,,,,,,,,729
Bradford,FRANKLIN TOWNSHIP,Registered Voters,,,,,,,,398
Bradford,GRANVILLE TOWNSHIP,Registered Voters,,,,,,,,558
Bradford,HERRICK TOWNSHIP,Registered Voters,,,,,,,,501
Bradford,LERAYSVILLE BOROUGH,Registered Voters,,,,,,,,158
Bradford,LEROY TOWNSHIP,Registered Voters,,,,,,,,423
Bradford,LITCHFIELD TOWNSHIP,Registered Voters,,,,,,,,898
Bradford,MONROE BOROUGH,Registered Voters,,,,,,,,315
Bradford,MONROE TOWNSHIP,Registered Voters,,,,,,,,713
Bradford,NEW ALBANY BOROUGH,Registered Voters,,,,,,,,151
Bradford,ORWELL TOWNSHIP,Registered Voters,,,,,,,,794
Bradford,OVERTON TOWNSHIP,Registered Voters,,,,,,,,159
Bradford,PIKE TOWNSHIP,Registered Voters,,,,,,,,395
Bradford,RIDGEBURY TOWNSHIP,Registered Voters,,,,,,,,1322
Bradford,ROME BOROUGH,Registered Voters,,,,,,,,204
Bradford,ROME TOWNSHIP,Registered Voters,,,,,,,,706
Bradford,SAYRE BOROUGH 1ST WARD,Registered Voters,,,,,,,,499
Bradford,SAYRE BOROUGH 2ND WARD,Registered Voters,,,,,,,,1525
Bradford,SAYRE BOROUGH 3RD WARD,Registered Voters,,,,,,,,344
Bradford,SAYRE BOROUGH 4TH WARD,Registered Voters,,,,,,,,901
Bradford,SAYRE BOROUGH 5TH WARD,Registered Voters,,,,,,,,190
Bradford,SHESHEQUIN TOWNSHIP,Registered Voters,,,,,,,,849
Bradford,SMITHFIELD TOWNSHIP,Registered Voters,,,,,,,,1020
Bradford,SOUTH CREEK TOWNSHIP,Registered Voters,,,,,,,,793
Bradford,SOUTH WAVERLY BOROUGH,Registered Voters,,,,,,,,758
Bradford,SPRINGFIELD TOWNSHIP,Registered Voters,,,,,,,,776
Bradford,STANDING STONE TOWNSHIP,Registered Voters,,,,,,,,413
Bradford,STEVENS TOWNSHIP,Registered Voters,,,,,,,,296
Bradford,SYLVANIA BOROUGH,Registered Voters,,,,,,,,125
Bradford,TERRY TOWNSHIP,Registered Voters,,,,,,,,586
Bradford,TOWANDA BOROUGH 1ST WARD,Registered Voters,,,,,,,,380
Bradford,TOWANDA BOROUGH 2ND WARD,Registered Voters,,,,,,,,535
Bradford,TOWANDA BOROUGH 3RD WARD,Registered Voters,,,,,,,,740
