county,precinct,office,district,party,candidate,election_day,absentee,provisional,votes
BUCKS,Bedminster Twp East,President,,DEM,Bernie Sanders,28,45,5,78
BUCKS,Bedminster Twp East,President,,DEM,Joseph R. Biden,64,206,4,274
BUCKS,Bedminster Twp East,President,,DEM,Tulsi Gabbard,1,3,0,4
BUCKS,Bedminster Twp East,President,,DEM,Write-ins,6,2,0,8
BUCKS,Bedminster Twp East,Attorney General,,DEM,Josh Shapiro,91,242,10,343
BUCKS,Bedminster Twp East,Attorney General,,DEM,Write-ins,1,1,0,2
BUCKS,Bedminster Twp East,Auditor General,,DEM,H. Scott Conklin,5,11,0,16
BUCKS,Bedminster Twp East,Auditor General,,DEM,Michael Lamb,6,17,0,23
BUCKS,Bedminster Twp East,Auditor General,,DEM,Tracie Fountain,6,25,1,32
BUCKS,Bedminster Twp East,Auditor General,,DEM,Rose Rosie Marie Davis,1,10,0,11
BUCKS,Bedminster Twp East,Auditor General,,DEM,Nina Ahmad,55,122,7,184
BUCKS,Bedminster Twp East,Auditor General,,DEM,Christina Hartman,18,48,2,68
BUCKS,Bedminster Twp East,Auditor General,,DEM,Write-ins,1,0,0,1
BUCKS,Bedminster Twp East,State Treasurer,,DEM,Joe Torsella,87,237,10,334
BUCKS,Bedminster Twp East,State Treasurer,,DEM,Write-ins,1,0,0,1
BUCKS,Bedminster Twp East,U.S. House,1,DEM,Christina Finello,72,187,8,267
BUCKS,Bedminster Twp East,U.S. House,1,DEM,Skylar D. Hurwitz,21,59,2,82
BUCKS,Bedminster Twp East,U.S. House,1,DEM,Write-ins,2,0,0,2
BUCKS,Bedminster Twp East,General Assembly,143,DEM,Wendy Ullman,93,248,10,351
BUCKS,Bedminster Twp East,General Assembly,143,DEM,Write-ins,3,0,0,3
BUCKS,Bedminster Twp East,President,,REP,Donald J. Trump,373,115,10,498
BUCKS,Bedminster Twp East,President,,REP,Roque Rocky De La Fuente,1,3,0,4
BUCKS,Bedminster Twp East,President,,REP,Bill Weld,13,17,0,30
BUCKS,Bedminster Twp East,President,,REP,Write-ins,3,6,0,9
BUCKS,Bedminster Twp East,Attorney General,,REP,Heather Heidelbaugh,342,138,10,490
BUCKS,Bedminster Twp East,Attorney General,,REP,Write-ins,2,1,0,3
BUCKS,Bedminster Twp East,Auditor General,,REP,Timothy Defoor,339,135,10,484
BUCKS,Bedminster Twp East,Auditor General,,REP,Write-ins,2,2,0,4
BUCKS,Bedminster Twp East,State Treasurer,,REP,Stacy L. Garrity,333,138,10,481
BUCKS,Bedminster Twp East,State Treasurer,,REP,Write-ins,1,1,0,2
BUCKS,Bedminster Twp East,U.S. House,1,REP,Andy Meehan,238,40,8,286
BUCKS,Bedminster Twp East,U.S. House,1,REP,Brian Fitzpatrick,158,108,2,268
BUCKS,Bedminster Twp East,U.S. House,1,REP,Write-ins,0,1,0,1
BUCKS,Bedminster Twp East,General Assembly,143,REP,Shelby Labs,357,138,10,505
BUCKS,Bedminster Twp East,General Assembly,143,REP,Write-ins,3,3,0,6
BUCKS,Bedminster Twp West,President,,DEM,Bernie Sanders,24,41,3,68
BUCKS,Bedminster Twp West,President,,DEM,Joseph R. Biden,65,266,4,335
BUCKS,Bedminster Twp West,President,,DEM,Tulsi Gabbard,4,6,0,10
BUCKS,Bedminster Twp West,President,,DEM,Write-ins,3,0,1,4
BUCKS,Bedminster Twp West,Attorney General,,DEM,Josh Shapiro,85,289,7,381
BUCKS,Bedminster Twp West,Attorney General,,DEM,Write-ins,2,1,0,3
BUCKS,Bedminster Twp West,Auditor General,,DEM,H. Scott Conklin,5,14,0,19
BUCKS,Bedminster Twp West,Auditor General,,DEM,Michael Lamb,11,25,0,36
BUCKS,Bedminster Twp West,Auditor General,,DEM,Tracie Fountain,3,44,0,47
BUCKS,Bedminster Twp West,Auditor General,,DEM,Rose Rosie Marie Davis,3,12,0,15
