county,precinct,office,district,party,candidate,votes,,,,,,,,,,,,,,,,,
York,Carroll Township,President,,DEM,Joseph R. Biden,1345,,,,,,,,,,,,,,,,,
York,Chanceford Township 1,President,,DEM,Joseph R. Biden,336,,,,,,,,,,,,,,,,,
York,Chanceford Township 2,President,,DEM,Joseph R. Biden,94,,,,,,,,,,,,,,,,,
York,Chanceford Township 3,President,,DEM,Joseph R. Biden,196,,,,,,,,,,,,,,,,,
York,Codorus Township 1,President,,DEM,Joseph R. Biden,183,,,,,,,,,,,,,,,,,
York,Codorus Township 2,President,,DEM,Joseph R. Biden,198,,,,,,,,,,,,,,,,,
York,Codorus Township 3,President,,DEM,Joseph R. Biden,259,,,,,,,,,,,,,,,,,
York,Conewago Township 1,President,,DEM,Joseph R. Biden,987,,,,,,,,,,,,,,,,,
York,Conewago Township 2,President,,DEM,Joseph R. Biden,550,,,,,,,,,,,,,,,,,
York,Dover Township 1,President,,DEM,Joseph R. Biden,1159,,,,,,,,,,,,,,,,,
York,Dover Township 2,President,,DEM,Joseph R. Biden,1079,,,,,,,,,,,,,,,,,
York,Dover Township 3,President,,DEM,Joseph R. Biden,687,,,,,,,,,,,,,,,,,
York,Dover Township 4,President,,DEM,Joseph R. Biden,724,,,,,,,,,,,,,,,,,
York,East Hopewell Township,President,,DEM,Joseph R. Biden,368,,,,,,,,,,,,,,,,,
York,East Manchester Township,President,,DEM,Joseph R. Biden,1630,,,,,,,,,,,,,,,,,
York,Fairview Township 1,President,,DEM,Joseph R. Biden,709,,,,,,,,,,,,,,,,,
York,Fairview Township 2,President,,DEM,Joseph R. Biden,1069,,,,,,,,,,,,,,,,,
York,Fairview Township 3,President,,DEM,Joseph R. Biden,1676,,,,,,,,,,,,,,,,,
York,Fairview Township 4,President,,DEM,Joseph R. Biden,718,,,,,,,,,,,,,,,,,
York,Fawn Township,President,,DEM,Joseph R. Biden,300,,,,,,,,,,,,,,,,,
York,Franklin Township,President,,DEM,Joseph R. Biden,760,,,,,,,,,,,,,,,,,
York,Heidelberg Township,President,,DEM,Joseph R. Biden,427,,,,,,,,,,,,,,,,,
York,Hellam Township 1,President,,DEM,Joseph R. Biden,483,,,,,,,,,,,,,,,,,
York,Hellam Township 2,President,,DEM,Joseph R. Biden,580,,,,,,,,,,,,,,,,,
York,Hopewell Township,President,,DEM,Joseph R. Biden,946,,,,,,,,,,,,,,,,,
York,Jackson Township 1,President,,DEM,Joseph R. Biden,665,,,,,,,,,,,,,,,,,
York,Jackson Township 2,President,,DEM,Joseph R. Biden,719,,,,,,,,,,,,,,,,,
York,Lower Chanceford Township 1,President,,DEM,Joseph R. Biden,130,,,,,,,,,,,,,,,,,
York,Lower Chanceford Township 2,President,,DEM,Joseph R. Biden,153,,,,,,,,,,,,,,,,,
York,Lower Windsor Township 1,President,,DEM,Joseph R. Biden,176,,,,,,,,,,,,,,,,,
York,Lower Windsor Township 2,President,,DEM,Joseph R. Biden,402,,,,,,,,,,,,,,,,,
York,Lower Windsor Township 3,President,,DEM,Joseph R. Biden,444,,,,,,,,,,,,,,,,,
York,Manchester Township 1,President,,DEM,Joseph R. Biden,415,,,,,,,,,,,,,,,,,
York,Manchester Township 2,President,,DEM,Joseph R. Biden,627,,,,,,,,,,,,,,,,,
York,Manchester Township 3,President,,DEM,Joseph R. Biden,850,,,,,,,,,,,,,,,,,
York,Manchester Township 4,President,,DEM,Joseph R. Biden,531,,,,,,,,,,,,,,,,,
York,Manchester Township 5,President,,DEM,Joseph R. Biden,861,,,,,,,,,,,,,,,,,
York,Manchester Township 6,President,,DEM,Joseph R. Biden,837,,,,,,,,,,,,,,,,,
York,Manchester Township 7,President,,DEM,Joseph R. Biden,701,,,,,,,,,,,,,,,,,
York,Manheim Township,President,,DEM,Joseph R. Biden,494,,,,,,,,,,,,,,,,,
York,Monaghan Township,President,,DEM,Joseph R. Biden,573,,,,,,,,,,,,,,,,,
York,Newberry Township 1,President,,DEM,Joseph R. Biden,1001,,,,,,,,,,,,,,,,,
York,Newberry Township 2,President,,DEM,Joseph R. Biden,531,,,,,,,,,,,,,,,,,
York,Newberry Township 3,President,,DEM,Joseph R. Biden,947,,,,,,,,,,,,,,,,,
York,North Codorus Township 1,President,,DEM,Joseph R. Biden,981,,,,,,,,,,,,,,,,,
York,North Codorus Township 2,President,,DEM,Joseph R. Biden,480,,,,,,,,,,,,,,,,,
York,North Hopewell Township,President,,DEM,Joseph R. Biden,314,,,,,,,,,,,,,,,,,
York,Paradise Township,President,,DEM,Joseph R. Biden,515,,,,,,,,,,,,,,,,,
York,Peach Bottom Township,President,,DEM,Joseph R. Biden,509,,,,,,,,,,,,,,,,,
York,Penn Township 1,President,,DEM,Joseph R. Biden,716,,,,,,,,,,,,,,,,,
York,Penn Township 2,President,,DEM,Joseph R. Biden,749,,,,,,,,,,,,,,,,,
York,Penn Township 3,President,,DEM,Joseph R. Biden,467,,,,,,,,,,,,,,,,,
York,Penn Township 4,President,,DEM,Joseph R. Biden,976,,,,,,,,,,,,,,,,,
York,Shrewsbury Township 1,President,,DEM,Joseph R. Biden,498,,,,,,,,,,,,,,,,,
York,Shrewsbury Township 2,President,,DEM,Joseph R. Biden,954,,,,,,,,,,,,,,,,,
York,Springettsbury Township 1,President,,DEM,Joseph R. Biden,514,,,,,,,,,,,,,,,,,
York,Springettsbury Township 2,President,,DEM,Joseph R. Biden,1094,,,,,,,,,,,,,,,,,
York,Springettsbury Township 3,President,,DEM,Joseph R. Biden,1292,,,,,,,,,,,,,,,,,
York,Springettsbury Township 4,President,,DEM,Joseph R. Biden,1162,,,,,,,,,,,,,,,,,
York,Springettsbury Township 5,President,,DEM,Joseph R. Biden,464,,,,,,,,,,,,,,,,,
York,Springettsbury Township 6,President,,DEM,Joseph R. Biden,516,,,,,,,,,,,,,,,,,
