county,precinct,office,district,party,candidate,election_day,absentee,votes
Chester,005 ATGLEN,Registered Voters,,,,,,791
Chester,005 ATGLEN,Registered Voters,,DEM,,,,305
Chester,005 ATGLEN,Registered Voters,,REP,,,,377
Chester,005 ATGLEN,Registered Voters,,NPA,,,,109
Chester,005 ATGLEN,Ballots Cast,,,,199,93,292
Chester,005 ATGLEN,Ballots Cast,,DEM,,70,64,134
Chester,005 ATGLEN,Ballots Cast,,REP,,129,29,158
Chester,005 ATGLEN,Ballots Cast,,NPA,,0,0,0
Chester,005 ATGLEN,President,,DEM,Bernie Sanders,13,11,24
Chester,005 ATGLEN,President,,DEM,Joseph R Biden,52,50,102
Chester,005 ATGLEN,President,,DEM,Tulsi Gabbard,1,1,2
Chester,005 ATGLEN,President,,DEM,Write-In,3,1,4
Chester,005 ATGLEN,Attorney General,,DEM,Josh Shapiro,62,58,120
Chester,005 ATGLEN,Attorney General,,DEM,Write-In,0,0,0
Chester,005 ATGLEN,Auditor General,,DEM,H Scott Conklin,4,1,5
Chester,005 ATGLEN,Auditor General,,DEM,Michael Lamb,1,5,6
Chester,005 ATGLEN,Auditor General,,DEM,Tracie Fountain,0,2,2
Chester,005 ATGLEN,Auditor General,,DEM,Rose Rosie Marie Davis,0,3,3
Chester,005 ATGLEN,Auditor General,,DEM,Nina Ahmad,22,21,43
Chester,005 ATGLEN,Auditor General,,DEM,Christina M Hartman,35,27,62
Chester,005 ATGLEN,Auditor General,,DEM,Write-In,0,0,0
Chester,005 ATGLEN,State Treasurer,,DEM,Joe Torsella,63,59,122
Chester,005 ATGLEN,State Treasurer,,DEM,Write-In,1,0,1
Chester,005 ATGLEN,U.S. House,6,DEM,Chrissy Houlahan,64,60,124
Chester,005 ATGLEN,U.S. House,6,DEM,Write-In,1,0,1
Chester,005 ATGLEN,State Senate,19,DEM,Carolyn Comitta,54,37,91
Chester,005 ATGLEN,State Senate,19,DEM,Kyle J Boyer,5,7,12
Chester,005 ATGLEN,State Senate,19,DEM,Don Vymazal,5,15,20
Chester,005 ATGLEN,State Senate,19,DEM,Write-In,0,0,0
Chester,005 ATGLEN,General Assembly,13,DEM,Richard Ruggieri,64,59,123
Chester,005 ATGLEN,General Assembly,13,DEM,Write-In,0,0,0
Chester,005 ATGLEN,President,,REP,Donald J Trump,113,18,131
Chester,005 ATGLEN,President,,REP,Roque Rocky De La Fuente,0,2,2
Chester,005 ATGLEN,President,,REP,Bill Weld,8,2,10
Chester,005 ATGLEN,President,,REP,Write-In,4,3,7
