county,precinct,office,district,party,candidate,votes,mail,election_day,provisional
Westmoreland,Adamsburg Borough,President,,DEM,Joseph R Biden,22,11,10,1
Westmoreland,Allegheny Township #1 Shearers,President,,DEM,Joseph R Biden,548,360,180,8
Westmoreland,Allegheny Township #2 Mckees,President,,DEM,Joseph R Biden,114,55,58,1
Westmoreland,Allegheny Township #3 Sobers,President,,DEM,Joseph R Biden,451,238,204,9
Westmoreland,Allegheny Township #4 Stewarts,President,,DEM,Joseph R Biden,219,91,122,6
Westmoreland,Allegheny Township #5 Bellvue,President,,DEM,Joseph R Biden,166,96,67,3
Westmoreland,City Of Arnold - 1-1,President,,DEM,Joseph R Biden,130,37,91,2
Westmoreland,City Of Arnold - 1-2,President,,DEM,Joseph R Biden,123,38,82,3
Westmoreland,City Of Arnold - 2-1,President,,DEM,Joseph R Biden,221,110,109,2
Westmoreland,City Of Arnold - 2-2,President,,DEM,Joseph R Biden,298,125,163,10
Westmoreland,City Of Arnold - 2-3,President,,DEM,Joseph R Biden,328,107,210,11
Westmoreland,Arona Borough,President,,DEM,Joseph R Biden,48,10,38,0
Westmoreland,Avonmore Borough,President,,DEM,Joseph R Biden,183,92,89,2
Westmoreland,Bell Township - Perrysville,President,,DEM,Joseph R Biden,185,96,88,1
Westmoreland,Bell Township - Roaring Run,President,,DEM,Joseph R Biden,96,37,55,4
Westmoreland,Bell Township - Salina,President,,DEM,Joseph R Biden,68,22,45,1
Westmoreland,Bolivar Borough,President,,DEM,Joseph R Biden,63,18,42,3
Westmoreland,Cook Township,President,,DEM,Joseph R Biden,313,161,151,1
Westmoreland,Delmont Borough,President,,DEM,Joseph R Biden,592,346,235,11
Westmoreland,Derry Borough - 1St Ward,President,,DEM,Joseph R Biden,169,84,81,4
Westmoreland,Derry Borough - 2Nd Ward,President,,DEM,Joseph R Biden,88,32,55,1
Westmoreland,Derry Borough - 3Rd Ward,President,,DEM,Joseph R Biden,49,18,31,0
Westmoreland,Derry Borough - 4Th Ward,President,,DEM,Joseph R Biden,90,36,53,1
Westmoreland,Derry Township - Alters,President,,DEM,Joseph R Biden,187,106,80,1
Westmoreland,Derry Township - Bradenville,President,,DEM,Joseph R Biden,149,67,78,4
Westmoreland,Derry Township - Cokeville,President,,DEM,Joseph R Biden,132,47,85,0
Westmoreland,Derry Township - Cooperstown,President,,DEM,Joseph R Biden,327,179,144,4
Westmoreland,Derry Township - Kingston,President,,DEM,Joseph R Biden,95,41,53,1
Westmoreland,Derry Township - Loyalhanna,President,,DEM,Joseph R Biden,182,114,60,8
Westmoreland,Derry Township - Millwood,President,,DEM,Joseph R Biden,198,95,101,2
Westmoreland,Derry Township - New Derry,President,,DEM,Joseph R Biden,251,132,114,5
Westmoreland,Derry Township - Peanut,President,,DEM,Joseph R Biden,150,74,75,1
Westmoreland,Derry Township - Saxman,President,,DEM,Joseph R Biden,300,168,124,8
Westmoreland,Derry Township - Scalp Level,President,,DEM,Joseph R Biden,99,44,55,0
Westmoreland,Derry Township - Simpsons,President,,DEM,Joseph R Biden,106,57,48,1
Westmoreland,Derry Township - Torrance,President,,DEM,Joseph R Biden,54,39,14,1
Westmoreland,Donegal Borough,President,,DEM,Joseph R Biden,20,6,14,0
Westmoreland,Donegal Township - Four Mile Run,President,,DEM,Joseph R Biden,206,98,104,4
Westmoreland,Donegal Township - Indian Creek,President,,DEM,Joseph R Biden,102,50,51,1
Westmoreland,East Huntingdon Township Bessemer #1,President,,DEM,Joseph R Biden,121,62,59,0
Westmoreland,East Huntingdon Township Bessemer #2,President,,DEM,Joseph R Biden,229,112,112,5
Westmoreland,E Huntingdon Township - Ruffssale,President,,DEM,Joseph R Biden,217,108,106,3
Westmoreland,E Huntingdon Township - Stoners,President,,DEM,Joseph R Biden,78,29,49,0
Westmoreland,E Huntingdon Township - Strohms,President,,DEM,Joseph R Biden,122,48,70,4
Westmoreland,E Huntingdon Township - Whites,President,,DEM,Joseph R Biden,268,161,101,6
