county,precinct,office,district,party,candidate,votes,election_day,provisional,mail
Mifflin,ARMAGH - EAST,Registered Voters,,,,726,,,
Mifflin,ARMAGH - EAST,Ballots Cast,,,,603,509,4,90
Mifflin,ARMAGH - EAST,Ballots Cast Blank,,,,0,0,0,0
Mifflin,ARMAGH - EAST,President,,DEM,Joseph R. Biden,87,46,1,40
Mifflin,ARMAGH - EAST,President,,REP,Donald J. Trump,507,455,3,49
Mifflin,ARMAGH - EAST,President,,LIB,Jo Jorgensen,8,7,0,1
Mifflin,ARMAGH - EAST,President,,,Write-ins,0,0,0,0
Mifflin,ARMAGH - EAST,Attorney General,,DEM,JOSH SHAPIRO,97,59,1,37
Mifflin,ARMAGH - EAST,Attorney General,,REP,HEATHER HEIDELBAUGH,476,424,3,49
Mifflin,ARMAGH - EAST,Attorney General,,LIB,DANIEL WASSMER,10,8,0,2
Mifflin,ARMAGH - EAST,Attorney General,,GRE,RICHARD L WEISS,2,2,0,0
Mifflin,ARMAGH - EAST,Attorney General,,,Write-ins,0,0,0,0
Mifflin,ARMAGH - EAST,Auditor General,,DEM,NINA AHMAD,78,39,1,38
Mifflin,ARMAGH - EAST,Auditor General,,REP,TIMOTHY DEFOOR,477,428,3,46
Mifflin,ARMAGH - EAST,Auditor General,,LIB,JENNIFER MOORE,21,19,0,2
Mifflin,ARMAGH - EAST,Auditor General,,GRE,OLIVIA FAISON,2,1,0,1
Mifflin,ARMAGH - EAST,Auditor General,,,Write-ins,1,1,0,0
Mifflin,ARMAGH - EAST,State Treasurer,,DEM,JOE TORSELLA,82,47,1,34
Mifflin,ARMAGH - EAST,State Treasurer,,REP,STACY L GARRITY,485,430,3,52
Mifflin,ARMAGH - EAST,State Treasurer,,LIB,JOE SOLOSKI,14,12,0,2
Mifflin,ARMAGH - EAST,State Treasurer,,GRE,TIMOTHY RUNKLE,2,2,0,0
Mifflin,ARMAGH - EAST,State Treasurer,,,Write-ins,1,1,0,0
Mifflin,ARMAGH - EAST,U.S. House,12,DEM,LEE GRIFFIN,79,43,1,35
Mifflin,ARMAGH - EAST,U.S. House,12,REP,FRED KELLER,504,448,3,53
