county,precinct,office,district,party,candidate,votes,mail
Northumberland,Coal Township 1,Registered Voters,,,,506,
Northumberland,Coal Township 1,Ballots Cast,,,,353,86
Northumberland,Coal Township 1,Ballots Cast - Blank,,,,0,0
Northumberland,Coal Township 1,President,,DEM,Joseph R. Biden,119,56
Northumberland,Coal Township 1,President,,REP,Donald J. Trump,224,30
Northumberland,Coal Township 1,President,,LIB,Jo Jorgensen,6,0
Northumberland,Coal Township 1,President,,,Write-ins,2,0
Northumberland,Coal Township 1,Attorney General,,DEM,JOSH SHAPIRO,137,58
Northumberland,Coal Township 1,Attorney General,,REP,HEATHER HEIDELBAUGH,188,25
Northumberland,Coal Township 1,Attorney General,,LIB,DANIEL WASSMER,9,0
Northumberland,Coal Township 1,Attorney General,,GRN,RICHARD L WEISS,3,1
Northumberland,Coal Township 1,Attorney General,,,Write-ins,0,0
Northumberland,Coal Township 1,Auditor General,,DEM,NINA AHMAD,117,52
Northumberland,Coal Township 1,Auditor General,,REP,TIMOTHY DEFOOR,195,28
Northumberland,Coal Township 1,Auditor General,,LIB,JENNIFER MOORE,19,3
Northumberland,Coal Township 1,Auditor General,,GRN,OLIVIA FAISON,6,2
Northumberland,Coal Township 1,Auditor General,,,Write-ins,0,0
Northumberland,Coal Township 1,State Treasurer,,DEM,JOE TORSELLA,121,56
Northumberland,Coal Township 1,State Treasurer,,REP,STACY L GARRITY,199,24
Northumberland,Coal Township 1,State Treasurer,,LIB,JOE SOLOSKI,15,4
Northumberland,Coal Township 1,State Treasurer,,GRN,TIMOTHY RUNKLE,2,0
Northumberland,Coal Township 1,State Treasurer,,,Write-ins,0,0
Northumberland,Coal Township 1,U.S. House,9,DEM,GARY WEGMAN,127,53
Northumberland,Coal Township 1,U.S. House,9,REP,DAN MEUSER,214,32
Northumberland,Coal Township 1,U.S. House,9,,Write-ins,0,0
Northumberland,Coal Township 1,State Senate,27,DEM,MICHELLE SIEGEL,122,51
Northumberland,Coal Township 1,State Senate,27,REP,JOHN R GORDNER,218,34
Northumberland,Coal Township 1,State Senate,27,,Write-ins,0,0
Northumberland,Coal Township 1,State House,107,REP,KURT A MASSER,265,55
Northumberland,Coal Township 1,State House,107,LIB,RYAN BOURINSKI,69,25
Northumberland,Coal Township 1,State House,107,,Write-ins,0,0
Northumberland,Coal Township 2,Registered Voters,,,,712,
Northumberland,Coal Township 2,Ballots Cast,,,,456,101
Northumberland,Coal Township 2,Ballots Cast - Blank,,,,0,0
Northumberland,Coal Township 2,President,,DEM,Joseph R. Biden,179,72
Northumberland,Coal Township 2,President,,REP,Donald J. Trump,267,27
Northumberland,Coal Township 2,President,,LIB,Jo Jorgensen,8,2
Northumberland,Coal Township 2,President,,,Write-ins,1,0
Northumberland,Coal Township 2,Attorney General,,DEM,JOSH SHAPIRO,195,69
Northumberland,Coal Township 2,Attorney General,,REP,HEATHER HEIDELBAUGH,233,27
Northumberland,Coal Township 2,Attorney General,,LIB,DANIEL WASSMER,6,2
Northumberland,Coal Township 2,Attorney General,,GRN,RICHARD L WEISS,10,2
Northumberland,Coal Township 2,Attorney General,,,Write-ins,0,0
Northumberland,Coal Township 2,Auditor General,,DEM,NINA AHMAD,174,65
Northumberland,Coal Township 2,Auditor General,,REP,TIMOTHY DEFOOR,237,28
Northumberland,Coal Township 2,Auditor General,,LIB,JENNIFER MOORE,14,3
Northumberland,Coal Township 2,Auditor General,,GRN,OLIVIA FAISON,6,1
Northumberland,Coal Township 2,Auditor General,,,Write-ins,0,0
Northumberland,Coal Township 2,State Treasurer,,DEM,JOE TORSELLA,176,65
Northumberland,Coal Township 2,State Treasurer,,REP,STACY L GARRITY,240,27
Northumberland,Coal Township 2,State Treasurer,,LIB,JOE SOLOSKI,11,4
Northumberland,Coal Township 2,State Treasurer,,GRN,TIMOTHY RUNKLE,9,3
Northumberland,Coal Township 2,State Treasurer,,,Write-ins,0,0
Northumberland,Coal Township 2,U.S. House,9,DEM,GARY WEGMAN,164,65
Northumberland,Coal Township 2,U.S. House,9,REP,DAN MEUSER,277,33
Northumberland,Coal Township 2,U.S. House,9,,Write-ins,0,0
Northumberland,Coal Township 2,State Senate,27,DEM,MICHELLE SIEGEL,163,66
Northumberland,Coal Township 2,State Senate,27,REP,JOHN R GORDNER,278,34
Northumberland,Coal Township 2,State Senate,27,,Write-ins,0,0
Northumberland,Coal Township 2,State House,107,REP,KURT A MASSER,351,67
Northumberland,Coal Township 2,State House,107,LIB,RYAN BOURINSKI,78,24
Northumberland,Coal Township 2,State House,107,,Write-ins,4,4
Northumberland,Coal Township 3,Registered Voters,,,,788,
Northumberland,Coal Township 3,Ballots Cast,,,,526,140
Northumberland,Coal Township 3,Ballots Cast - Blank,,,,0,0
Northumberland,Coal Township 3,President,,DEM,Joseph R. Biden,183,75
Northumberland,Coal Township 3,President,,REP,Donald J. Trump,329,62
Northumberland,Coal Township 3,President,,LIB,Jo Jorgensen,8,2
Northumberland,Coal Township 3,President,,,Write-ins,1,1
