candidate,office,district,party,county,votes,winner
"SABATINA, JOHN P.",State House,174,DEM,Philadelphia,1891,TRUE
"EBSWORTH, CHARLES R.",State House,174,REP,Philadelphia,151,
"CONFER, TRACI",State House,174,GRN,Philadelphia,79,
