candidate,office,district,party,county,votes,winner
"BROWNE, PAT",State Senate,16,REP,Lehigh,11953,
"MANN, JENNIFER",State Senate,16,DEM,Lehigh,10673,
"MINDER, DRAKE E.",State Senate,16,IND,Lehigh,583,
"BROWNE, PAT",State Senate,16,REP,Monroe,1075,
"MANN, JENNIFER",State Senate,16,DEM,Monroe,697,
"MINDER, DRAKE E.",State Senate,16,IND,Monroe,121,
"BROWNE, PAT",State Senate,16,REP,Northampton,2652,
"MANN, JENNIFER",State Senate,16,DEM,Northampton,1791,
"MINDER, DRAKE E.",State Senate,16,IND,Northampton,175,
"BROWNE, PAT",State Senate,16,REP,,15680,TRUE
"MANN, JENNIFER",State Senate,16,DEM,,13161,
"MINDER, DRAKE E.",State Senate,16,IND,,879,
