candidate,office,district,party,county,votes,winner
"DETERING, HARRY A.",State Senate,9,DFS,Chester,3937,
"PILEGGI, DOMINIC F.",State Senate,9,REP,Chester,2547,
"KIRKLAND, THADDEUS",State Senate,9,DEM,Chester,939,
"GREEN, ANDREW W.",State Senate,9,GRN,Chester,85,
"DETERING, HARRY A.",State Senate,9,DFS,Delaware,13460,
"PILEGGI, DOMINIC F.",State Senate,9,REP,Delaware,4776,
"KIRKLAND, THADDEUS",State Senate,9,DEM,Delaware,767,
"GREEN, ANDREW W.",State Senate,9,GRN,Delaware,149,
"DETERING, HARRY A.",State Senate,9,DFS,,16007,TRUE
"PILEGGI, DOMINIC F.",State Senate,9,REP,,5715,
"KIRKLAND, THADDEUS",State Senate,9,DEM,,4704,
"GREEN, ANDREW W.",State Senate,9,GRN,,234,
