candidate,office,district,party,county,votes,winner
"ARGALL, DAVID G.",State Senate,29,REP,Berks,2221,
"LUKACH, STEPHEN M.",State Senate,29,DEM,Berks,580,
"ARGALL, DAVID G.",State Senate,29,REP,Carbon,1471,
"LUKACH, STEPHEN M.",State Senate,29,DEM,Carbon,818,
"ARGALL, DAVID G.",State Senate,29,REP,Lehigh,980,
"LUKACH, STEPHEN M.",State Senate,29,DEM,Lehigh,405,
"ARGALL, DAVID G.",State Senate,29,REP,Monroe,854,
"LUKACH, STEPHEN M.",State Senate,29,DEM,Monroe,452,
"ARGALL, DAVID G.",State Senate,29,REP,Northampton,554,
"LUKACH, STEPHEN M.",State Senate,29,DEM,Northampton,280,
"ARGALL, DAVID G.",State Senate,29,REP,Schuylkill,14798,
"LUKACH, STEPHEN M.",State Senate,29,DEM,Schuylkill,10041,
"ARGALL, DAVID G.",State Senate,29,REP,,20878,TRUE
"LUKACH, STEPHEN M.",State Senate,29,DEM,,12576,
