candidate,office,district,party,county,votes,winner
"WAGNER, SCOTT",State Senate,28,WRT,York,10654,TRUE
"MILLER, RON",State Senate,28,REP,York,5951,
"SMALL, LINDA E",State Senate,28,DEM,York,5744,
Write-ins,State Senate,28,,York,76,
