candidate,office,district,party,county,votes,winner
"FONTANA, WAYNE D.",State Senate,42,DEM,Allegheny,19834,TRUE
"DIVEN, MICHAEL",State Senate,42,REP,Allegheny,13353,
"RAUTERKUS, MARK",State Senate,42,LIB,Allegheny,2542,
