county,office,district,party,candidate,votes,election_day,mail,provisional
Bradford,Governor,,DEM,Josh Shapiro,2137,,,
Bradford,Governor,,DEM,Stacy Garrity,38,,,
Bradford,Governor,,REP,Stacy Garrity,4915,,,
Bradford,Governor,,REP,Doug Mastriano,33,,,
Bradford,Governor,,REP,Josh Shapiro,107,,,
Bradford,Lieutenant Governor,,DEM,Austin Davis,2068,,,
Bradford,State House,68,REP,Clint Owlett,2041,,,
Bradford,State House,68,REP,Quentin Gee,7,,,
Bradford,State House,110,DEM,Pamela J Hemann,1368,,,
Bradford,State House,110,DEM,Tina Pickett,21,,,
Bradford,State House,110,REP,Tina Pickett,3003,,,
Bradford,State House,110,REP,Pamela Hemann,11,,,
Bradford,Member of Democratic State Committee,,DEM,Kim Pitcher,175,,,
Bradford,Lieutenant Governor,,REP,John Ventre,1330,,,
Bradford,Lieutenant Governor,,REP,Jason Richey,3377,,,
Bradford,Lieutenant Governor,,REP,Austin Davis,39,,,
Bradford,U.S. House,9,DEM,Rachel Wallace,2019,,,
Bradford,U.S. House,9,DEM,Dan Meuser,10,,,
Bradford,U.S. House,9,REP,Dan Meuser,4818,,,
Bradford,U.S. House,9,REP,Rachel Wallace,34,,,
Bradford,State House,68,DEM,Quentin Gee,652,,,
Bradford,Member of Republican State Committee,,REP,Wende McLinko,3876,,,
Bradford,Member of Republican State Committee,,REP,Eric Matthews,4140,,,
