county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Bucks,Bedminster Twp East,Governor,,DEM,Josh Shapiro,355,134,220,1
Bucks,Bedminster Twp East,Governor,,DEM,Write-In Totals,4,2,2,0
Bucks,Bedminster Twp East,Governor,,REP,Stacy Garrity,343,229,114,0
Bucks,Bedminster Twp East,Governor,,REP,Write-In Totals,10,7,3,0
Bucks,Bedminster Twp East,Lieutenant Governor,,DEM,Austin Davis,356,134,221,1
Bucks,Bedminster Twp East,Lieutenant Governor,,DEM,Write-In Totals,1,1,0,0
Bucks,Bedminster Twp East,Lieutenant Governor,,REP,John Ventre,68,37,31,0
Bucks,Bedminster Twp East,Lieutenant Governor,,REP,Jason Richey,277,200,77,0
Bucks,Bedminster Twp East,Lieutenant Governor,,REP,Write-In Totals,6,3,3,0
Bucks,Bedminster Twp East,U.S. House,,DEM,Bob Harvie,202,77,125,0
Bucks,Bedminster Twp East,U.S. House,,DEM,Lucia Simonelli,157,60,96,1
Bucks,Bedminster Twp East,U.S. House,,DEM,Write-In Totals,1,1,0,0
Bucks,Bedminster Twp East,U.S. House,,REP,Brian Fitzpatrick,301,195,105,1
Bucks,Bedminster Twp East,U.S. House,,REP,Write-In Totals,14,6,8,0
Bucks,Bedminster Twp East,State Senate,16,DEM,Mark Pinsley,86,38,47,1
Bucks,Bedminster Twp East,State Senate,16,DEM,Bradley Merkl-Gump,272,100,172,0
Bucks,Bedminster Twp East,State Senate,16,DEM,Write-In Totals,1,1,0,0
Bucks,Bedminster Twp East,State Senate,16,REP,Jarrett Coleman,343,226,117,0
Bucks,Bedminster Twp East,State Senate,16,REP,Write-In Totals,5,2,3,0
Bucks,Bedminster Twp East,State House,143,DEM,Tim Hayes,353,133,219,1
Bucks,Bedminster Twp East,State House,143,DEM,Write-In Totals,1,1,0,0
Bucks,Bedminster Twp East,State House,143,REP,Shelby Labs,362,238,123,1
Bucks,Bedminster Twp East,State House,143,REP,Write-In Totals,5,3,2,0
Bucks,Bedminster Twp East,State House,143,REP,Steve Wojciechowski,258,103,155,0
Bucks,Bedminster Twp East,State House,143,REP,Paul Robert Roden,220,87,133,0
Bucks,Bedminster Twp East,State House,143,REP,Nastasha Raisley,245,97,148,0
Bucks,Bedminster Twp East,State House,143,REP,Ijaz Manzoor Chaudhry,212,95,117,0
Bucks,Bedminster Twp East,State House,143,REP,Umar Farooq,209,87,122,0
Bucks,Bedminster Twp East,State House,143,REP,Eleanor Breslin,315,121,193,1
Bucks,Bedminster Twp East,State House,143,REP,Emily Goble Smith,301,112,189,0
Bucks,Bedminster Twp East,State House,143,REP,Marlene Katz,255,100,155,0
Bucks,Bedminster Twp East,State House,143,REP,Leann Hart,251,104,147,0
Bucks,Bedminster Twp East,State House,143,REP,John B. Lewis,225,87,138,0
Bucks,Bedminster Twp East,State House,143,REP,Jessica J. Malobisky,312,120,192,0
Bucks,Bedminster Twp East,State House,143,REP,Connor O'hanlon,308,118,190,0
Bucks,Bedminster Twp East,State House,143,REP,Seema Kazmi,133,50,83,0
Bucks,Bedminster Twp East,State House,143,REP,Liz Warren,290,112,178,0
Bucks,Bedminster Twp East,State House,143,REP,Kyle Esposito,195,62,133,0
Bucks,Bedminster Twp East,State House,143,REP,Meghan Schroeder,292,199,92,1
Bucks,Bedminster Twp East,State House,143,REP,Don Petrille,325,214,110,1
Bucks,Bedminster Twp East,State House,143,REP,Sharon Clancy,53,38,14,1
Bucks,Bedminster Twp East,State House,143,REP,Diane Dowler,247,170,76,1
Bucks,Bedminster Twp East,State House,143,REP,Mike Domanico,84,53,30,1
Bucks,Bedminster Twp East,State House,143,REP,Raymond Goodnoe,272,193,78,1
Bucks,Bedminster Twp East,State House,143,REP,Richard Arnott,99,59,40,0
Bucks,Bedminster Twp East,State House,143,REP,Caribe Cc Giscombe,32,23,9,0
Bucks,Bedminster Twp East,State House,143,REP,Henry E. Van Blunk,280,189,91,0
Bucks,Bedminster Twp East,State House,143,REP,Robert Sellers,284,197,86,1
Bucks,Bedminster Twp East,State House,143,REP,Joseph Sroka,254,177,76,1
Bucks,Bedminster Twp East,State House,143,REP,Andy Meehan,39,26,13,0
Bucks,Bedminster Twp East,State House,143,REP,Colleen Strunk,256,177,78,1
Bucks,Bedminster Twp East,State House,143,REP,Barbara Garwood,37,25,12,0
Bucks,Bedminster Twp East,State House,143,REP,Lisa Von Deylen,41,25,16,0
Bucks,Bedminster Twp East,State House,143,REP,Nick Bordner,224,159,65,0
Bucks,Bedminster Twp East,State House,143,REP,Mary E. Vigna,79,47,32,0
Bucks,Bedminster Twp East,State House,143,REP,Tom Panzer,256,180,75,1
Bucks,Bedminster Twp East,State House,143,REP,David Breidinger,236,164,71,1
Bucks,Bedminster Twp East,State House,143,REP,Savannah McCloskey,235,168,67,0
Bucks,Bedminster Twp East,State House,143,REP,Ellen Cox,293,192,101,0
Bucks,Bedminster Twp East,State House,143,REP,Fran Grous,32,24,7,1
Bucks,Bedminster Twp East,State House,143,REP,Keith Hoffman,74,44,30,0
Bucks,Bedminster Twp East,State House,143,REP,Renee Fagan,58,33,24,1
Bucks,Bedminster Twp East,State House,143,REP,Frank Barnhardt,29,19,10,0
Bucks,Bedminster Twp East,State House,143,REP,Ron Arooj,34,27,7,0
Bucks,Bedminster Twp East,State House,143,REP,Candace Cabanas,230,164,66,0
Bucks,Bedminster Twp East,State House,143,REP,Sean Radomski,222,154,67,1
Bucks,Bedminster Twp East,State House,143,REP,Amalia Ritter,276,185,90,1
Bucks,Bedminster Twp East,State House,143,REP,Michelle Benitez,215,153,62,0
Bucks,Bedminster Twp East,State House,143,REP,Kevin Lee,84,48,35,1
Bucks,Bedminster Twp East,State House,143,REP,Liz Diehl,92,52,39,1
Bucks,Bedminster Twp East,State House,143,REP,Stephanie Shortall,266,179,86,1
