county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee
Lackawanna,Waverly Township W-00 P-00,Registered Voters,,,,1508,,,
Lackawanna,Waverly Township W-00 P-00,Ballots Cast,,,,343,240,1,102
Lackawanna,Waverly Township W-00 P-00,Ballots Cast Blank,,,,3,3,0,0
Lackawanna,Waverly Township W-00 P-00,Governor,,DEM,Josh Shapiro,224,150,1,73
Lackawanna,Waverly Township W-00 P-00,Governor,,DEM,Write-In Totals,5,5,0,0
Lackawanna,Waverly Township W-00 P-00,Lieutenant Governor,,DEM,Austin Davis,212,139,1,72
Lackawanna,Waverly Township W-00 P-00,Lieutenant Governor,,DEM,Write-In Totals,1,1,0,0
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,DEM,Paige Cognetti,226,152,1,73
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,DEM,Write-In Totals,3,1,0,2
Lackawanna,Waverly Township W-00 P-00,State Senate,22,DEM,Marty Flynn,120,75,1,44
Lackawanna,Waverly Township W-00 P-00,State Senate,22,DEM,Jeffrey Lake,110,79,0,31
Lackawanna,Waverly Township W-00 P-00,State Senate,22,DEM,Write-In Totals,2,2,0,0
Lackawanna,Waverly Township W-00 P-00,State House,114,DEM,Bridget Malloy Kosierowski,233,155,1,77
Lackawanna,Waverly Township W-00 P-00,State House,114,DEM,Write-In Totals,1,1,0,0
Lackawanna,Waverly Township W-00 P-00,Member of Democratic State Committee,,DEM,Paul McNally,140,87,0,53
Lackawanna,Waverly Township W-00 P-00,Member of Democratic State Committee,,DEM,Jessica J McGuigan,193,126,0,67
Lackawanna,Waverly Township W-00 P-00,Member of Democratic State Committee,,DEM,Chris Gaidos,105,71,0,34
Lackawanna,Waverly Township W-00 P-00,Member of Democratic State Committee,,DEM,Dwayne J Heisler,97,61,0,36
Lackawanna,Waverly Township W-00 P-00,Member of Democratic State Committee,,DEM,Jessica Rothchild,180,115,0,65
Lackawanna,Waverly Township W-00 P-00,Member of Democratic State Committee,,DEM,Josh Castellani,103,70,1,32
Lackawanna,Waverly Township W-00 P-00,Member of Democratic State Committee,,DEM,Write-In Totals,3,3,0,0
Lackawanna,Waverly Township W-00 P-00,District Committeeman Waverly Township W-00 P-00,,DEM,Joseph Kosierowski,212,137,1,74
Lackawanna,Waverly Township W-00 P-00,District Committeeman Waverly Township W-00 P-00,,DEM,Write-In Totals,1,1,0,0
Lackawanna,Waverly Township W-00 P-00,District Committeewoman Waverly Township W-00 P-00,,DEM,Ilona Thurston,155,101,0,54
Lackawanna,Waverly Township W-00 P-00,District Committeewoman Waverly Township W-00 P-00,,DEM,Stefanie Parry,64,46,1,17
Lackawanna,Waverly Township W-00 P-00,District Committeewoman Waverly Township W-00 P-00,,DEM,Write-In Totals,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,Governor,,REP,Stacy Garrity,83,59,0,24
Lackawanna,Waverly Township W-00 P-00,Governor,,REP,Write-In Totals,6,6,0,0
Lackawanna,Waverly Township W-00 P-00,Lieutenant Governor,,REP,John Ventre,35,27,0,8
Lackawanna,Waverly Township W-00 P-00,Lieutenant Governor,,REP,Jason Richey,50,34,0,16
Lackawanna,Waverly Township W-00 P-00,Lieutenant Governor,,REP,Write-In Totals,2,2,0,0
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,REP,Rob Bresnahan Jr,85,65,0,20
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,REP,Write-In Totals,4,4,0,0
Lackawanna,Waverly Township W-00 P-00,State Senate,22,REP,Sharon Soltis Sparano,82,58,0,24
Lackawanna,Waverly Township W-00 P-00,State Senate,22,REP,Write-In Totals,2,2,0,0
Lackawanna,Waverly Township W-00 P-00,State House,114,REP,David Burgerhoff,15,6,0,9
Lackawanna,Waverly Township W-00 P-00,State House,114,REP,Logan Lombardo,75,59,0,16
Lackawanna,Waverly Township W-00 P-00,State House,114,REP,Write-In Totals,0,0,0,0
