county,office,district,party,candidate,votes,election_day,mail,provisional
Jefferson,Governor,,DEM,Josh Shapiro,1456,766,688,2
Jefferson,Lieutenant Governor,,DEM,Austin Davis,1417,748,667,2
Jefferson,U.S. House,15,DEM,Ray Bilger,1403,739,662,2
Jefferson,State House,66,DEM,Lisa Gourley,1440,766,672,2
Jefferson,Member of Democratic State Committee,,DEM,John Adduci,1445,762,681,2
Jefferson,Governor,,REP,Stacy Garrity,3317,2802,514,1
Jefferson,Lieutenant Governor,,REP,John Ventre,1344,1103,241,0
Jefferson,Lieutenant Governor,,REP,Jason Richey,2053,1766,286,1
Jefferson,U.S. House,15,REP,Glenn 'gt' Thompson,3335,2813,521,1
Jefferson,State House,66,REP,Brian Smith,3429,2878,550,1
Jefferson,Member of Republican State Committee,,REP,Paul Bishop,2767,2316,451,0
Jefferson,Member of Republican State Committee,,REP,Karen McNutt,2893,2407,485,1
