county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee
Franklin,Antrim 1,Registered Voters,,,,1788,,,
Franklin,Antrim 1,Ballots Cast,,,,309,229,0,80
Franklin,Antrim 1,Ballots Cast Blank,,,,0,0,0,0
Franklin,Antrim 1,Governor,,DEM,Josh Shapiro,64,31,0,33
Franklin,Antrim 1,Governor,,DEM,Write-In Totals,1,1,0,0
Franklin,Antrim 1,Lieutenant Governor,,DEM,Austin Davis,64,31,0,33
Franklin,Antrim 1,Lieutenant Governor,,DEM,Write-In Totals,1,1,0,0
Franklin,Antrim 1,U.S. House,,DEM,Beth Farnham,62,30,0,32
Franklin,Antrim 1,U.S. House,,DEM,Write-In Totals,1,1,0,0
Franklin,Antrim 1,State House,,DEM,Write-In Totals,2,1,0,1
Franklin,Antrim 1,Member of Democratic State Committee,,DEM,John J. Patterson,26,9,0,17
Franklin,Antrim 1,Member of Democratic State Committee,,DEM,Delmar David Burridge,29,15,0,14
Franklin,Antrim 1,Member of Democratic State Committee,,DEM,Avril Williams,54,23,0,31
Franklin,Antrim 1,Member of Democratic State Committee,,DEM,Write-In Totals,1,1,0,0
Franklin,Antrim 1,Committeeman Antrim 1,,DEM,Write-In Totals,3,2,0,1
Franklin,Antrim 1,Committeewoman Antrim 1,,DEM,Write-In Totals,4,3,0,1
Franklin,Antrim 1,Governor,,REP,Stacy Garrity,206,167,0,39
Franklin,Antrim 1,Governor,,REP,Write-In Totals,30,24,0,6
Franklin,Antrim 1,Lieutenant Governor,,REP,John Ventre,60,49,0,11
Franklin,Antrim 1,Lieutenant Governor,,REP,Jason Richey,161,129,0,32
Franklin,Antrim 1,Lieutenant Governor,,REP,Write-In Totals,3,1,0,2
Franklin,Antrim 1,U.S. House,,REP,John Joyce,224,183,0,41
Franklin,Antrim 1,U.S. House,,REP,Write-In Totals,4,3,0,1
Franklin,Antrim 1,State House,,REP,Chad G. Reichard,228,184,0,44
Franklin,Antrim 1,State House,,REP,Write-In Totals,3,2,0,1
Franklin,Antrim 1,Member of Republican State Committee,,REP,Kathy Mahon,151,123,0,28
Franklin,Antrim 1,Member of Republican State Committee,,REP,Doug Dobbs,203,164,0,39
Franklin,Antrim 1,Member of Republican State Committee,,REP,Carol Fix Diller,156,123,0,33
Franklin,Antrim 1,Member of Republican State Committee,,REP,Debbie Taylor,154,124,0,30
Franklin,Antrim 1,Member of Republican State Committee,,REP,Nicholas A. Haines,131,108,0,23
Franklin,Antrim 1,Member of Republican State Committee,,REP,Joshua G. Peters,138,117,0,21
Franklin,Antrim 1,Member of Republican State Committee,,REP,Robert Ternes,137,107,0,30
Franklin,Antrim 1,Member of Republican State Committee,,REP,Write-In Totals,6,0,0,6
Franklin,Antrim 1,Committeeperson Antrim 1,,REP,Jeanette L. Clark,211,174,0,37
Franklin,Antrim 1,Committeeperson Antrim 1,,REP,Write-In Totals,7,5,0,2
Franklin,Antrim 2,Registered Voters,,,,1095,,,
Franklin,Antrim 2,Ballots Cast,,,,228,181,0,47
Franklin,Antrim 2,Ballots Cast Blank,,,,0,0,0,0
Franklin,Antrim 2,Governor,,DEM,Josh Shapiro,46,21,0,25
Franklin,Antrim 2,Governor,,DEM,Write-In Totals,2,1,0,1
Franklin,Antrim 2,Lieutenant Governor,,DEM,Austin Davis,46,21,0,25
Franklin,Antrim 2,Lieutenant Governor,,DEM,Write-In Totals,1,0,0,1
Franklin,Antrim 2,U.S. House,,DEM,Beth Farnham,44,19,0,25
Franklin,Antrim 2,U.S. House,,DEM,Write-In Totals,2,1,0,1
Franklin,Antrim 2,State House,,DEM,Write-In Totals,4,1,0,3
Franklin,Antrim 2,Member of Democratic State Committee,,DEM,John J. Patterson,25,10,0,15
Franklin,Antrim 2,Member of Democratic State Committee,,DEM,Delmar David Burridge,20,12,0,8
Franklin,Antrim 2,Member of Democratic State Committee,,DEM,Avril Williams,38,16,0,22
Franklin,Antrim 2,Member of Democratic State Committee,,DEM,Write-In Totals,3,0,0,3
Franklin,Antrim 2,Committeeman Antrim 2,,DEM,Write-In Totals,3,1,0,2
Franklin,Antrim 2,Committeewoman Antrim 2,,DEM,Write-In Totals,4,1,0,3
Franklin,Antrim 2,Governor,,REP,Stacy Garrity,153,132,0,21
Franklin,Antrim 2,Governor,,REP,Write-In Totals,18,18,0,0
Franklin,Antrim 2,Lieutenant Governor,,REP,John Ventre,44,37,0,7
Franklin,Antrim 2,Lieutenant Governor,,REP,Jason Richey,123,109,0,14
Franklin,Antrim 2,Lieutenant Governor,,REP,Write-In Totals,2,2,0,0
Franklin,Antrim 2,U.S. House,,REP,John Joyce,179,158,0,21
Franklin,Antrim 2,U.S. House,,REP,Write-In Totals,0,0,0,0
Franklin,Antrim 2,State House,,REP,Chad G. Reichard,175,154,0,21
Franklin,Antrim 2,State House,,REP,Write-In Totals,0,0,0,0
Franklin,Antrim 2,Member of Republican State Committee,,REP,Kathy Mahon,128,114,0,14
Franklin,Antrim 2,Member of Republican State Committee,,REP,Doug Dobbs,158,138,0,20
Franklin,Antrim 2,Member of Republican State Committee,,REP,Carol Fix Diller,129,114,0,15
Franklin,Antrim 2,Member of Republican State Committee,,REP,Debbie Taylor,131,115,0,16
Franklin,Antrim 2,Member of Republican State Committee,,REP,Nicholas A. Haines,85,69,0,16
Franklin,Antrim 2,Member of Republican State Committee,,REP,Joshua G. Peters,106,92,0,14
Franklin,Antrim 2,Member of Republican State Committee,,REP,Robert Ternes,115,101,0,14
Franklin,Antrim 2,Member of Republican State Committee,,REP,Write-In Totals,1,1,0,0
Franklin,Antrim 2,Committeeperson Antrim 2,,REP,Linda Golden,159,138,0,21
Franklin,Antrim 2,Committeeperson Antrim 2,,REP,Write-In Totals,16,16,0,0
Franklin,Antrim 3,Registered Voters,,,,1288,,,
Franklin,Antrim 3,Ballots Cast,,,,195,149,0,46
Franklin,Antrim 3,Ballots Cast Blank,,,,0,0,0,0
Franklin,Antrim 3,Governor,,DEM,Josh Shapiro,47,13,0,34
Franklin,Antrim 3,Governor,,DEM,Write-In Totals,0,0,0,0
Franklin,Antrim 3,Lieutenant Governor,,DEM,Austin Davis,47,13,0,34
Franklin,Antrim 3,Lieutenant Governor,,DEM,Write-In Totals,0,0,0,0
Franklin,Antrim 3,U.S. House,,DEM,Beth Farnham,47,13,0,34
Franklin,Antrim 3,U.S. House,,DEM,Write-In Totals,0,0,0,0
Franklin,Antrim 3,State House,,DEM,Write-In Totals,1,0,0,1
Franklin,Antrim 3,Member of Democratic State Committee,,DEM,John J. Patterson,19,6,0,13
Franklin,Antrim 3,Member of Democratic State Committee,,DEM,Delmar David Burridge,20,5,0,15
Franklin,Antrim 3,Member of Democratic State Committee,,DEM,Avril Williams,41,12,0,29
Franklin,Antrim 3,Member of Democratic State Committee,,DEM,Write-In Totals,0,0,0,0
Franklin,Antrim 3,Committeeman Antrim 3,,DEM,Write-In Totals,3,1,0,2
Franklin,Antrim 3,Committeewoman Antrim 3,,DEM,Write-In Totals,2,1,0,1
Franklin,Antrim 3,Governor,,REP,Stacy Garrity,120,113,0,7
Franklin,Antrim 3,Governor,,REP,Write-In Totals,16,14,0,2
Franklin,Antrim 3,Lieutenant Governor,,REP,John Ventre,30,30,0,0
Franklin,Antrim 3,Lieutenant Governor,,REP,Jason Richey,101,92,0,9
Franklin,Antrim 3,Lieutenant Governor,,REP,Write-In Totals,2,2,0,0
Franklin,Antrim 3,U.S. House,,REP,John Joyce,143,132,0,11
Franklin,Antrim 3,U.S. House,,REP,Write-In Totals,1,1,0,0
Franklin,Antrim 3,State House,,REP,Chad G. Reichard,141,132,0,9
Franklin,Antrim 3,State House,,REP,Write-In Totals,0,0,0,0
Franklin,Antrim 3,Member of Republican State Committee,,REP,Kathy Mahon,91,82,0,9
Franklin,Antrim 3,Member of Republican State Committee,,REP,Doug Dobbs,119,111,0,8
Franklin,Antrim 3,Member of Republican State Committee,,REP,Carol Fix Diller,108,98,0,10
Franklin,Antrim 3,Member of Republican State Committee,,REP,Debbie Taylor,103,94,0,9
Franklin,Antrim 3,Member of Republican State Committee,,REP,Nicholas A. Haines,87,83,0,4
Franklin,Antrim 3,Member of Republican State Committee,,REP,Joshua G. Peters,97,91,0,6
Franklin,Antrim 3,Member of Republican State Committee,,REP,Robert Ternes,75,67,0,8
Franklin,Antrim 3,Member of Republican State Committee,,REP,Write-In Totals,19,19,0,0
Franklin,Antrim 3,Committeeperson Antrim 3,,REP,Write-In Totals,22,22,0,0
Franklin,Antrim 4,Registered Voters,,,,2021,,,
Franklin,Antrim 4,Ballots Cast,,,,316,241,0,75
Franklin,Antrim 4,Ballots Cast Blank,,,,0,0,0,0
Franklin,Antrim 4,Governor,,DEM,Josh Shapiro,59,33,0,26
Franklin,Antrim 4,Governor,,DEM,Write-In Totals,1,0,0,1
Franklin,Antrim 4,Lieutenant Governor,,DEM,Austin Davis,53,29,0,24
Franklin,Antrim 4,Lieutenant Governor,,DEM,Write-In Totals,1,0,0,1
Franklin,Antrim 4,U.S. House,,DEM,Beth Farnham,56,31,0,25
Franklin,Antrim 4,U.S. House,,DEM,Write-In Totals,0,0,0,0
Franklin,Antrim 4,State House,,DEM,Write-In Totals,5,3,0,2
Franklin,Antrim 4,Member of Democratic State Committee,,DEM,John J. Patterson,31,16,0,15
Franklin,Antrim 4,Member of Democratic State Committee,,DEM,Delmar David Burridge,21,10,0,11
Franklin,Antrim 4,Member of Democratic State Committee,,DEM,Avril Williams,48,27,0,21
Franklin,Antrim 4,Member of Democratic State Committee,,DEM,Write-In Totals,0,0,0,0
Franklin,Antrim 4,Committeeman Antrim 4,,DEM,Write-In Totals,3,3,0,0
Franklin,Antrim 4,Committeewoman Antrim 4,,DEM,Write-In Totals,5,2,0,3
Franklin,Antrim 4,Governor,,REP,Stacy Garrity,223,179,0,44
Franklin,Antrim 4,Governor,,REP,Write-In Totals,23,21,0,2
Franklin,Antrim 4,Lieutenant Governor,,REP,John Ventre,60,39,0,21
Franklin,Antrim 4,Lieutenant Governor,,REP,Jason Richey,185,160,0,25
Franklin,Antrim 4,Lieutenant Governor,,REP,Write-In Totals,1,0,0,1
Franklin,Antrim 4,U.S. House,,REP,John Joyce,249,203,0,46
Franklin,Antrim 4,U.S. House,,REP,Write-In Totals,0,0,0,0
Franklin,Antrim 4,State House,,REP,Chad G. Reichard,239,191,0,48
Franklin,Antrim 4,State House,,REP,Write-In Totals,3,3,0,0
Franklin,Antrim 4,Member of Republican State Committee,,REP,Kathy Mahon,157,124,0,33
Franklin,Antrim 4,Member of Republican State Committee,,REP,Doug Dobbs,221,181,0,40
Franklin,Antrim 4,Member of Republican State Committee,,REP,Carol Fix Diller,169,137,0,32
Franklin,Antrim 4,Member of Republican State Committee,,REP,Debbie Taylor,167,129,0,38
Franklin,Antrim 4,Member of Republican State Committee,,REP,Nicholas A. Haines,163,133,0,30
Franklin,Antrim 4,Member of Republican State Committee,,REP,Joshua G. Peters,159,134,0,25
Franklin,Antrim 4,Member of Republican State Committee,,REP,Robert Ternes,124,101,0,23
Franklin,Antrim 4,Member of Republican State Committee,,REP,Write-In Totals,7,7,0,0
Franklin,Antrim 4,Committeeperson Antrim 4,,REP,Write-In Totals,13,11,0,2
Franklin,Antrim 5,Registered Voters,,,,3239,,,
Franklin,Antrim 5,Ballots Cast,,,,571,392,0,179
Franklin,Antrim 5,Ballots Cast Blank,,,,0,0,0,0
Franklin,Antrim 5,Governor,,DEM,Josh Shapiro,128,57,0,71
Franklin,Antrim 5,Governor,,DEM,Write-In Totals,3,3,0,0
Franklin,Antrim 5,Lieutenant Governor,,DEM,Austin Davis,128,58,0,70
Franklin,Antrim 5,Lieutenant Governor,,DEM,Write-In Totals,2,2,0,0
Franklin,Antrim 5,U.S. House,,DEM,Beth Farnham,126,58,0,68
Franklin,Antrim 5,U.S. House,,DEM,Write-In Totals,2,1,0,1
Franklin,Antrim 5,State House,,DEM,Write-In Totals,7,5,0,2
Franklin,Antrim 5,Member of Democratic State Committee,,DEM,John J. Patterson,65,34,0,31
Franklin,Antrim 5,Member of Democratic State Committee,,DEM,Delmar David Burridge,53,23,0,30
Franklin,Antrim 5,Member of Democratic State Committee,,DEM,Avril Williams,113,51,0,62
Franklin,Antrim 5,Member of Democratic State Committee,,DEM,Write-In Totals,1,1,0,0
Franklin,Antrim 5,Committeeman Antrim 5,,DEM,Write-In Totals,7,5,0,2
Franklin,Antrim 5,Committeewoman Antrim 5,,DEM,Write-In Totals,6,4,0,2
Franklin,Antrim 5,Governor,,REP,Stacy Garrity,402,301,0,101
Franklin,Antrim 5,Governor,,REP,Write-In Totals,27,22,0,5
Franklin,Antrim 5,Lieutenant Governor,,REP,John Ventre,92,71,0,21
Franklin,Antrim 5,Lieutenant Governor,,REP,Jason Richey,322,241,0,81
Franklin,Antrim 5,Lieutenant Governor,,REP,Write-In Totals,5,3,0,2
Franklin,Antrim 5,U.S. House,,REP,John Joyce,425,320,0,105
Franklin,Antrim 5,U.S. House,,REP,Write-In Totals,7,5,0,2
Franklin,Antrim 5,State House,,REP,Chad G. Reichard,418,313,0,105
Franklin,Antrim 5,State House,,REP,Write-In Totals,5,4,0,1
Franklin,Antrim 5,Member of Republican State Committee,,REP,Kathy Mahon,322,238,0,84
Franklin,Antrim 5,Member of Republican State Committee,,REP,Doug Dobbs,388,291,0,97
Franklin,Antrim 5,Member of Republican State Committee,,REP,Carol Fix Diller,334,247,0,87
Franklin,Antrim 5,Member of Republican State Committee,,REP,Debbie Taylor,333,246,0,87
Franklin,Antrim 5,Member of Republican State Committee,,REP,Nicholas A. Haines,278,210,0,68
Franklin,Antrim 5,Member of Republican State Committee,,REP,Joshua G. Peters,261,189,0,72
Franklin,Antrim 5,Member of Republican State Committee,,REP,Robert Ternes,205,150,0,55
Franklin,Antrim 5,Member of Republican State Committee,,REP,Write-In Totals,25,16,0,9
Franklin,Antrim 5,Committeeperson Antrim 5,,REP,Fred Young III,391,288,0,103
Franklin,Antrim 5,Committeeperson Antrim 5,,REP,Write-In Totals,31,30,0,1
Franklin,Chambersburg Ward 1 District 1,Registered Voters,,,,1432,,,
Franklin,Chambersburg Ward 1 District 1,Ballots Cast,,,,310,179,2,129
Franklin,Chambersburg Ward 1 District 1,Ballots Cast Blank,,,,0,0,0,0
Franklin,Chambersburg Ward 1 District 1,Governor,,DEM,Josh Shapiro,161,74,1,86
Franklin,Chambersburg Ward 1 District 1,Governor,,DEM,Write-In Totals,6,2,1,3
Franklin,Chambersburg Ward 1 District 1,Lieutenant Governor,,DEM,Austin Davis,158,75,1,82
Franklin,Chambersburg Ward 1 District 1,Lieutenant Governor,,DEM,Write-In Totals,6,2,1,3
Franklin,Chambersburg Ward 1 District 1,U.S. House,,DEM,Beth Farnham,163,76,2,85
Franklin,Chambersburg Ward 1 District 1,U.S. House,,DEM,Write-In Totals,3,1,0,2
Franklin,Chambersburg Ward 1 District 1,State House,,DEM,Shannon Michael Jackson,163,77,2,84
Franklin,Chambersburg Ward 1 District 1,State House,,DEM,Write-In Totals,4,1,0,3
Franklin,Chambersburg Ward 1 District 1,Member of Democratic State Committee,,DEM,John J. Patterson,92,44,1,47
Franklin,Chambersburg Ward 1 District 1,Member of Democratic State Committee,,DEM,Delmar David Burridge,47,20,0,27
Franklin,Chambersburg Ward 1 District 1,Member of Democratic State Committee,,DEM,Avril Williams,144,65,1,78
Franklin,Chambersburg Ward 1 District 1,Member of Democratic State Committee,,DEM,Write-In Totals,5,0,1,4
Franklin,Chambersburg Ward 1 District 1,Committeeman Chambersburg Wd 1 Dist 1,,DEM,Write-In Totals,13,6,0,7
Franklin,Chambersburg Ward 1 District 1,Committeewoman Chambersburg Wd 1 Dist 1,,DEM,Write-In Totals,13,6,1,6
Franklin,Chambersburg Ward 1 District 1,Governor,,REP,Stacy Garrity,109,83,0,26
Franklin,Chambersburg Ward 1 District 1,Governor,,REP,Write-In Totals,19,11,0,8
Franklin,Chambersburg Ward 1 District 1,Lieutenant Governor,,REP,John Ventre,32,26,0,6
Franklin,Chambersburg Ward 1 District 1,Lieutenant Governor,,REP,Jason Richey,85,63,0,22
Franklin,Chambersburg Ward 1 District 1,Lieutenant Governor,,REP,Write-In Totals,8,2,0,6
Franklin,Chambersburg Ward 1 District 1,U.S. House,,REP,John Joyce,123,96,0,27
Franklin,Chambersburg Ward 1 District 1,U.S. House,,REP,Write-In Totals,8,2,0,6
Franklin,Chambersburg Ward 1 District 1,State House,,REP,Rob Kauffman,124,95,0,29
Franklin,Chambersburg Ward 1 District 1,State House,,REP,Write-In Totals,8,2,0,6
Franklin,Chambersburg Ward 1 District 1,Member of Republican State Committee,,REP,Kathy Mahon,87,63,0,24
Franklin,Chambersburg Ward 1 District 1,Member of Republican State Committee,,REP,Doug Dobbs,78,59,0,19
Franklin,Chambersburg Ward 1 District 1,Member of Republican State Committee,,REP,Carol Fix Diller,104,77,0,27
Franklin,Chambersburg Ward 1 District 1,Member of Republican State Committee,,REP,Debbie Taylor,82,60,0,22
Franklin,Chambersburg Ward 1 District 1,Member of Republican State Committee,,REP,Nicholas A. Haines,73,54,0,19
Franklin,Chambersburg Ward 1 District 1,Member of Republican State Committee,,REP,Joshua G. Peters,70,50,0,20
