county,office,district,party,candidate,votes,election_day,mail,provisional
Lackawanna,Governor,,DEM,Josh Shapiro,23406,13703,9657,46
Lackawanna,Governor,,DEM,Write-In Totals,918,796,118,4
Lackawanna,Lieutenant Governor,,DEM,Austin Davis,22137,12811,9281,45
Lackawanna,Lieutenant Governor,,DEM,Write-In Totals,247,216,30,1
Lackawanna,U.S. House,8,DEM,Paige Cognetti,22743,13409,9290,44
Lackawanna,U.S. House,8,DEM,Write-In Totals,520,406,111,3
Lackawanna,State Senate,22,DEM,Marty Flynn,11334,6304,5003,27
Lackawanna,State Senate,22,DEM,Jeffrey Lake,6608,4487,2109,12
Lackawanna,State Senate,22,DEM,Write-In Totals,51,41,10,0
Lackawanna,State Senate,40,DEM,Brian Wrightson,6240,3712,2518,10
Lackawanna,State Senate,40,DEM,Write-In Totals,123,101,22,0
Lackawanna,State House,112,DEM,Kyle J Mullins,7640,4629,3001,10
Lackawanna,State House,112,DEM,Write-In Totals,544,502,40,2
Lackawanna,State House,113,DEM,Kyle T Donahue,5385,3074,2300,11
Lackawanna,State House,113,DEM,Write-In Totals,31,23,8,0
Lackawanna,State House,114,DEM,Bridget Malloy Kosierowski,7010,4181,2814,15
Lackawanna,State House,114,DEM,Write-In Totals,50,39,11,0
Lackawanna,State House,118,DEM,Jim Haddock,3027,1707,1312,8
Lackawanna,State House,118,DEM,Write-In Totals,30,19,11,0
Lackawanna,Member of Democratic State Committee,,DEM,Paul McNally,14826,8522,6276,28
Lackawanna,Member of Democratic State Committee,,DEM,Jessica J McGuigan,18804,10923,7844,37
Lackawanna,Member of Democratic State Committee,,DEM,Chris Gaidos,10368,5830,4520,18
Lackawanna,Member of Democratic State Committee,,DEM,Dwayne J Heisler,8911,4878,4022,11
Lackawanna,Member of Democratic State Committee,,DEM,Jessica Rothchild,18560,10649,7877,34
Lackawanna,Member of Democratic State Committee,,DEM,Josh Castellani,13846,8021,5795,30
Lackawanna,Member of Democratic State Committee,,DEM,Write-In Totals,658,537,118,3
Lackawanna,Governor,,REP,Stacy Garrity,7549,6001,1536,12
Lackawanna,Governor,,REP,Write-In Totals,681,583,96,2
Lackawanna,Lieutenant Governor,,REP,John Ventre,2963,2320,638,5
Lackawanna,Lieutenant Governor,,REP,Jason Richey,4779,3860,910,9
Lackawanna,Lieutenant Governor,,REP,Write-In Totals,130,92,38,0
Lackawanna,U.S. House,8,REP,Rob Bresnahan Jr.,7901,6364,1526,11
Lackawanna,U.S. House,8,REP,Write-In Totals,311,221,90,0
Lackawanna,State Senate,22,REP,Sharon Soltis Sparano,5075,3957,1109,9
Lackawanna,State Senate,22,REP,Write-In Totals,126,97,29,0
Lackawanna,State Senate,40,REP,Rosemary Brown,2712,2225,485,2
Lackawanna,State Senate,40,REP,Write-In Totals,54,45,9,0
Lackawanna,State House,112,REP,Joseph J Sabia Jr.,2101,1694,403,4
Lackawanna,State House,112,REP,Write-In Totals,175,166,8,1
Lackawanna,State House,113,REP,Lucas O Brien,1774,1349,424,1
Lackawanna,State House,113,REP,Write-In Totals,24,13,11,0
Lackawanna,State House,114,REP,David Burgerhoff,861,686,174,1
Lackawanna,State House,114,REP,Logan Lombardo,1674,1324,349,1
Lackawanna,State House,114,REP,Write-In Totals,31,25,6,0
Lackawanna,State House,118,REP,John Lombardo,1368,1092,272,4
Lackawanna,State House,118,REP,Write-In Totals,19,11,8,0
Lackawanna,Member of Republican State Committee,,REP,Frank Scavo,5353,4286,1057,10
Lackawanna,Member of Republican State Committee,,REP,Laureen A Cummings,4656,3643,1005,8
Lackawanna,Member of Republican State Committee,,REP,Michael A Giannetta,5560,4325,1226,9
Lackawanna,Member of Republican State Committee,,REP,Susanne Preambo Green,3593,2841,745,7
Lackawanna,Member of Republican State Committee,,REP,Marc Pane,4835,3712,1116,7
Lackawanna,Member of Republican State Committee,,REP,Robin Lee Medeiros,3634,2843,784,7
Lackawanna,Member of Republican State Committee,,REP,Lynn G Kokinda,4239,3233,1002,4
Lackawanna,Member of Republican State Committee,,REP,Write-In Totals,328,263,64,1
