county,office,district,party,candidate,votes,election_day,mail,provisional
Indiana,Governor,,DEM,Josh Shapiro,4205,2041,2159,5
Indiana,Governor,,DEM,Write-In Totals,88,66,22,0
Indiana,Lieutenant Governor,,DEM,Austin Davis,4185,2045,2135,5
Indiana,Lieutenant Governor,,DEM,Write-In Totals,40,25,15,0
Indiana,U.S. House,14,DEM,Alan Bradstock,3828,1862,1961,5
Indiana,U.S. House,14,DEM,Write-In Totals,29,19,10,0
Indiana,U.S. House,15,DEM,Ray Bilger,255,136,119,0
Indiana,U.S. House,15,DEM,Write-In Totals,2,0,2,0
Indiana,U.S. House,15,DEM,Trajan Jones,3566,1748,1814,4
Indiana,U.S. House,15,DEM,Lisa Gourley,561,277,283,1
Indiana,Member of Democratic State Committee,,DEM,Ronald J. Fairman,4191,2065,2121,5
Indiana,Member of Democratic State Committee,,DEM,Write-In Totals,39,27,12,0
Indiana,Member of Democratic State Committee,,DEM,Mary Rich,81,32,49,0
Indiana,Member of Democratic State Committee,,DEM,Jill Anne Endress,65,37,28,0
Indiana,Member of Democratic State Committee,,DEM,Betty S. Murray,160,68,92,0
Indiana,Member of Democratic State Committee,,DEM,Mary Jane Mitchell,69,39,30,0
Indiana,Member of Democratic State Committee,,DEM,Martha Buckley,27,15,12,0
Indiana,Member of Democratic State Committee,,DEM,Terri Olish,81,43,38,0
Indiana,Member of Democratic State Committee,,DEM,Faye Bradwick,67,46,21,0
Indiana,Member of Democratic State Committee,,DEM,Denise Dragich,132,69,61,2
Indiana,Member of Democratic State Committee,,DEM,Josephine Cunningham,57,34,23,0
Indiana,Member of Democratic State Committee,,DEM,Danielle Morganti,111,69,42,0
Indiana,Member of Democratic State Committee,,DEM,Bonnie McGregor,57,35,22,0
Indiana,Member of Democratic State Committee,,DEM,Julie Fairman,152,66,86,0
Indiana,Member of Democratic State Committee,,DEM,Theda Ray,131,68,63,0
Indiana,Member of Democratic State Committee,,DEM,Joy Lenay Goodyear,162,77,85,0
Indiana,Member of Democratic State Committee,,DEM,Nancy Magill,122,37,85,0
