county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee
Susquehanna,APOLACON TWP,Registered Voters,,,,304,,,
Susquehanna,APOLACON TWP,Ballots Cast,,,,73,73,,
Susquehanna,APOLACON TWP,Governor,,DEM,Josh Shapiro,27,27,0,0
Susquehanna,APOLACON TWP,Governor,,REP,Stacy Garrity,40,40,0,0
Susquehanna,APOLACON TWP,Lieutenant Governor,,DEM,Austin Davis,27,27,0,0
Susquehanna,APOLACON TWP,Lieutenant Governor,,REP,John Ventre,17,17,0,0
Susquehanna,APOLACON TWP,Lieutenant Governor,,REP,Jason Richey,22,22,0,0
Susquehanna,APOLACON TWP,U.S. House,9,DEM,Rachel Wallace,26,26,0,0
Susquehanna,APOLACON TWP,U.S. House,9,REP,Dan Meuser,39,39,0,0
Susquehanna,APOLACON TWP,State Senate,20,DEM,Jackie Baker,25,25,0,0
Susquehanna,APOLACON TWP,State Senate,20,REP,Tyler Meyers,23,23,0,0
Susquehanna,APOLACON TWP,State Senate,20,REP,Lisa Baker,20,20,0,0
Susquehanna,APOLACON TWP,State House,111,DEM,Kyle Devlin,26,26,0,0
Susquehanna,APOLACON TWP,State House,111,REP,Jonathan Fritz,41,41,0,0
Susquehanna,APOLACON TWP,Member of Democratic State Committee,,DEM,Jackie Baker,24,24,0,0
Susquehanna,APOLACON TWP,Member of Republican State Committee,,REP,Donna M Cosmello,30,30,0,0
Susquehanna,APOLACON TWP,Member of Republican State Committee,,REP,David Darrow,38,38,0,0
Susquehanna,ARARAT TWP,Registered Voters,,,,354,,,
Susquehanna,ARARAT TWP,Ballots Cast,,,,110,110,,
Susquehanna,ARARAT TWP,Governor,,DEM,Josh Shapiro,33,33,0,0
Susquehanna,ARARAT TWP,Governor,,REP,Stacy Garrity,64,64,0,0
Susquehanna,ARARAT TWP,Lieutenant Governor,,DEM,Austin Davis,32,32,0,0
Susquehanna,ARARAT TWP,Lieutenant Governor,,REP,John Ventre,25,25,0,0
Susquehanna,ARARAT TWP,Lieutenant Governor,,REP,Jason Richey,39,39,0,0
Susquehanna,ARARAT TWP,U.S. House,9,DEM,Rachel Wallace,33,33,0,0
Susquehanna,ARARAT TWP,U.S. House,9,REP,Dan Meuser,66,66,0,0
Susquehanna,ARARAT TWP,State Senate,20,DEM,Jackie Baker,34,34,0,0
Susquehanna,ARARAT TWP,State Senate,20,REP,Tyler Meyers,27,27,0,0
Susquehanna,ARARAT TWP,State Senate,20,REP,Lisa Baker,46,46,0,0
