county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee
Erie,ERIE WARD 01 DISTRICT 01,Governor,,DEM,Josh Shapiro,79,44,0,35
Erie,ERIE WARD 01 DISTRICT 01,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 01 DISTRICT 03,Governor,,DEM,Josh Shapiro,111,69,2,40
Erie,ERIE WARD 01 DISTRICT 03,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 01 DISTRICT 05,Governor,,DEM,Josh Shapiro,128,76,2,50
Erie,ERIE WARD 01 DISTRICT 05,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 01 DISTRICT 07,Governor,,DEM,Josh Shapiro,74,39,0,35
Erie,ERIE WARD 01 DISTRICT 07,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 01 DISTRICT 08,Governor,,DEM,Josh Shapiro,153,76,2,75
Erie,ERIE WARD 01 DISTRICT 08,Governor,,DEM,Write-In Totals,1,0,0,1
Erie,ERIE WARD 02 DISTRICT 01,Governor,,DEM,Josh Shapiro,83,52,2,29
Erie,ERIE WARD 02 DISTRICT 01,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 02 DISTRICT 04,Governor,,DEM,Josh Shapiro,83,37,3,43
Erie,ERIE WARD 02 DISTRICT 04,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 02 DISTRICT 05,Governor,,DEM,Josh Shapiro,19,13,0,6
Erie,ERIE WARD 02 DISTRICT 05,Governor,,DEM,Write-In Totals,1,0,0,1
Erie,ERIE WARD 02 DISTRICT 06,Governor,,DEM,Josh Shapiro,46,19,1,26
Erie,ERIE WARD 02 DISTRICT 06,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 02 DISTRICT 07,Governor,,DEM,Josh Shapiro,87,63,0,24
Erie,ERIE WARD 02 DISTRICT 07,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 02 DISTRICT 08,Governor,,DEM,Josh Shapiro,47,26,1,20
Erie,ERIE WARD 02 DISTRICT 08,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 03 DISTRICT 01,Governor,,DEM,Josh Shapiro,57,35,0,22
Erie,ERIE WARD 03 DISTRICT 01,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 03 DISTRICT 02,Governor,,DEM,Josh Shapiro,78,43,0,35
Erie,ERIE WARD 03 DISTRICT 02,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 03 DISTRICT 03,Governor,,DEM,Josh Shapiro,106,62,0,44
Erie,ERIE WARD 03 DISTRICT 03,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 03 DISTRICT 04,Governor,,DEM,Josh Shapiro,91,65,1,25
Erie,ERIE WARD 03 DISTRICT 04,Governor,,DEM,Write-In Totals,3,3,0,0
Erie,ERIE WARD 03 DISTRICT 05,Governor,,DEM,Josh Shapiro,114,72,0,42
Erie,ERIE WARD 03 DISTRICT 05,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 03 DISTRICT 06,Governor,,DEM,Josh Shapiro,29,22,0,7
Erie,ERIE WARD 03 DISTRICT 06,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 03 DISTRICT 07,Governor,,DEM,Josh Shapiro,48,31,1,16
Erie,ERIE WARD 03 DISTRICT 07,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 04 DISTRICT 01,Governor,,DEM,Josh Shapiro,100,53,0,47
Erie,ERIE WARD 04 DISTRICT 01,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 04 DISTRICT 02,Governor,,DEM,Josh Shapiro,51,29,0,22
Erie,ERIE WARD 04 DISTRICT 02,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 04 DISTRICT 03,Governor,,DEM,Josh Shapiro,65,39,0,26
Erie,ERIE WARD 04 DISTRICT 03,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 04 DISTRICT 04,Governor,,DEM,Josh Shapiro,139,97,1,41
Erie,ERIE WARD 04 DISTRICT 04,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 04 DISTRICT 06,Governor,,DEM,Josh Shapiro,65,31,0,34
Erie,ERIE WARD 04 DISTRICT 06,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 04 DISTRICT 07,Governor,,DEM,Josh Shapiro,155,86,3,66
Erie,ERIE WARD 04 DISTRICT 07,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 04 DISTRICT 08,Governor,,DEM,Josh Shapiro,262,97,1,164
Erie,ERIE WARD 04 DISTRICT 08,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 04 DISTRICT 09,Governor,,DEM,Josh Shapiro,281,160,2,119
Erie,ERIE WARD 04 DISTRICT 09,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 05 DISTRICT 01,Governor,,DEM,Josh Shapiro,57,40,0,17
Erie,ERIE WARD 05 DISTRICT 01,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 05 DISTRICT 02,Governor,,DEM,Josh Shapiro,119,87,0,32
Erie,ERIE WARD 05 DISTRICT 02,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 05 DISTRICT 03,Governor,,DEM,Josh Shapiro,62,49,0,13
Erie,ERIE WARD 05 DISTRICT 03,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 05 DISTRICT 04,Governor,,DEM,Josh Shapiro,74,52,1,21
Erie,ERIE WARD 05 DISTRICT 04,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 05 DISTRICT 05,Governor,,DEM,Josh Shapiro,76,40,0,36
Erie,ERIE WARD 05 DISTRICT 05,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 05 DISTRICT 06,Governor,,DEM,Josh Shapiro,56,38,0,18
Erie,ERIE WARD 05 DISTRICT 06,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 05 DISTRICT 07,Governor,,DEM,Josh Shapiro,136,75,0,61
Erie,ERIE WARD 05 DISTRICT 07,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 05 DISTRICT 08,Governor,,DEM,Josh Shapiro,133,77,0,56
Erie,ERIE WARD 05 DISTRICT 08,Governor,,DEM,Write-In Totals,0,0,0,0
Erie,ERIE WARD 05 DISTRICT 09,Governor,,DEM,Josh Shapiro,155,93,0,62
Erie,ERIE WARD 05 DISTRICT 09,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 05 DISTRICT 10,Governor,,DEM,Josh Shapiro,120,61,0,59
Erie,ERIE WARD 05 DISTRICT 10,Governor,,DEM,Write-In Totals,2,0,0,2
Erie,ERIE WARD 05 DISTRICT 11,Governor,,DEM,Josh Shapiro,172,70,1,101
Erie,ERIE WARD 05 DISTRICT 11,Governor,,DEM,Write-In Totals,1,1,0,0
Erie,ERIE WARD 05 DISTRICT 12,Governor,,DEM,Josh Shapiro,194,103,0,91
Erie,ERIE WARD 05 DISTRICT 12,Governor,,DEM,Write-In Totals,3,1,0,2
Erie,ERIE WARD 05 DISTRICT 13,Governor,,DEM,Josh Shapiro,112,64,0,48
Erie,ERIE WARD 05 DISTRICT 13,Governor,,DEM,Write-In Totals,0,0,0,0
