county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee
Wayne,BERLIN TOWNSHIP #1,Registered Voters,,,,802,,,
Wayne,BERLIN TOWNSHIP #1,Governor,,DEM,Josh Shapiro,43,19,0,24
Wayne,BERLIN TOWNSHIP #1,Governor,,DEM,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,Governor,,REP,Stacy Garrity,132,104,0,28
Wayne,BERLIN TOWNSHIP #1,Governor,,REP,Write-In Totals,1,1,0,0
Wayne,BERLIN TOWNSHIP #1,Lieutenant Governor,,DEM,Austin Davis,41,17,0,24
Wayne,BERLIN TOWNSHIP #1,Lieutenant Governor,,DEM,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,Lieutenant Governor,,REP,John Ventre,43,34,0,9
Wayne,BERLIN TOWNSHIP #1,Lieutenant Governor,,REP,Jason Richey,87,68,0,19
Wayne,BERLIN TOWNSHIP #1,Lieutenant Governor,,REP,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,U.S. House,8,DEM,Paige Cognetti,41,17,0,24
Wayne,BERLIN TOWNSHIP #1,U.S. House,8,DEM,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,U.S. House,8,REP,Rob Bresnahan Jr,137,107,0,30
Wayne,BERLIN TOWNSHIP #1,U.S. House,8,REP,Write-In Totals,2,2,0,0
Wayne,BERLIN TOWNSHIP #1,State Senate,20,DEM,Jackie Baker,41,18,0,23
Wayne,BERLIN TOWNSHIP #1,State Senate,20,DEM,Write-In Totals,2,1,0,1
Wayne,BERLIN TOWNSHIP #1,State Senate,20,REP,Tyler Meyers,63,49,0,14
Wayne,BERLIN TOWNSHIP #1,State Senate,20,REP,Lisa Baker,82,65,0,17
Wayne,BERLIN TOWNSHIP #1,State Senate,20,REP,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,State House,111,DEM,Kyle Devlin,42,18,0,24
Wayne,BERLIN TOWNSHIP #1,State House,111,DEM,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,State House,111,REP,Jonathan Fritz,136,107,0,29
Wayne,BERLIN TOWNSHIP #1,State House,111,REP,Write-In Totals,2,2,0,0
Wayne,BERLIN TOWNSHIP #1,Member of Democratic State Committee,,DEM,Lynne P Glinsky Goodwin,41,18,0,23
Wayne,BERLIN TOWNSHIP #1,Member of Democratic State Committee,,DEM,Write-In Totals,1,0,0,1
Wayne,BERLIN TOWNSHIP #1,Member of Republican State Committee,,REP,Peter Vincent Quaglia,107,81,0,26
Wayne,BERLIN TOWNSHIP #1,Member of Republican State Committee,,REP,Toni McAndrew,106,82,0,24
Wayne,BERLIN TOWNSHIP #1,Member of Republican State Committee,,REP,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,Member of Republican State Committee,,REP,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #2,Registered Voters,,,,803,,,
Wayne,BERLIN TOWNSHIP #2,Governor,,DEM,Josh Shapiro,63,27,0,36
Wayne,BERLIN TOWNSHIP #2,Governor,,DEM,Write-In Totals,1,0,0,1
Wayne,BERLIN TOWNSHIP #2,Governor,,REP,Stacy Garrity,152,117,0,35
Wayne,BERLIN TOWNSHIP #2,Governor,,REP,Write-In Totals,1,1,0,0
Wayne,BERLIN TOWNSHIP #2,Lieutenant Governor,,DEM,Austin Davis,61,26,0,35
Wayne,BERLIN TOWNSHIP #2,Lieutenant Governor,,DEM,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #2,Lieutenant Governor,,REP,John Ventre,60,47,0,13
Wayne,BERLIN TOWNSHIP #2,Lieutenant Governor,,REP,Jason Richey,79,62,0,17
Wayne,BERLIN TOWNSHIP #2,Lieutenant Governor,,REP,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #2,U.S. House,8,DEM,Paige Cognetti,62,27,0,35
Wayne,BERLIN TOWNSHIP #2,U.S. House,8,DEM,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #2,U.S. House,8,REP,Rob Bresnahan Jr,154,118,0,36
Wayne,BERLIN TOWNSHIP #2,U.S. House,8,REP,Write-In Totals,3,2,0,1
Wayne,BERLIN TOWNSHIP #2,State Senate,20,DEM,Jackie Baker,60,25,0,35
Wayne,BERLIN TOWNSHIP #2,State Senate,20,DEM,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #2,State Senate,20,REP,Tyler Meyers,62,56,0,6
Wayne,BERLIN TOWNSHIP #2,State Senate,20,REP,Lisa Baker,110,77,0,33
Wayne,BERLIN TOWNSHIP #2,State Senate,20,REP,Write-In Totals,0,0,0,0
Wayne,BERLIN TOWNSHIP #2,State House,111,DEM,Kyle Devlin,59,25,0,34
