county,office,district,party,candidate,votes,election_day,mail,provisional
Clearfield,Governor,,DEM,Josh Shapiro,3212,1649,1562,1
Clearfield,Governor,,DEM,Write-In Totals,89,76,13,0
Clearfield,Lieutenant Governor,,DEM,Austin Davis,3195,1651,1543,1
Clearfield,Lieutenant Governor,,DEM,Write-In Totals,49,39,10,0
Clearfield,U.S. House,,DEM,Ray Bilger,3158,1653,1504,1
Clearfield,U.S. House,,DEM,Write-In Totals,47,37,10,0
Clearfield,State House,75,DEM,Kim Kohlhepp,1350,644,706,0
Clearfield,State House,75,DEM,Write-In Totals,16,13,3,0
Clearfield,State House,73,DEM,Write-In Totals,215,145,69,1
Clearfield,Member of Democratic State Committee,,DEM,Christina Joy Fulton,3103,1623,1479,1
Clearfield,Member of Democratic State Committee,,DEM,Write-In Totals,65,41,24,0
Clearfield,Governor,,REP,Stacy Garrity,5482,4659,821,2
Clearfield,Governor,,REP,Write-In Totals,204,162,42,0
Clearfield,Lieutenant Governor,,REP,John Ventre,2071,1760,310,1
Clearfield,Lieutenant Governor,,REP,Jason Richey,3451,2925,525,1
Clearfield,Lieutenant Governor,,REP,Write-In Totals,45,29,16,0
Clearfield,U.S. House,,REP,Glenn Gt Thompson,5688,4800,886,2
Clearfield,U.S. House,,REP,Write-In Totals,74,54,20,0
Clearfield,State House,75,REP,Mike Armanini,2316,1917,398,1
Clearfield,State House,75,REP,Write-In Totals,21,17,4,0
Clearfield,State House,73,REP,Dallas Kephart,3519,2987,531,1
Clearfield,State House,73,REP,Write-In Totals,20,14,6,0
Clearfield,Member of Republican State Committee,,REP,James F Multhauf,3715,3095,619,1
Clearfield,Member of Republican State Committee,,REP,John A Sobel,4502,3715,787,0
Clearfield,Member of Republican State Committee,,REP,Arleen P Multhauf,4166,3458,707,1
Clearfield,Member of Republican State Committee,,REP,Write-In Totals,95,77,18,0
