county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Butler,ADAMS TWP 1,Registered Voters,,,,4463,,,
Butler,ADAMS TWP 1,Ballots Cast,,,,3580,2164,1370,46
Butler,ADAMS TWP 1,Ballots Cast - Blank,,,,1,1,0,0
Butler,ADAMS TWP 1,President,,REP,Donald J Trump,2096,1617,450,29
Butler,ADAMS TWP 1,President,,DEM,Joseph R Biden,1436,519,900,17
Butler,ADAMS TWP 1,President,,LIB,Jo Jorgensen,29,18,11,0
Butler,ADAMS TWP 1,President,,,Write-In Totals,12,8,4,0
Butler,ADAMS TWP 1,President,,,Over Votes,0,0,0,0
Butler,ADAMS TWP 1,President,,,Under Votes,7,2,5,0
Butler,ADAMS TWP 1,Attorney General,,REP,Heather Heidelbaugh,2023,1548,452,23
Butler,ADAMS TWP 1,Attorney General,,DEM,Josh Shapiro,1422,541,860,21
Butler,ADAMS TWP 1,Attorney General,,LIB,Daniel Wassmer,51,34,16,1
Butler,ADAMS TWP 1,Attorney General,,GRN,Richard L Weiss,10,8,2,0
Butler,ADAMS TWP 1,Attorney General,,,Write-In Totals,1,0,1,0
Butler,ADAMS TWP 1,Attorney General,,,Over Votes,0,0,0,0
Butler,ADAMS TWP 1,Attorney General,,,Under Votes,73,33,39,1
Butler,ADAMS TWP 1,Auditor General,,REP,Timothy Defoor,2160,1619,515,26
Butler,ADAMS TWP 1,Auditor General,,DEM,Nina Ahmad,1216,434,765,17
Butler,ADAMS TWP 1,Auditor General,,LIB,Jennifer Moore,73,47,25,1
Butler,ADAMS TWP 1,Auditor General,,GRN,Olivia Faison,18,12,5,1
Butler,ADAMS TWP 1,Auditor General,,,Write-In Totals,3,0,3,0
Butler,ADAMS TWP 1,Auditor General,,,Over Votes,0,0,0,0
Butler,ADAMS TWP 1,Auditor General,,,Under Votes,110,52,57,1
Butler,ADAMS TWP 1,State Treasurer,,REP,Stacy L Garrity,2168,1632,508,28
Butler,ADAMS TWP 1,State Treasurer,,DEM,Joe Torsella,1225,432,777,16
Butler,ADAMS TWP 1,State Treasurer,,LIB,Joe Soloski,64,44,20,0
Butler,ADAMS TWP 1,State Treasurer,,GRN,Timothy Runkle,12,9,3,0
Butler,ADAMS TWP 1,State Treasurer,,,Write-In Totals,1,1,0,0
Butler,ADAMS TWP 1,State Treasurer,,,Over Votes,0,0,0,0
Butler,ADAMS TWP 1,State Treasurer,,,Under Votes,110,46,62,2
Butler,ADAMS TWP 1,U.S. House,16,REP,Mike Kelly,2242,1681,533,28
Butler,ADAMS TWP 1,U.S. House,16,DEM,Kristy Gnibus,1261,448,796,17
Butler,ADAMS TWP 1,U.S. House,16,,Write-In Totals,2,2,0,0
Butler,ADAMS TWP 1,U.S. House,16,,Over Votes,0,0,0,0
Butler,ADAMS TWP 1,U.S. House,16,,Under Votes,75,33,41,1
Butler,ADAMS TWP 1,State Senate,21,REP,Scott E Hutchinson,2235,1674,535,26
Butler,ADAMS TWP 1,State Senate,21,DEM,Shelbie L Stromyer,1228,439,771,18
Butler,ADAMS TWP 1,State Senate,21,,Write-In Totals,3,1,2,0
Butler,ADAMS TWP 1,State Senate,21,,Over Votes,0,0,0,0
Butler,ADAMS TWP 1,State Senate,21,,Under Votes,114,50,62,2
Butler,ADAMS TWP 1,State House,12,REP,Daryl Metcalfe,2029,1543,460,26
Butler,ADAMS TWP 1,State House,12,DEM,Daniel Smith Jr,1438,559,860,19
Butler,ADAMS TWP 1,State House,12,,Write-In Totals,28,25,3,0
Butler,ADAMS TWP 1,State House,12,,Over Votes,0,0,0,0
Butler,ADAMS TWP 1,State House,12,,Under Votes,85,37,47,1
Butler,ADAMS TWP 2,Registered Voters,,,,3422,,,
Butler,ADAMS TWP 2,Ballots Cast,,,,2830,1579,1223,28
Butler,ADAMS TWP 2,Ballots Cast - Blank,,,,0,0,0,0
Butler,ADAMS TWP 2,President,,REP,Donald J Trump,1838,1314,507,17
Butler,ADAMS TWP 2,President,,DEM,Joseph R Biden,934,239,684,11
Butler,ADAMS TWP 2,President,,LIB,Jo Jorgensen,35,20,15,0
Butler,ADAMS TWP 2,President,,,Write-In Totals,14,5,9,0
Butler,ADAMS TWP 2,President,,,Over Votes,1,0,1,0
Butler,ADAMS TWP 2,President,,,Under Votes,8,1,7,0
Butler,ADAMS TWP 2,Attorney General,,REP,Heather Heidelbaugh,1771,1251,503,17
Butler,ADAMS TWP 2,Attorney General,,DEM,Josh Shapiro,946,277,658,11
Butler,ADAMS TWP 2,Attorney General,,LIB,Daniel Wassmer,52,35,17,0
Butler,ADAMS TWP 2,Attorney General,,GRN,Richard L Weiss,8,5,3,0
Butler,ADAMS TWP 2,Attorney General,,,Write-In Totals,0,0,0,0
Butler,ADAMS TWP 2,Attorney General,,,Over Votes,1,0,1,0
Butler,ADAMS TWP 2,Attorney General,,,Under Votes,52,11,41,0
Butler,ADAMS TWP 2,Auditor General,,REP,Timothy Defoor,1908,1300,587,21
Butler,ADAMS TWP 2,Auditor General,,DEM,Nina Ahmad,746,196,544,6
Butler,ADAMS TWP 2,Auditor General,,LIB,Jennifer Moore,81,56,25,0
Butler,ADAMS TWP 2,Auditor General,,GRN,Olivia Faison,13,3,10,0
Butler,ADAMS TWP 2,Auditor General,,,Write-In Totals,1,0,1,0
Butler,ADAMS TWP 2,Auditor General,,,Over Votes,1,0,1,0
Butler,ADAMS TWP 2,Auditor General,,,Under Votes,80,24,55,1
Butler,ADAMS TWP 2,State Treasurer,,REP,Stacy L Garrity,1912,1321,571,20
Butler,ADAMS TWP 2,State Treasurer,,DEM,Joe Torsella,764,193,564,7
Butler,ADAMS TWP 2,State Treasurer,,LIB,Joe Soloski,62,44,18,0
Butler,ADAMS TWP 2,State Treasurer,,GRN,Timothy Runkle,11,2,9,0
Butler,ADAMS TWP 2,State Treasurer,,,Write-In Totals,0,0,0,0
Butler,ADAMS TWP 2,State Treasurer,,,Over Votes,6,0,6,0
Butler,ADAMS TWP 2,State Treasurer,,,Under Votes,75,19,55,1
Butler,ADAMS TWP 2,U.S. House,16,REP,Mike Kelly,1969,1349,598,22
Butler,ADAMS TWP 2,U.S. House,16,DEM,Kristy Gnibus,810,214,590,6
Butler,ADAMS TWP 2,U.S. House,16,,Write-In Totals,2,1,1,0
Butler,ADAMS TWP 2,U.S. House,16,,Over Votes,1,0,1,0
Butler,ADAMS TWP 2,U.S. House,16,,Under Votes,48,15,33,0
Butler,ADAMS TWP 2,State Senate,21,REP,Scott E Hutchinson,1979,1354,602,23
