candidate,office,district,party,county,precinct,Votes
Registered Voters,,,,Union,Buffalo 1,1533
Ballots Cast,,,,Union,Buffalo 1,1318
Joseph R Biden,President,DEM,Union,Buffalo 1,329
Donald J Trump,President,REP,Union,Buffalo 1,968
Jo JorgensenPresident,LIB,Union,Buffalo 1,12
Write-In (W),President,,Union,Buffalo 1,0
Howie Hawkins,President,,Union,Buffalo 1,0
Brian Carroll (W),President,,Union,Buffalo 1,1
Write-InPresident,,Union,Buffalo 1,4
Josh ShapiroAttorney General,,DEM,Union,Buffalo 1,356
Heather Heidelbaugh,Attorney General,,REP,Union,Buffalo 1,902
Daniel Wassmer,Attorney General,,LIB,Union,Buffalo 1,15
Richard L Weiss,Attorney General,,GRN,Union,Buffalo 1,10
Write-In,Attorney General,,,Union,Buffalo 1,0
Nina Ahmad,Auditor General,,DEM,Union,Buffalo 1,280
Timothy Defoor,Auditor General,,REP,Union,Buffalo 1,969
Jennifer Moore,Auditor General,,LIB,Union,Buffalo 1,33
Olivia Faison,Auditor General,,GRN,Union,Buffalo 1,4
Write-In,Auditor General,,,Union,Buffalo 1,0
Joe Torsella,State Treasurer,,DEM,Union,Buffalo 1,294
Stacy L Garrity,State Treasurer,,REP,Union,Buffalo 1,960
Joe Soloski,State Treasurer,,LIB,Union,Buffalo 1,25
Timothy Runkle,State Treasurer,,GRN,Union,Buffalo 1,9
Write-In,State Treasurer,,,Union,Buffalo 1,0
Lee Griffin,U.S. House,12,DEM,Union,Buffalo 1,268
Fred Keller,U.S. House,12,REP,Union,Buffalo 1,1028
Write-In,U.S. House,12,,Union,Buffalo 1,0
Jackie Baker,State Senate,23,DEM,Union,Buffalo 1,276
Gene Yaw,State Senate,23,REP,Union,Buffalo 1,1009
Write-In,State Senate,23,,Union,Buffalo 1,0
Katie Evans,State Representative,85,DEM,Union,Buffalo 1,307
David H Rowe,State Representative,85,REP,Union,Buffalo 1,990
Write-In,State Representative,85,,Union,Buffalo 1,0
Registered Voters,,,,Union,Buffalo 2,548
Ballots Cast,,,,Union,Buffalo 2,478
Joseph R Biden,President,DEM,Union,Buffalo 2,101
Donald J Trump,President,REP,Union,Buffalo 2,363
Jo JorgensenPresident,LIB,Union,Buffalo 2,11
Write-In (W),President,,Union,Buffalo 2,0
Howie Hawkins,President,,Union,Buffalo 2,0
Brian Carroll (W),President,,Union,Buffalo 2,0
Write-InPresident,,Union,Buffalo 2,1
Josh ShapiroAttorney General,,DEM,Union,Buffalo 2,105
Heather Heidelbaugh,Attorney General,,REP,Union,Buffalo 2,341
Daniel Wassmer,Attorney General,,LIB,Union,Buffalo 2,16
Richard L Weiss,Attorney General,,GRN,Union,Buffalo 2,8
Write-In,Attorney General,,,Union,Buffalo 2,0
Nina Ahmad,Auditor General,,DEM,Union,Buffalo 2,85
Timothy Defoor,Auditor General,,REP,Union,Buffalo 2,365
Jennifer Moore,Auditor General,,LIB,Union,Buffalo 2,14
Olivia Faison,Auditor General,,GRN,Union,Buffalo 2,4
Write-In,Auditor General,,,Union,Buffalo 2,0
Joe Torsella,State Treasurer,,DEM,Union,Buffalo 2,90
Stacy L Garrity,State Treasurer,,REP,Union,Buffalo 2,365
Joe Soloski,State Treasurer,,LIB,Union,Buffalo 2,11
Timothy Runkle,State Treasurer,,GRN,Union,Buffalo 2,4
Write-In,State Treasurer,,,Union,Buffalo 2,0
Lee Griffin,U.S. House,12,DEM,Union,Buffalo 2,83
Fred Keller,U.S. House,12,REP,Union,Buffalo 2,390
Write-In,U.S. House,12,,Union,Buffalo 2,0
Jackie Baker,State Senate,23,DEM,Union,Buffalo 2,84
Gene Yaw,State Senate,23,REP,Union,Buffalo 2,385
Write-In,State Senate,23,,Union,Buffalo 2,0
Katie Evans,State Representative,85,DEM,Union,Buffalo 2,101
David H Rowe,State Representative,85,REP,Union,Buffalo 2,372
Write-In,State Representative,85,,Union,Buffalo 2,0
Registered Voters,,,,Union,East Buffalo 1,1529
Ballots Cast,,,,Union,East Buffalo 1,1264
Joseph R Biden,President,DEM,Union,East Buffalo 1,638
Donald J Trump,President,REP,Union,East Buffalo 1,586
Jo JorgensenPresident,LIB,Union,East Buffalo 1,25
Write-In (W),President,,Union,East Buffalo 1,0
Howie Hawkins,President,,Union,East Buffalo 1,1
Brian Carroll (W),President,,Union,East Buffalo 1,1
Write-InPresident,,Union,East Buffalo 1,8
Josh ShapiroAttorney General,,DEM,Union,East Buffalo 1,621
Heather Heidelbaugh,Attorney General,,REP,Union,East Buffalo 1,573
Daniel Wassmer,Attorney General,,LIB,Union,East Buffalo 1,27
Richard L Weiss,Attorney General,,GRN,Union,East Buffalo 1,17
Write-In,Attorney General,,,Union,East Buffalo 1,2
Nina Ahmad,Auditor General,,DEM,Union,East Buffalo 1,567
Timothy Defoor,Auditor General,,REP,Union,East Buffalo 1,613
Jennifer Moore,Auditor General,,LIB,Union,East Buffalo 1,44
Olivia Faison,Auditor General,,GRN,Union,East Buffalo 1,14
Write-In,Auditor General,,,Union,East Buffalo 1,0
Joe Torsella,State Treasurer,,DEM,Union,East Buffalo 1,569
Stacy L Garrity,State Treasurer,,REP,Union,East Buffalo 1,617
Joe Soloski,State Treasurer,,LIB,Union,East Buffalo 1,35
Timothy Runkle,State Treasurer,,GRN,Union,East Buffalo 1,18
Write-In,State Treasurer,,,Union,East Buffalo 1,0
Lee Griffin,U.S. House,12,DEM,Union,East Buffalo 1,562
Fred Keller,U.S. House,12,REP,Union,East Buffalo 1,679
Write-In,U.S. House,12,,Union,East Buffalo 1,1
Jackie Baker,State Senate,23,DEM,Union,East Buffalo 1,591
Gene Yaw,State Senate,23,REP,Union,East Buffalo 1,647
Write-In,State Senate,23,,Union,East Buffalo 1,1
Katie Evans,State Representative,85,DEM,Union,East Buffalo 1,617
David H Rowe,State Representative,85,REP,Union,East Buffalo 1,619
Write-In,State Representative,85,,Union,East Buffalo 1,2
Registered Voters,,,,Union,East Buffalo 2,1487
Ballots Cast,,,,Union,East Buffalo 2,1266
Joseph R Biden,President,DEM,Union,East Buffalo 2,770
Donald J Trump,President,REP,Union,East Buffalo 2,468
Jo JorgensenPresident,LIB,Union,East Buffalo 2,15
Write-In (W),President,,Union,East Buffalo 2,0
Howie Hawkins,President,,Union,East Buffalo 2,0
Brian Carroll (W),President,,Union,East Buffalo 2,0
Write-InPresident,,Union,East Buffalo 2,8
Josh ShapiroAttorney General,,DEM,Union,East Buffalo 2,745
Heather Heidelbaugh,Attorney General,,REP,Union,East Buffalo 2,474
Daniel Wassmer,Attorney General,,LIB,Union,East Buffalo 2,16
Richard L Weiss,Attorney General,,GRN,Union,East Buffalo 2,12
Write-In,Attorney General,,,Union,East Buffalo 2,0
Nina Ahmad,Auditor General,,DEM,Union,East Buffalo 2,700
Timothy Defoor,Auditor General,,REP,Union,East Buffalo 2,509
Jennifer Moore,Auditor General,,LIB,Union,East Buffalo 2,26
