county,precinct,office,district,party,candidate,election_day,absentee,provisional,military,votes
Washington,ALLENPORT,Registered Voters,,,,,,,,295
Washington,ALLENPORT,Registered Voters,,DEM,,,,,,206
Washington,ALLENPORT,Registered Voters,,REP,,,,,,89
Washington,ALLENPORT,Ballots Cast,,,,81,34,0,0,115
Washington,ALLENPORT,Ballots Cast,,DEM,,50,29,0,0,79
Washington,ALLENPORT,Ballots Cast,,REP,,31,5,0,0,36
Washington,ALLENPORT,President,,DEM,Bernie Sanders,5,4,0,0,9
Washington,ALLENPORT,President,,DEM,Joseph R Biden,30,23,0,0,53
Washington,ALLENPORT,President,,DEM,Tulsi Gabbard,4,0,0,0,4
Washington,ALLENPORT,President,,DEM,Write-In,9,1,0,0,10
Washington,ALLENPORT,Attorney General,,DEM,Josh Shapiro,39,26,0,0,65
Washington,ALLENPORT,Attorney General,,DEM,Write-In,1,0,0,0,1
Washington,ALLENPORT,Auditor General,,DEM,H Scott Conklin,3,0,0,0,3
Washington,ALLENPORT,Auditor General,,DEM,Michael Lamb,34,24,0,0,58
Washington,ALLENPORT,Auditor General,,DEM,Tracie Fountain,0,1,0,0,1
Washington,ALLENPORT,Auditor General,,DEM,Rose Rosie Marie Davis,0,2,0,0,2
Washington,ALLENPORT,Auditor General,,DEM,Nina Ahmad,2,2,0,0,4
Washington,ALLENPORT,Auditor General,,DEM,Christina M Hartman,1,0,0,0,1
Washington,ALLENPORT,Auditor General,,DEM,Write-In,4,0,0,0,4
Washington,ALLENPORT,State Treasurer,,DEM,Joe Torsella,37,26,0,0,63
Washington,ALLENPORT,State Treasurer,,DEM,Write-In,4,0,0,0,4
Washington,ALLENPORT,U.S. House,14,DEM,Bill Marx,38,25,0,0,63
Washington,ALLENPORT,U.S. House,14,DEM,Write-In,5,0,0,0,5
Washington,ALLENPORT,General Assembly,49,DEM,Randy J Barli,34,25,0,0,59
Washington,ALLENPORT,General Assembly,49,DEM,Write-In,10,0,0,0,10
Washington,ALLENPORT,President,,REP,Donald J Trump,31,5,0,0,36
Washington,ALLENPORT,President,,REP,Roque Rocky De La Fuente,0,0,0,0,0
Washington,ALLENPORT,President,,REP,Bill Weld,0,0,0,0,0
Washington,ALLENPORT,President,,REP,Write-In,0,0,0,0,0
Washington,ALLENPORT,Attorney General,,REP,Heather Heidelbaugh,27,3,0,0,30
Washington,ALLENPORT,Attorney General,,REP,Write-In,1,0,0,0,1
Washington,ALLENPORT,Auditor General,,REP,Timothy Defoor,26,4,0,0,30
Washington,ALLENPORT,Auditor General,,REP,Write-In,1,0,0,0,1
Washington,ALLENPORT,State Treasurer,,REP,Stacy L Garrity,27,3,0,0,30
Washington,ALLENPORT,State Treasurer,,REP,Write-In,0,0,0,0,0
Washington,ALLENPORT,U.S. House,14,REP,Guy Reschenthaler,27,5,0,0,32
Washington,ALLENPORT,U.S. House,14,REP,Write-In,0,0,0,0,0
Washington,ALLENPORT,General Assembly,49,REP,Bud Cook,21,4,0,0,25
Washington,ALLENPORT,General Assembly,49,REP,Tony Bottino,9,1,0,0,10
Washington,ALLENPORT,General Assembly,49,REP,Write-In,0,0,0,0,0
Washington,AMWELL 1,Registered Voters,,,,,,,,1202
Washington,AMWELL 1,Registered Voters,,DEM,,,,,,519
Washington,AMWELL 1,Registered Voters,,REP,,,,,,683
Washington,AMWELL 1,Ballots Cast,,,,241,179,1,0,421
Washington,AMWELL 1,Ballots Cast,,DEM,,77,108,0,0,185
Washington,AMWELL 1,Ballots Cast,,REP,,164,71,1,0,236
Washington,AMWELL 1,President,,DEM,Bernie Sanders,15,8,0,0,23
Washington,AMWELL 1,President,,DEM,Joseph R Biden,38,96,0,0,134
Washington,AMWELL 1,President,,DEM,Tulsi Gabbard,3,1,0,0,4
Washington,AMWELL 1,President,,DEM,Write-In,14,2,0,0,16
Washington,AMWELL 1,Attorney General,,DEM,Josh Shapiro,66,97,0,0,163
Washington,AMWELL 1,Attorney General,,DEM,Write-In,0,1,0,0,1
Washington,AMWELL 1,Auditor General,,DEM,H Scott Conklin,6,1,0,0,7
Washington,AMWELL 1,Auditor General,,DEM,Michael Lamb,49,79,0,0,128
Washington,AMWELL 1,Auditor General,,DEM,Tracie Fountain,5,7,0,0,12
Washington,AMWELL 1,Auditor General,,DEM,Rose Rosie Marie Davis,1,1,0,0,2
Washington,AMWELL 1,Auditor General,,DEM,Nina Ahmad,4,8,0,0,12
Washington,AMWELL 1,Auditor General,,DEM,Christina M Hartman,4,9,0,0,13
Washington,AMWELL 1,Auditor General,,DEM,Write-In,0,0,0,0,0
Washington,AMWELL 1,State Treasurer,,DEM,Joe Torsella,62,97,0,0,159
Washington,AMWELL 1,State Treasurer,,DEM,Write-In,1,0,0,0,1
Washington,AMWELL 1,U.S. House,14,DEM,Bill Marx,62,93,0,0,155
Washington,AMWELL 1,U.S. House,14,DEM,Write-In,1,0,0,0,1
Washington,AMWELL 1,General Assembly,15,DEM,Bob Williams,63,92,0,0,155
Washington,AMWELL 1,General Assembly,15,DEM,Write-In,0,1,0,0,1
Washington,AMWELL 1,President,,REP,Donald J Trump,159,54,1,0,214
Washington,AMWELL 1,President,,REP,Roque Rocky De La Fuente,0,1,0,0,1
Washington,AMWELL 1,President,,REP,Bill Weld,1,9,0,0,10
Washington,AMWELL 1,President,,REP,Write-In,0,1,0,0,1
