county,precinct,office,district,party,candidate,election_day,absentee,mail_in,provisional,votes
Bradford,ALBA BOROUGH,Registered Voters,,,,,,,,95
Bradford,ALBA BOROUGH,Ballots Cast,,,,36,0,5,0,41
Bradford,ALBA BOROUGH,President,,DEM,Bernie Sanders,0,0,0,0,0
Bradford,ALBA BOROUGH,President,,DEM,Joseph R. Biden,1,0,2,0,3
Bradford,ALBA BOROUGH,President,,DEM,Tulsi Gabbard,1,0,0,0,1
Bradford,ALBA BOROUGH,President,,DEM,Donald J. Trump,0,0,0,0,0
Bradford,ALBA BOROUGH,President,,DEM,Write-In,1,0,0,0,1
Bradford,ALBANY TOWNSHIP,Registered Voters,,,,,,,,545
Bradford,ALBANY TOWNSHIP,Ballots Cast,,,,128,7,54,11,200
Bradford,ALBANY TOWNSHIP,President,,DEM,Bernie Sanders,3,0,3,1,7
Bradford,ALBANY TOWNSHIP,President,,DEM,Joseph R. Biden,13,3,16,4,36
Bradford,ALBANY TOWNSHIP,President,,DEM,Tulsi Gabbard,1,0,0,0,1
Bradford,ALBANY TOWNSHIP,President,,DEM,Donald J. Trump,4,0,0,1,5
Bradford,ALBANY TOWNSHIP,President,,DEM,Write-In,0,0,1,0,1
Bradford,ARMENIA TOWNSHIP,Registered Voters,,,,,,,,131
Bradford,ARMENIA TOWNSHIP,Ballots Cast,,,,42,0,4,2,48
Bradford,ARMENIA TOWNSHIP,President,,DEM,Bernie Sanders,1,0,0,0,1
Bradford,ARMENIA TOWNSHIP,President,,DEM,Joseph R. Biden,0,0,2,2,4
Bradford,ARMENIA TOWNSHIP,President,,DEM,Tulsi Gabbard,2,0,0,0,2
Bradford,ARMENIA TOWNSHIP,President,,DEM,Donald J. Trump,1,0,1,0,2
Bradford,ARMENIA TOWNSHIP,President,,DEM,Write-In,0,0,0,0,0
Bradford,ASYLUM TOWNSHIP,Registered Voters,,,,,,,,627
Bradford,ASYLUM TOWNSHIP,Ballots Cast,,,,138,8,67,4,217
Bradford,ASYLUM TOWNSHIP,President,,DEM,Bernie Sanders,0,1,4,0,5
Bradford,ASYLUM TOWNSHIP,President,,DEM,Joseph R. Biden,20,0,22,0,42
Bradford,ASYLUM TOWNSHIP,President,,DEM,Tulsi Gabbard,0,0,1,0,1
Bradford,ASYLUM TOWNSHIP,President,,DEM,Donald J. Trump,0,0,1,0,1
Bradford,ASYLUM TOWNSHIP,President,,DEM,Write-In,0,0,0,0,0
Bradford,ATHENS BOROUGH 1ST WARD,Registered Voters,,,,,,,,344
Bradford,ATHENS BOROUGH 1ST WARD,Ballots Cast,,,,69,5,35,3,112
Bradford,ATHENS BOROUGH 1ST WARD,President,,DEM,Bernie Sanders,4,0,2,1,7
Bradford,ATHENS BOROUGH 1ST WARD,President,,DEM,Joseph R. Biden,19,1,20,0,40
Bradford,ATHENS BOROUGH 1ST WARD,President,,DEM,Tulsi Gabbard,0,0,0,0,0
Bradford,ATHENS BOROUGH 1ST WARD,President,,DEM,Donald J. Trump,1,0,1,0,2
Bradford,ATHENS BOROUGH 1ST WARD,President,,DEM,Write-In,0,0,0,0,0
Bradford,ATHENS BOROUGH 2ND WARD,Registered Voters,,,,,,,,365
Bradford,ATHENS BOROUGH 2ND WARD,Ballots Cast,,,,64,4,20,1,89
Bradford,ATHENS BOROUGH 2ND WARD,President,,DEM,Bernie Sanders,6,1,3,0,10
Bradford,ATHENS BOROUGH 2ND WARD,President,,DEM,Joseph R. Biden,18,0,10,1,29
Bradford,ATHENS BOROUGH 2ND WARD,President,,DEM,Tulsi Gabbard,0,0,0,0,0
