county,precinct,office,district,party,candidate,TOTAL
McKean County,Annin Township,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,26
McKean County,Bradford City- 1st Wd,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,23
McKean County,Bradford City- 2nd Wd,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,55
McKean County,Bradford City- 3rd Wd- 1st Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,36
McKean County,Bradford City- 3rd Wd- 2nd Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,50
McKean County,Bradford City- 4th Wd,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,63
McKean County,Bradford City- 5th Wd,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,13
McKean County,Bradford City- 6th Wd- 1st Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,51
McKean County,Bradford City- 6th Wd- 2nd Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,57
McKean County,Bradford Township- 1st Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,47
McKean County,Bradford Township- 2nd Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,155
McKean County,Bradford Township- 3rd Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,42
McKean County,Ceres Township,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,22
McKean County,Corydon Township,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,20
McKean County,Eldred Borough,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,29
McKean County,Eldred Township,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,38
McKean County,Foster Township- 1st Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,37
McKean County,Foster Township- 2nd Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,28
McKean County,Foster Township- 3rd Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,128
McKean County,Foster Township- 4th Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,10
McKean County,Hamilton Township,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,32
McKean County,Hamlin Township- 1st Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,15
McKean County,Hamlin Township- 2nd Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,25
McKean County,Kane Borough- 1st Wd,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,78
McKean County,Kane Borough- 2nd Wd,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,37
McKean County,Kane Borough- 3rd Wd,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,85
McKean County,Kane Borough- 4th Wd,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,55
McKean County,Keating Township- 1st Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,29
McKean County,Keating Township- 2nd Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,20
McKean County,Keating Township- 3rd Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,33
McKean County,Lafayette Township,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,71
McKean County,Lewis Run Borough,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,22
McKean County,Liberty Township,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,53
McKean County,Mount Jewett Borough,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,29
McKean County,Norwich Township,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,24
McKean County,Otto Township- 1st Dist,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,24
