    county,precinct,office,district,party,candidate,election_day,mail_in,provisional,military,votes
    Cumberland,CAMP HILL 1,Registered Voters,,DEM,,,,,,452
    Cumberland,CAMP HILL 1,Ballots Cast,,DEM,,62,183,1,1,247
    Cumberland,CAMP HILL 1,President,,DEM,Bernie Sanders,15,39,0,0,54
    Cumberland,CAMP HILL 1,President,,DEM,Joseph R Biden,43,135,1,1,180
    Cumberland,CAMP HILL 1,President,,DEM,Tulsi Gabbard,4,2,0,0,6
    Cumberland,CAMP HILL 1,President,,DEM,Write-In,0,4,0,0,4
    Cumberland,CAMP HILL 1,Attorney General,,DEM,Josh Shapiro,56,163,1,0,220
    Cumberland,CAMP HILL 1,Attorney General,,DEM,Write-In,1,0,0,0,1
    Cumberland,CAMP HILL 1,Auditor General,,DEM,H Scott Conklin,7,11,0,0,18
    Cumberland,CAMP HILL 1,Auditor General,,DEM,Michael Lamb,8,25,0,0,33
    Cumberland,CAMP HILL 1,Auditor General,,DEM,Tracie Fountain,20,55,1,0,76
    Cumberland,CAMP HILL 1,Auditor General,,DEM,Rose Rosie Marie Davis,5,1,0,0,6
    Cumberland,CAMP HILL 1,Auditor General,,DEM,Nina Ahmad,10,45,0,0,55
    Cumberland,CAMP HILL 1,Auditor General,,DEM,Christina M Hartman,9,26,0,0,35
    Cumberland,CAMP HILL 1,Auditor General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 1,State Treasurer,,DEM,Joe Torsella,54,161,1,0,216
    Cumberland,CAMP HILL 1,State Treasurer,,DEM,Write-In,1,1,0,0,2
    Cumberland,CAMP HILL 1,U.S. House,10,DEM,Tom Brier,32,63,1,0,96
    Cumberland,CAMP HILL 1,U.S. House,10,DEM,Eugene Depasquale,28,110,0,0,138
    Cumberland,CAMP HILL 1,U.S. House,10,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 1,State Senate,31,DEM,Rick Coplen,24,58,0,0,82
    Cumberland,CAMP HILL 1,State Senate,31,DEM,Shanna Danielson,25,91,1,0,117
    Cumberland,CAMP HILL 1,State Senate,31,DEM,John D Bosha,11,23,0,0,34
    Cumberland,CAMP HILL 1,State Senate,31,DEM,Write-In,0,1,0,0,1
    Cumberland,CAMP HILL 1,General Assembly,87,DEM,Nicole Miller,9,41,0,0,50
