county,precinct,office,district,party,candidate,total,election day,mail votes,provisional votes
Juniata,BEALE,President,,DEM,JOSEPH R. BIDEN,57,37,19,1
Juniata,BEALE,President,,REP,DONALD J. TRUMP,328,293,33,2
Juniata,BEALE,President,,LIB,JO JORGENSEN,10,9,1,0
Juniata,BEALE,President,,Write In,Write-In Totals,3,2,1,0
Juniata,BEALE,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,75,53,21,1
Juniata,BEALE,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,301,270,29,2
Juniata,BEALE,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,8,6,2,0
Juniata,BEALE,ATTORNEY GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,BEALE,AUDITOR GENERAL,,DEM,NINA AHMAD,60,36,23,1
Juniata,BEALE,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,306,279,26,1
Juniata,BEALE,AUDITOR GENERAL,,LIB,JENNIFER MOORE,14,13,1,0
Juniata,BEALE,AUDITOR GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,BEALE,STATE TREASURER,,DEM,JOE TORSELLA,61,39,22,0
Juniata,BEALE,STATE TREASURER,,REP,STACY L. GARRITY,310,280,29,1
Juniata,BEALE,STATE TREASURER,,LIB,JOE SOLOSKI,8,8,0,0
Juniata,BEALE,STATE TREASURER,,Write In,Write-In Totals,0,0,0,0
Juniata,BEALE,U.S. House,15TH,DEM,LEE GRIFFIN,61,41,19,1
Juniata,BEALE,U.S. House,15TH,REP,FRED KELLER,326,290,34,2
Juniata,BEALE,U.S. House,15TH,Write In,Write-In Totals,0,0,0,0
Juniata,BEALE,State House,82ND,REP,JOHN HERSHEY,364,317,45,2
Juniata,BEALE,State House,82ND,Write In,Write-In Totals,5,4,1,0
Juniata,DELAWARE,President,,DEM,JOSEPH R. BIDEN,152,66,85,1
Juniata,DELAWARE,President,,REP,DONALD J. TRUMP,672,581,84,7
Juniata,DELAWARE,President,,LIB,JO JORGENSEN,11,6,5,0
Juniata,DELAWARE,President,,Write In,Write-In Totals,2,0,2,0
Juniata,DELAWARE,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,156,77,77,2
Juniata,DELAWARE,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,642,551,85,6
Juniata,DELAWARE,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,12,7,5,0
Juniata,DELAWARE,ATTORNEY GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,DELAWARE,AUDITOR GENERAL,,DEM,NINA AHMAD,130,58,70,2
Juniata,DELAWARE,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,653,558,89,6
Juniata,DELAWARE,AUDITOR GENERAL,,LIB,JENNIFER MOORE,17,13,4,0
Juniata,DELAWARE,AUDITOR GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,DELAWARE,STATE TREASURER,,DEM,JOE TORSELLA,144,73,69,2
Juniata,DELAWARE,STATE TREASURER,,REP,STACY L. GARRITY,647,549,92,6
Juniata,DELAWARE,STATE TREASURER,,LIB,JOE SOLOSKI,15,11,4,0
Juniata,DELAWARE,STATE TREASURER,,Write In,Write-In Totals,0,0,0,0
Juniata,DELAWARE,U.S. House,15TH,DEM,LEE GRIFFIN,138,66,70,2
Juniata,DELAWARE,U.S. House,15TH,REP,FRED KELLER,683,577,100,6
Juniata,DELAWARE,U.S. House,15TH,Write In,Write-In Totals,1,0,1,0
