candidate,office,district,party,county,precinct,election_day,mail,absentee,provisional,votes 
Joseph R. Biden,President,,DEM,Fulton,Ayr Township,79,81,0,2,162
Donald J. Trump,President,,REP,Fulton,Ayr Township,841,105,0,6,952
Jo Jorgensen,President,,LIB,Fulton,Ayr Township,9,3,0,0,12
Write-In,President,,,Fulton,Ayr Township,1,0,0,0,1
Josh Shapiro,Attorney General,,DEM,Fulton,Ayr Township,90,76,0,2,168
Heather Heidelbaugh,Attorney General,,REP,Fulton,Ayr Township,805,104,0,5,914
Daniel Wassmer,Attorney General,,LIB,Fulton,Ayr Township,8,2,0,1,11
Richard L Weiss,Attorney General,,GRN,Fulton,Ayr Township,3,1,0,0,4
Write-In,Attorney General,,,Fulton,Ayr Township,1,0,0,0,1
Nina Ahmad,Auditor General,,DEM,Fulton,Ayr Township,63,72,0,2,137
Timothy Defoor,Auditor General,,REP,Fulton,Ayr Township,815,102,0,5,922
Jennifer Moore,Auditor General,,LIB,Fulton,Ayr Township,16,6,0,1,23
Olivia Faison,Auditor General,,GRN,Fulton,Ayr Township,5,2,0,0,7
Write-In,Auditor General,,,Fulton,Ayr Township,2,0,0,0,2
Joe Torsella,State Treasurer,,DEM,Fulton,Ayr Township,72,77,0,2,151
Stacy L Garrity,State Treasurer,,REP,Fulton,Ayr Township,814,101,0,5,920
Joe Soloski,State Treasurer,,LIB,Fulton,Ayr Township,11,3,0,1,15
Timothy Runkle,State Treasurer,,GRN,Fulton,Ayr Township,2,1,0,0,3
Write-In,State Treasurer,,,Fulton,Ayr Township,1,0,0,0,1
Todd Rowley,U.S. House,13,DEM,Fulton,Ayr Township,74,73,0,2,149
John Joyce,U.S. House,13,REP,Fulton,Ayr Township,835,113,0,6,954
Write-In,U.S. House,13,,Fulton,Ayr Township,2,0,0,0,2
Jesse Topper,State Representative,78,REP,Fulton,Ayr Township,871,143,0,7,1021
Write-In,State Representative,78,,Fulton,Ayr Township,3,8,0,0,11
Joseph R. Biden,President,,DEM,Fulton,Belfast Township,41,44,0,0,85
Donald J. Trump,President,,REP,Fulton,Belfast Township,623,64,0,10,697
Jo Jorgensen,President,,LIB,Fulton,Belfast Township,5,4,0,0,9
Write-In,President,,,Fulton,Belfast Township,0,1,0,0,1
Josh Shapiro,Attorney General,,DEM,Fulton,Belfast Township,35,45,0,0,80
Heather Heidelbaugh,Attorney General,,REP,Fulton,Belfast Township,603,65,0,11,679
Daniel Wassmer,Attorney General,,LIB,Fulton,Belfast Township,9,2,0,0,11
Richard L Weiss,Attorney General,,GRN,Fulton,Belfast Township,6,0,0,0,6
Write-In,Attorney General,,,Fulton,Belfast Township,0,0,0,0,0
Nina Ahmad,Auditor General,,DEM,Fulton,Belfast Township,35,43,0,0,78
Timothy Defoor,Auditor General,,REP,Fulton,Belfast Township,598,68,0,11,677
Jennifer Moore,Auditor General,,LIB,Fulton,Belfast Township,14,1,0,0,15
Olivia Faison,Auditor General,,GRN,Fulton,Belfast Township,4,1,0,0,5
Write-In,Auditor General,,,Fulton,Belfast Township,0,0,0,0,0
Joe Torsella,State Treasurer,,DEM,Fulton,Belfast Township,41,48,0,0,89
Stacy L Garrity,State Treasurer,,REP,Fulton,Belfast Township,595,64,0,11,670
Joe Soloski,State Treasurer,,LIB,Fulton,Belfast Township,12,1,0,0,13
Timothy Runkle,State Treasurer,,GRN,Fulton,Belfast Township,2,1,0,0,3
Write-In,State Treasurer,,,Fulton,Belfast Township,0,0,0,0,0
Todd Rowley,U.S. House,13,DEM,Fulton,Belfast Township,44,44,0,0,88
John Joyce,U.S. House,13,REP,Fulton,Belfast Township,597,70,0,11,678
Write-In,U.S. House,13,,Fulton,Belfast Township,0,0,0,0,0
Jesse Topper,State Representative,78,REP,Fulton,Belfast Township,637,91,0,10,738
Write-In,State Representative,78,,Fulton,Belfast Township,0,1,0,0,1
Joseph R. Biden,President,,DEM,Fulton,Bethel Township,56,70,0,0,126
Donald J. Trump,President,,REP,Fulton,Bethel Township,619,69,0,16,704
Jo Jorgensen,President,,LIB,Fulton,Bethel Township,0,1,0,0,1
Write-In,President,,,Fulton,Bethel Township,0,0,0,0,0
Josh Shapiro,Attorney General,,DEM,Fulton,Bethel Township,54,62,0,1,117
Heather Heidelbaugh,Attorney General,,REP,Fulton,Bethel Township,603,69,0,15,687
Daniel Wassmer,Attorney General,,LIB,Fulton,Bethel Township,4,5,0,0,9
Richard L Weiss,Attorney General,,GRN,Fulton,Bethel Township,2,2,0,0,4
Write-In,Attorney General,,,Fulton,Bethel Township,0,0,0,0,0
Nina Ahmad,Auditor General,,DEM,Fulton,Bethel Township,45,61,0,0,106
Timothy Defoor,Auditor General,,REP,Fulton,Bethel Township,595,71,0,15,681
Jennifer Moore,Auditor General,,LIB,Fulton,Bethel Township,16,3,0,1,20
Olivia Faison,Auditor General,,GRN,Fulton,Bethel Township,4,2,0,0,6
Write-In,Auditor General,,,Fulton,Bethel Township,0,0,0,0,0
Joe Torsella,State Treasurer,,DEM,Fulton,Bethel Township,53,62,0,0,115
Stacy L Garrity,State Treasurer,,REP,Fulton,Bethel Township,593,69,0,16,678
Joe Soloski,State Treasurer,,LIB,Fulton,Bethel Township,12,5,0,0,17
Timothy Runkle,State Treasurer,,GRN,Fulton,Bethel Township,2,1,0,0,3
Write-In,State Treasurer,,,Fulton,Bethel Township,0,0,0,0,0
Todd Rowley,U.S. House,13,DEM,Fulton,Bethel Township,50,64,0,0,114
John Joyce,U.S. House,13,REP,Fulton,Bethel Township,618,74,0,16,708
Write-In,U.S. House,13,,Fulton,Bethel Township,0,0,0,0,0
Jesse Topper,State Representative,78,REP,Fulton,Bethel Township,637,103,0,15,755
Write-In,State Representative,78,,Fulton,Bethel Township,0,6,0,0,6
Joseph R. Biden,President,,DEM,Fulton,Brush Creek Township,40,27,0,3,70
Donald J. Trump,President,,REP,Fulton,Brush Creek Township,327,32,0,11,370
Jo Jorgensen,President,,LIB,Fulton,Brush Creek Township,1,1,0,0,2
Write-In,President,,,Fulton,Brush Creek Township,0,0,0,0,0
Josh Shapiro,Attorney General,,DEM,Fulton,Brush Creek Township,42,26,0,4,72
Heather Heidelbaugh,Attorney General,,REP,Fulton,Brush Creek Township,308,34,0,10,352
Daniel Wassmer,Attorney General,,LIB,Fulton,Brush Creek Township,5,0,0,0,5
Richard L Weiss,Attorney General,,GRN,Fulton,Brush Creek Township,2,0,0,0,2
Write-In,Attorney General,,,Fulton,Brush Creek Township,0,0,0,0,0
Nina Ahmad,Auditor General,,DEM,Fulton,Brush Creek Township,40,24,0,3,67
Timothy Defoor,Auditor General,,REP,Fulton,Brush Creek Township,306,36,0,10,352
Jennifer Moore,Auditor General,,LIB,Fulton,Brush Creek Township,9,0,0,1,10
Olivia Faison,Auditor General,,GRN,Fulton,Brush Creek Township,1,0,0,0,1
Write-In,Auditor General,,,Fulton,Brush Creek Township,0,0,0,0,0
Joe Torsella,State Treasurer,,DEM,Fulton,Brush Creek Township,42,23,0,4,69
Stacy L Garrity,State Treasurer,,REP,Fulton,Brush Creek Township,306,37,0,10,353
Joe Soloski,State Treasurer,,LIB,Fulton,Brush Creek Township,6,0,0,0,6
Timothy Runkle,State Treasurer,,GRN,Fulton,Brush Creek Township,2,0,0,0,2
Write-In,State Treasurer,,,Fulton,Brush Creek Township,0,0,0,0,0
Todd Rowley,U.S. House,13,DEM,Fulton,Brush Creek Township,43,25,0,5,73
John Joyce,U.S. House,13,REP,Fulton,Brush Creek Township,313,36,0,9,358
Write-In,U.S. House,13,,Fulton,Brush Creek Township,0,0,0,0,0
Jesse Topper,State Representative,78,REP,Fulton,Brush Creek Township,327,47,0,13,387
Write-In,State Representative,78,,Fulton,Brush Creek Township,1,2,0,0,3
Joseph R. Biden,President,,DEM,Fulton,Dublin Township,38,27,0,0,65
Donald J. Trump,President,,REP,Fulton,Dublin Township,502,54,0,10,566
Jo Jorgensen,President,,LIB,Fulton,Dublin Township,3,1,0,0,4
Write-In,President,,,Fulton,Dublin Township,0,0,0,0,0
Josh Shapiro,Attorney General,,DEM,Fulton,Dublin Township,34,29,0,1,64
Heather Heidelbaugh,Attorney General,,REP,Fulton,Dublin Township,487,48,0,9,544
Daniel Wassmer,Attorney General,,LIB,Fulton,Dublin Township,5,2,0,0,7
Richard L Weiss,Attorney General,,GRN,Fulton,Dublin Township,3,0,0,0,3
Write-In,Attorney General,,,Fulton,Dublin Township,0,0,0,0,0
Nina Ahmad,Auditor General,,DEM,Fulton,Dublin Township,29,25,0,1,55
Timothy Defoor,Auditor General,,REP,Fulton,Dublin Township,487,51,0,9,547
Jennifer Moore,Auditor General,,LIB,Fulton,Dublin Township,9,1,0,0,10
Olivia Faison,Auditor General,,GRN,Fulton,Dublin Township,0,1,0,0,1
Write-In,Auditor General,,,Fulton,Dublin Township,0,0,0,0,0
Joe Torsella,State Treasurer,,DEM,Fulton,Dublin Township,31,28,0,1,60
Stacy L Garrity,State Treasurer,,REP,Fulton,Dublin Township,484,49,0,9,542
Joe Soloski,State Treasurer,,LIB,Fulton,Dublin Township,7,2,0,0,9
Timothy Runkle,State Treasurer,,GRN,Fulton,Dublin Township,2,0,0,0,2
Write-In,State Treasurer,,,Fulton,Dublin Township,0,0,0,0,0
Todd Rowley,U.S. House,13,DEM,Fulton,Dublin Township,34,25,0,1,60
John Joyce,U.S. House,13,REP,Fulton,Dublin Township,501,57,0,9,567
Write-In,U.S. House,13,,Fulton,Dublin Township,0,0,0,0,0
Jesse Topper,State Representative,78,REP,Fulton,Dublin Township,513,67,0,9,589
Write-In,State Representative,78,,Fulton,Dublin Township,2,1,0,0,3
Joseph R. Biden,President,,DEM,Fulton,Licking Creek Township,45,52,0,0,97
Donald J. Trump,President,,REP,Fulton,Licking Creek Township,670,60,0,9,739
Jo Jorgensen,President,,LIB,Fulton,Licking Creek Township,5,2,0,0,7
Write-In,President,,,Fulton,Licking Creek Township,1,1,0,0,2
Josh Shapiro,Attorney General,,DEM,Fulton,Licking Creek Township,53,47,0,1,101
Heather Heidelbaugh,Attorney General,,REP,Fulton,Licking Creek Township,638,58,0,7,703
Daniel Wassmer,Attorney General,,LIB,Fulton,Licking Creek Township,9,4,0,0,13
Richard L Weiss,Attorney General,,GRN,Fulton,Licking Creek Township,3,2,0,0,5
Write-In,Attorney General,,,Fulton,Licking Creek Township,1,0,0,0,1
Nina Ahmad,Auditor General,,DEM,Fulton,Licking Creek Township,43,45,0,0,88
Timothy Defoor,Auditor General,,REP,Fulton,Licking Creek Township,639,59,0,8,706
Jennifer Moore,Auditor General,,LIB,Fulton,Licking Creek Township,14,4,0,0,18
Olivia Faison,Auditor General,,GRN,Fulton,Licking Creek Township,3,2,0,0,5
Write-In,Auditor General,,,Fulton,Licking Creek Township,1,0,0,0,1
Joe Torsella,State Treasurer,,DEM,Fulton,Licking Creek Township,49,45,0,0,94
Stacy L Garrity,State Treasurer,,REP,Fulton,Licking Creek Township,634,63,0,8,705
Joe Soloski,State Treasurer,,LIB,Fulton,Licking Creek Township,9,2,0,0,11
Timothy Runkle,State Treasurer,,GRN,Fulton,Licking Creek Township,3,0,0,0,3
Write-In,State Treasurer,,,Fulton,Licking Creek Township,0,0,0,0,0
Todd Rowley,U.S. House,13,DEM,Fulton,Licking Creek Township,49,46,0,0,95
John Joyce,U.S. House,13,REP,Fulton,Licking Creek Township,660,67,0,9,736
Write-In,U.S. House,13,,Fulton,Licking Creek Township,0,0,0,0,0
