county,precinct,office,district,candidate,party,votes,,
Cameron,Driftwood Borough,Registered Voters,,,,34,,
Cameron,Driftwood Borough,Ballots Cast,,,,26,,
Cameron,Driftwood Borough,Ballots Cast Blank,,,,0,,
Cameron,Driftwood Borough,President,,Biden / Harris,DEM,2,,
Cameron,Driftwood Borough,President,,Trump / Pence,REP,24,,
Cameron,Driftwood Borough,President,,Jorgensen / Cohen,LIB,0,,
Cameron,Driftwood Borough,President,,Write-In,,0,,
Cameron,Driftwood Borough,President,,Overvotes,,0,,
Cameron,Driftwood Borough,President,,Undervotes,,0,,
Cameron,Driftwood Borough,Attorney General,,Josh Shapiro,DEM,2,,
Cameron,Driftwood Borough,Attorney General,,Heather Heidelbaugh,REP,24,,
Cameron,Driftwood Borough,Attorney General,,Daniel Wassmer,LIB,0,,
Cameron,Driftwood Borough,Attorney General,,Richard L. Weiss,GRE,0,,
Cameron,Driftwood Borough,Attorney General,,Write-In,,0,,
Cameron,Driftwood Borough,Attorney General,,Overvotes,,0,,
Cameron,Driftwood Borough,Attorney General,,Undervotes,,0,,
Cameron,Driftwood Borough,Auditor General,,Nina Ahmad,DEM,2,,
Cameron,Driftwood Borough,Auditor General,,Timothy Defoor,REP,24,,
Cameron,Driftwood Borough,Auditor General,,Jennifer Moore,LIB,0,,
Cameron,Driftwood Borough,Auditor General,,Olivia Faison,GRE,0,,
Cameron,Driftwood Borough,Auditor General,,Write-In,,0,,
Cameron,Driftwood Borough,Auditor General,,Overvotes,,0,,
Cameron,Driftwood Borough,Auditor General,,Undervotes,,0,,
Cameron,Driftwood Borough,State Treasurer,,Joe Torsella,DEM,2,,
Cameron,Driftwood Borough,State Treasurer,,Stacy L. Garrity,REP,23,,
Cameron,Driftwood Borough,State Treasurer,,Joe Soloski,LIB,0,,
Cameron,Driftwood Borough,State Treasurer,,Timothy Runkle,GRE,0,,
Cameron,Driftwood Borough,State Treasurer,,Write-In,,0,,
Cameron,Driftwood Borough,State Treasurer,,Overvotes,,0,,
Cameron,Driftwood Borough,State Treasurer,,Undervotes,,1,,
Cameron,Driftwood Borough,U.S. House,15,Robert Williams,DEM,2,,
Cameron,Driftwood Borough,U.S. House,15,Glenn GT Thompson,REP,24,,
Cameron,Driftwood Borough,U.S. House,15,Write-In,,0,,
Cameron,Driftwood Borough,U.S. House,15,Overvotes,,0,,
Cameron,Driftwood Borough,U.S. House,15,Undervotes,,0,,
Cameron,Driftwood Borough,State Senate,25,Margie Brown,DEM,2,,
Cameron,Driftwood Borough,State Senate,25,Cris Dush,REP,23,,
Cameron,Driftwood Borough,State Senate,25,Write-In,,0,,
Cameron,Driftwood Borough,State Senate,25,Overvotes,,0,,
Cameron,Driftwood Borough,State Senate,25,Undervotes,,1,,
Cameron,Driftwood Borough,State Representative,67,Martin T. Causer,,24,,
Cameron,Driftwood Borough,State Representative,67,Write-In,,0,,
Cameron,Driftwood Borough,State Representative,67,Overvotes,,0,,
Cameron,Driftwood Borough,State Representative,67,Undervotes,,2,,
Cameron,East Ward Borough of Emporium,Registered Voters,,,,261,,
Cameron,East Ward Borough of Emporium,Ballots Cast,,,,187,,
Cameron,East Ward Borough of Emporium,Ballots Cast Blank,,,,0,,
Cameron,East Ward Borough of Emporium,President,,Biden / Harris,DEM,46,,
Cameron,East Ward Borough of Emporium,President,,Trump / Pence,REP,137,,
Cameron,East Ward Borough of Emporium,President,,Jorgensen / Cohen,LIB,3,,
Cameron,East Ward Borough of Emporium,President,,Write-In,,1,,
Cameron,East Ward Borough of Emporium,President,,Overvotes,,0,,
Cameron,East Ward Borough of Emporium,President,,Undervotes,,0,,
Cameron,East Ward Borough of Emporium,Attorney General,,Josh Shapiro,DEM,53,,
Cameron,East Ward Borough of Emporium,Attorney General,,Heather Heidelbaugh,REP,132,,
Cameron,East Ward Borough of Emporium,Attorney General,,Daniel Wassmer,LIB,0,,
Cameron,East Ward Borough of Emporium,Attorney General,,Richard L. Weiss,GRE,1,,
Cameron,East Ward Borough of Emporium,Attorney General,,Write-In,,0,,
Cameron,East Ward Borough of Emporium,Attorney General,,Overvotes,,0,,
Cameron,East Ward Borough of Emporium,Attorney General,,Undervotes,,1,,
Cameron,East Ward Borough of Emporium,Auditor General,,Nina Ahmad,DEM,42,,
Cameron,East Ward Borough of Emporium,Auditor General,,Timothy Defoor,REP,127,,
Cameron,East Ward Borough of Emporium,Auditor General,,Jennifer Moore,LIB,10,,
Cameron,East Ward Borough of Emporium,Auditor General,,Olivia Faison,GRE,4,,
Cameron,East Ward Borough of Emporium,Auditor General,,Write-In,,0,,
Cameron,East Ward Borough of Emporium,Auditor General,,Overvotes,,0,,
Cameron,East Ward Borough of Emporium,Auditor General,,Undervotes,,4,,
Cameron,East Ward Borough of Emporium,State Treasurer,,Joe Torsella,DEM,51,,
Cameron,East Ward Borough of Emporium,State Treasurer,,Stacy L. Garrity,REP,130,,
Cameron,East Ward Borough of Emporium,State Treasurer,,Joe Soloski,LIB,3,,
Cameron,East Ward Borough of Emporium,State Treasurer,,Timothy Runkle,GRE,1,,
Cameron,East Ward Borough of Emporium,State Treasurer,,Write-In,,0,,
Cameron,East Ward Borough of Emporium,State Treasurer,,Overvotes,,0,,
Cameron,East Ward Borough of Emporium,State Treasurer,,Undervotes,,2,,
Cameron,East Ward Borough of Emporium,U.S. House,15,Robert Williams,DEM,39,,
Cameron,East Ward Borough of Emporium,U.S. House,15,Glenn GT Thompson,REP,144,,
Cameron,East Ward Borough of Emporium,U.S. House,15,Write-In,,0,,
Cameron,East Ward Borough of Emporium,U.S. House,15,Overvotes,,0,,
Cameron,East Ward Borough of Emporium,U.S. House,15,Undervotes,,4,,
Cameron,East Ward Borough of Emporium,State Senate,25,Margie Brown,DEM,57,,
Cameron,East Ward Borough of Emporium,State Senate,25,Cris Dush,REP,127,,
Cameron,East Ward Borough of Emporium,State Senate,25,Write-In,,0,,
Cameron,East Ward Borough of Emporium,State Senate,25,Overvotes,,0,,
Cameron,East Ward Borough of Emporium,State Senate,25,Undervotes,,3,,
Cameron,East Ward Borough of Emporium,State Representative,67,Martin T. Causer,,170,,
Cameron,East Ward Borough of Emporium,State Representative,67,Write-In,,5,,
Cameron,East Ward Borough of Emporium,State Representative,67,Overvotes,,0,,
Cameron,East Ward Borough of Emporium,State Representative,67,Undervotes,,12,,
Cameron,Middle Ward Borough of Emporium,Registered Voters,,,,357,,
Cameron,Middle Ward Borough of Emporium,Ballots Cast,,,,267,,
Cameron,Middle Ward Borough of Emporium,Ballots Cast Blank,,,,0,,
Cameron,Middle Ward Borough of Emporium,President,,Biden / Harris,DEM,81,,
Cameron,Middle Ward Borough of Emporium,President,,Trump / Pence,REP,179,,
Cameron,Middle Ward Borough of Emporium,President,,Jorgensen / Cohen,LIB,4,,
Cameron,Middle Ward Borough of Emporium,President,,Write-In,,1,,
Cameron,Middle Ward Borough of Emporium,President,,Overvotes,,1,,
Cameron,Middle Ward Borough of Emporium,President,,Undervotes,,1,,
Cameron,Middle Ward Borough of Emporium,Attorney General,,Josh Shapiro,DEM,86,,
Cameron,Middle Ward Borough of Emporium,Attorney General,,Heather Heidelbaugh,REP,165,,
Cameron,Middle Ward Borough of Emporium,Attorney General,,Daniel Wassmer,LIB,7,,
Cameron,Middle Ward Borough of Emporium,Attorney General,,Richard L. Weiss,GRE,5,,
Cameron,Middle Ward Borough of Emporium,Attorney General,,Write-In,,0,,
Cameron,Middle Ward Borough of Emporium,Attorney General,,Overvotes,,0,,
Cameron,Middle Ward Borough of Emporium,Attorney General,,Undervotes,,4,,
Cameron,Middle Ward Borough of Emporium,Auditor General,,Nina Ahmad,DEM,62,,
Cameron,Middle Ward Borough of Emporium,Auditor General,,Timothy Defoor,REP,176,,
Cameron,Middle Ward Borough of Emporium,Auditor General,,Jennifer Moore,LIB,12,,
Cameron,Middle Ward Borough of Emporium,Auditor General,,Olivia Faison,GRE,9,,
Cameron,Middle Ward Borough of Emporium,Auditor General,,Write-In,,0,,
Cameron,Middle Ward Borough of Emporium,Auditor General,,Overvotes,,0,,
Cameron,Middle Ward Borough of Emporium,Auditor General,,Undervotes,,8,,
Cameron,Middle Ward Borough of Emporium,State Treasurer,,Joe Torsella,DEM,79,,
Cameron,Middle Ward Borough of Emporium,State Treasurer,,Stacy L. Garrity,REP,168,,
Cameron,Middle Ward Borough of Emporium,State Treasurer,,Joe Soloski,LIB,11,,
Cameron,Middle Ward Borough of Emporium,State Treasurer,,Timothy Runkle,GRE,3,,
Cameron,Middle Ward Borough of Emporium,State Treasurer,,Write-In,,0,,
Cameron,Middle Ward Borough of Emporium,State Treasurer,,Overvotes,,0,,
