county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Washington,ALLENPORT,President,,DEM,JOSEPH R BIDEN,100,68,31,1
Washington,ALLENPORT,President,,REP,DONALD J TRUMP,152,143,9,0
Washington,ALLENPORT,President,,LIB,JO JORGENSEN,2,1,1,0
Washington,ALLENPORT,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,115,81,33,1
Washington,ALLENPORT,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,127,120,7,0
Washington,ALLENPORT,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,4,3,1,0
Washington,ALLENPORT,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,6,6,0,0
Washington,ALLENPORT,AUDITOR GENERAL,,DEM,NINA AHMAD,100,72,28,0
Washington,ALLENPORT,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,132,122,10,0
Washington,ALLENPORT,AUDITOR GENERAL,,LIB,JENNIFER MOORE,10,9,1,0
Washington,ALLENPORT,AUDITOR GENERAL,,GRN,OLIVIA FAISON,6,4,1,1
Washington,ALLENPORT,STATE TREASURER,,DEM,JOE TORSELLA,99,70,29,0
Washington,ALLENPORT,STATE TREASURER,,REP,STACY L GARRITY,137,126,11,0
Washington,ALLENPORT,STATE TREASURER,,LIB,JOE SOLOSKI,8,7,1,0
Washington,ALLENPORT,STATE TREASURER,,GRN,TIMOTHY RUNKLE,5,4,0,1
Washington,ALLENPORT,U.S. House,6,DEM,BILL MARX,101,71,29,1
Washington,ALLENPORT,U.S. House,6,REP,GUY RESCHENTHALER,149,138,11,0
Washington,ALLENPORT,State House,49,DEM,RANDY J BARLI,83,56,26,1
Washington,ALLENPORT,State House,49,REP,BUD COOK,165,151,14,0
Washington,AMWELL 1,President,,DEM,JOSEPH R BIDEN,289,100,188,1
Washington,AMWELL 1,President,,REP,DONALD J TRUMP,859,718,134,7
Washington,AMWELL 1,President,,LIB,JO JORGENSEN,12,7,5,0
Washington,AMWELL 1,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,361,151,208,2
Washington,AMWELL 1,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,761,647,108,6
