county,precinct,office,district,party,candidate,election_day,mail_in,absentee,votes
Mifflin,MCVEYTOWN BORO,U.S. House,12,DEM,Lee Griffin,12,0,7,19
Mifflin,MCVEYTOWN BORO,U.S. House,12,DEM,Write-In,1,0,0,1
Mifflin,MCVEYTOWN BORO,General Assembly,82,DEM,Write-In,1,0,0,1
Mifflin,MCVEYTOWN BORO,President,,REP,Donald J Trump,62,2,8,72
Mifflin,MCVEYTOWN BORO,President,,REP,Roque Rocky De La Fuente,0,0,0,0
Mifflin,MCVEYTOWN BORO,President,,REP,Bill Weld,1,1,1,3
Mifflin,MCVEYTOWN BORO,President,,REP,Write-In,0,0,0,0
Mifflin,MCVEYTOWN BORO,Attorney General,,REP,Heather Heidelbaugh,54,2,8,64
Mifflin,MCVEYTOWN BORO,Attorney General,,REP,Write-In,0,0,0,0
Mifflin,MCVEYTOWN BORO,Auditor General,,REP,Timothy Defoor,53,2,7,62
Mifflin,MCVEYTOWN BORO,Auditor General,,REP,Write-In,0,0,0,0
Mifflin,MCVEYTOWN BORO,State Treasurer,,REP,Stacy L Garrity,54,2,8,64
Mifflin,MCVEYTOWN BORO,State Treasurer,,REP,Write-In,0,0,0,0
Mifflin,MCVEYTOWN BORO,U.S. House,12,REP,Fred Keller,53,2,9,64
Mifflin,MCVEYTOWN BORO,U.S. House,12,REP,Write-In,0,0,0,0
Mifflin,MCVEYTOWN BORO,General Assembly,82,REP,John Hershey,60,3,9,72
Mifflin,MCVEYTOWN BORO,General Assembly,82,REP,Write-In,0,0,0,0
Mifflin,MENNO,Registered Voters,,,,,,,419
Mifflin,MENNO,Registered Voters,,DEM,,,,,31
Mifflin,MENNO,Registered Voters,,REP,,,,,356
Mifflin,MENNO,Registered Voters,,NPA,,,,,32
Mifflin,MENNO,Ballots Cast,,,,113,0,38,151
Mifflin,MENNO,Ballots Cast,,DEM,,10,0,8,18
Mifflin,MENNO,Ballots Cast,,REP,,103,0,30,133
Mifflin,MENNO,Ballots Cast,,NPA,,0,0,0,0
Mifflin,MENNO,President,,DEM,Bernie Sanders,3,0,0,3
Mifflin,MENNO,President,,DEM,Joseph R Biden,5,0,8,13
Mifflin,MENNO,President,,DEM,Tulsi Gabbard,1,0,0,1
Mifflin,MENNO,President,,DEM,Write-In,0,0,0,0
Mifflin,MENNO,Attorney General,,DEM,Josh Shapiro,10,0,8,18
Mifflin,MENNO,Attorney General,,DEM,Write-In,0,0,0,0
Mifflin,MENNO,Auditor General,,DEM,H Scott Conklin,3,0,6,9
Mifflin,MENNO,Auditor General,,DEM,Michael Lamb,1,0,0,1
Mifflin,MENNO,Auditor General,,DEM,Tracie Fountain,3,0,1,4
Mifflin,MENNO,Auditor General,,DEM,Rose Rosie Marie Davis,0,0,0,0
Mifflin,MENNO,Auditor General,,DEM,Nina Ahmad,2,0,0,2
Mifflin,MENNO,Auditor General,,DEM,Christina M Hartman,0,0,1,1
Mifflin,MENNO,Auditor General,,DEM,Write-In,0,0,0,0
Mifflin,MENNO,State Treasurer,,DEM,Joe Torsella,9,0,8,17
Mifflin,MENNO,State Treasurer,,DEM,Write-In,0,0,0,0
Mifflin,MENNO,U.S. House,12,DEM,Lee Griffin,8,0,8,16
Mifflin,MENNO,U.S. House,12,DEM,Write-In,0,0,0,0
Mifflin,MENNO,General Assembly,82,DEM,Write-In,2,0,0,2
Mifflin,MENNO,President,,REP,Donald J Trump,101,0,30,131
Mifflin,MENNO,President,,REP,Roque Rocky De La Fuente,0,0,0,0
Mifflin,MENNO,President,,REP,Bill Weld,1,0,0,1
Mifflin,MENNO,President,,REP,Write-In,1,0,0,1
Mifflin,MENNO,Attorney General,,REP,Heather Heidelbaugh,85,0,27,112
Mifflin,MENNO,Attorney General,,REP,Write-In,0,0,0,0
Mifflin,MENNO,Auditor General,,REP,Timothy Defoor,85,0,27,112
Mifflin,MENNO,Auditor General,,REP,Write-In,0,0,0,0
Mifflin,MENNO,State Treasurer,,REP,Stacy L Garrity,85,0,27,112
Mifflin,MENNO,State Treasurer,,REP,Write-In,0,0,0,0
Mifflin,MENNO,U.S. House,12,REP,Fred Keller,89,0,27,116
Mifflin,MENNO,U.S. House,12,REP,Write-In,0,0,0,0
Mifflin,MENNO,General Assembly,82,REP,John Hershey,96,0,25,121
Mifflin,MENNO,General Assembly,82,REP,Write-In,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,Registered Voters,,,,,,,97
Mifflin,NEWTON HAMILTON BORO,Registered Voters,,DEM,,,,,17
Mifflin,NEWTON HAMILTON BORO,Registered Voters,,REP,,,,,69
Mifflin,NEWTON HAMILTON BORO,Registered Voters,,NPA,,,,,11
Mifflin,NEWTON HAMILTON BORO,Ballots Cast,,,,32,0,1,33
Mifflin,NEWTON HAMILTON BORO,Ballots Cast,,DEM,,3,0,0,3
Mifflin,NEWTON HAMILTON BORO,Ballots Cast,,REP,,29,0,1,30
Mifflin,NEWTON HAMILTON BORO,Ballots Cast,,NPA,,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,President,,DEM,Bernie Sanders,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,President,,DEM,Joseph R Biden,2,0,0,2
Mifflin,NEWTON HAMILTON BORO,President,,DEM,Tulsi Gabbard,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,President,,DEM,Write-In,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,Attorney General,,DEM,Josh Shapiro,2,0,0,2
Mifflin,NEWTON HAMILTON BORO,Attorney General,,DEM,Write-In,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,Auditor General,,DEM,H Scott Conklin,3,0,0,3
Mifflin,NEWTON HAMILTON BORO,Auditor General,,DEM,Michael Lamb,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,Auditor General,,DEM,Tracie Fountain,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,Auditor General,,DEM,Rose Rosie Marie Davis,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,Auditor General,,DEM,Nina Ahmad,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,Auditor General,,DEM,Christina M Hartman,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,Auditor General,,DEM,Write-In,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,State Treasurer,,DEM,Joe Torsella,3,0,0,3
Mifflin,NEWTON HAMILTON BORO,State Treasurer,,DEM,Write-In,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,U.S. House,12,DEM,Lee Griffin,2,0,0,2
Mifflin,NEWTON HAMILTON BORO,U.S. House,12,DEM,Write-In,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,General Assembly,81,DEM,Ian M Kidd,3,0,0,3
Mifflin,NEWTON HAMILTON BORO,General Assembly,81,DEM,Write-In,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,President,,REP,Donald J Trump,28,0,2,30
Mifflin,NEWTON HAMILTON BORO,President,,REP,Roque Rocky De La Fuente,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,President,,REP,Bill Weld,0,0,1,1
Mifflin,NEWTON HAMILTON BORO,President,,REP,Write-In,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,Attorney General,,REP,Heather Heidelbaugh,26,0,2,28
Mifflin,NEWTON HAMILTON BORO,Attorney General,,REP,Write-In,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,Auditor General,,REP,Timothy Defoor,26,0,2,28
Mifflin,NEWTON HAMILTON BORO,Auditor General,,REP,Write-In,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,State Treasurer,,REP,Stacy L Garrity,26,0,2,28
Mifflin,NEWTON HAMILTON BORO,State Treasurer,,REP,Write-In,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,U.S. House,12,REP,Fred Keller,26,0,3,29
Mifflin,NEWTON HAMILTON BORO,U.S. House,12,REP,Write-In,0,0,0,0
Mifflin,NEWTON HAMILTON BORO,General Assembly,81,REP,Rich Irvin,25,0,3,28
Mifflin,NEWTON HAMILTON BORO,General Assembly,81,REP,Write-In,0,0,0,0
Mifflin,OLIVER,Registered Voters,,,,,,,1138
Mifflin,OLIVER,Registered Voters,,DEM,,,,,237
Mifflin,OLIVER,Registered Voters,,REP,,,,,814
Mifflin,OLIVER,Registered Voters,,NPA,,,,,87
Mifflin,OLIVER,Ballots Cast,,,,290,1,128,419
Mifflin,OLIVER,Ballots Cast,,DEM,,41,0,45,86
Mifflin,OLIVER,Ballots Cast,,REP,,249,1,83,333
Mifflin,OLIVER,Ballots Cast,,NPA,,0,0,0,0
Mifflin,OLIVER,President,,DEM,Bernie Sanders,10,0,9,19
Mifflin,OLIVER,President,,DEM,Joseph R Biden,18,0,32,50
Mifflin,OLIVER,President,,DEM,Tulsi Gabbard,4,0,0,4
Mifflin,OLIVER,President,,DEM,Write-In,7,0,0,7
Mifflin,OLIVER,Attorney General,,DEM,Josh Shapiro,34,0,41,75
Mifflin,OLIVER,Attorney General,,DEM,Write-In,3,0,0,3
Mifflin,OLIVER,Auditor General,,DEM,H Scott Conklin,26,0,30,56
Mifflin,OLIVER,Auditor General,,DEM,Michael Lamb,0,0,1,1
Mifflin,OLIVER,Auditor General,,DEM,Tracie Fountain,2,0,5,7
Mifflin,OLIVER,Auditor General,,DEM,Rose Rosie Marie Davis,1,0,0,1
Mifflin,OLIVER,Auditor General,,DEM,Nina Ahmad,2,0,5,7
Mifflin,OLIVER,Auditor General,,DEM,Christina M Hartman,4,0,4,8
Mifflin,OLIVER,Auditor General,,DEM,Write-In,2,0,0,2
Mifflin,OLIVER,State Treasurer,,DEM,Joe Torsella,32,0,40,72
Mifflin,OLIVER,State Treasurer,,DEM,Write-In,3,0,1,4
Mifflin,OLIVER,U.S. House,12,DEM,Lee Griffin,29,0,38,67
Mifflin,OLIVER,U.S. House,12,DEM,Write-In,3,0,0,3
Mifflin,OLIVER,General Assembly,82,DEM,Write-In,3,0,6,9
Mifflin,OLIVER,President,,REP,Donald J Trump,245,1,79,325
Mifflin,OLIVER,President,,REP,Roque Rocky De La Fuente,1,0,0,1
Mifflin,OLIVER,President,,REP,Bill Weld,1,0,2,3
Mifflin,OLIVER,President,,REP,Write-In,1,0,1,2
Mifflin,OLIVER,Attorney General,,REP,Heather Heidelbaugh,215,0,77,292
Mifflin,OLIVER,Attorney General,,REP,Write-In,1,0,0,1
Mifflin,OLIVER,Auditor General,,REP,Timothy Defoor,218,0,75,293
Mifflin,OLIVER,Auditor General,,REP,Write-In,0,0,0,0
Mifflin,OLIVER,State Treasurer,,REP,Stacy L Garrity,214,0,74,288
Mifflin,OLIVER,State Treasurer,,REP,Write-In,0,0,0,0
Mifflin,OLIVER,U.S. House,12,REP,Fred Keller,220,0,75,295
Mifflin,OLIVER,U.S. House,12,REP,Write-In,0,0,0,0
Mifflin,OLIVER,General Assembly,82,REP,John Hershey,228,0,80,308
Mifflin,OLIVER,General Assembly,82,REP,Write-In,3,0,0,3
Mifflin,UNION,Registered Voters,,,,,,,1583
Mifflin,UNION,Registered Voters,,DEM,,,,,256
Mifflin,UNION,Registered Voters,,REP,,,,,1186
Mifflin,UNION,Registered Voters,,NPA,,,,,141
Mifflin,UNION,Ballots Cast,,,,362,5,216,583
Mifflin,UNION,Ballots Cast,,DEM,,36,0,63,99
Mifflin,UNION,Ballots Cast,,REP,,326,5,153,484
Mifflin,UNION,Ballots Cast,,NPA,,0,0,0,0
Mifflin,UNION,President,,DEM,Bernie Sanders,4,0,4,8
Mifflin,UNION,President,,DEM,Joseph R Biden,21,0,57,78
Mifflin,UNION,President,,DEM,Tulsi Gabbard,3,0,0,3
Mifflin,UNION,President,,DEM,Write-In,2,0,1,3
Mifflin,UNION,Attorney General,,DEM,Josh Shapiro,30,0,61,91
Mifflin,UNION,Attorney General,,DEM,Write-In,0,0,0,0
Mifflin,UNION,Auditor General,,DEM,H Scott Conklin,26,0,43,69
Mifflin,UNION,Auditor General,,DEM,Michael Lamb,0,0,2,2
Mifflin,UNION,Auditor General,,DEM,Tracie Fountain,1,0,9,10
Mifflin,UNION,Auditor General,,DEM,Rose Rosie Marie Davis,1,0,0,1
Mifflin,UNION,Auditor General,,DEM,Nina Ahmad,2,0,3,5
Mifflin,UNION,Auditor General,,DEM,Christina M Hartman,2,0,3,5
Mifflin,UNION,Auditor General,,DEM,Write-In,0,0,0,0
Mifflin,UNION,State Treasurer,,DEM,Joe Torsella,28,0,56,84
Mifflin,UNION,State Treasurer,,DEM,Write-In,0,0,0,0
Mifflin,UNION,U.S. House,12,DEM,Lee Griffin,27,0,56,83
Mifflin,UNION,U.S. House,12,DEM,Write-In,0,0,1,1
Mifflin,UNION,General Assembly,171,DEM,Peter Buck,31,0,58,89
Mifflin,UNION,General Assembly,171,DEM,Write-In,0,0,0,0
Mifflin,UNION,President,,REP,Donald J Trump,310,5,124,439
Mifflin,UNION,President,,REP,Roque Rocky De La Fuente,1,0,1,2
Mifflin,UNION,President,,REP,Bill Weld,7,0,14,21
Mifflin,UNION,President,,REP,Write-In,1,0,7,8
Mifflin,UNION,Attorney General,,REP,Heather Heidelbaugh,279,5,135,419
Mifflin,UNION,Attorney General,,REP,Write-In,1,0,0,1
Mifflin,UNION,Auditor General,,REP,Timothy Defoor,277,5,133,415
Mifflin,UNION,Auditor General,,REP,Write-In,1,0,0,1
Mifflin,UNION,State Treasurer,,REP,Stacy L Garrity,276,5,134,415
Mifflin,UNION,State Treasurer,,REP,Write-In,0,0,0,0
Mifflin,UNION,U.S. House,12,REP,Fred Keller,297,5,139,441
Mifflin,UNION,U.S. House,12,REP,Write-In,0,0,0,0
Mifflin,UNION,General Assembly,171,REP,Kerry A Benninghoff,309,5,144,458
Mifflin,UNION,General Assembly,171,REP,Write-In,0,0,0,0
Mifflin,WAYNE,Registered Voters,,,,,,,1315
Mifflin,WAYNE,Registered Voters,,DEM,,,,,268
Mifflin,WAYNE,Registered Voters,,REP,,,,,914
Mifflin,WAYNE,Registered Voters,,NPA,,,,,133
Mifflin,WAYNE,Ballots Cast,,,,297,10,128,435
Mifflin,WAYNE,Ballots Cast,,DEM,,41,0,53,94
Mifflin,WAYNE,Ballots Cast,,REP,,256,10,75,341
Mifflin,WAYNE,Ballots Cast,,NPA,,0,0,0,0
Mifflin,WAYNE,President,,DEM,Bernie Sanders,7,0,5,12
Mifflin,WAYNE,President,,DEM,Joseph R Biden,17,0,42,59
Mifflin,WAYNE,President,,DEM,Tulsi Gabbard,4,0,4,8
Mifflin,WAYNE,President,,DEM,Write-In,8,0,2,10
Mifflin,WAYNE,Attorney General,,DEM,Josh Shapiro,32,0,51,83
Mifflin,WAYNE,Attorney General,,DEM,Write-In,4,0,0,4
Mifflin,WAYNE,Auditor General,,DEM,H Scott Conklin,26,0,36,62
Mifflin,WAYNE,Auditor General,,DEM,Michael Lamb,1,0,8,9
Mifflin,WAYNE,Auditor General,,DEM,Tracie Fountain,2,0,0,2
Mifflin,WAYNE,Auditor General,,DEM,Rose Rosie Marie Davis,4,0,0,4
Mifflin,WAYNE,Auditor General,,DEM,Nina Ahmad,0,0,6,6
Mifflin,WAYNE,Auditor General,,DEM,Christina M Hartman,3,0,3,6
Mifflin,WAYNE,Auditor General,,DEM,Write-In,2,0,0,2
Mifflin,WAYNE,State Treasurer,,DEM,Joe Torsella,32,0,52,84
Mifflin,WAYNE,State Treasurer,,DEM,Write-In,2,0,0,2
Mifflin,WAYNE,U.S. House,12,DEM,Lee Griffin,31,0,49,80
Mifflin,WAYNE,U.S. House,12,DEM,Write-In,4,0,0,4
Mifflin,WAYNE,General Assembly,81,DEM,Ian M Kidd,32,0,51,83
Mifflin,WAYNE,General Assembly,81,DEM,Write-In,4,0,0,4
Mifflin,WAYNE,President,,REP,Donald J Trump,249,9,71,329
Mifflin,WAYNE,President,,REP,Roque Rocky De La Fuente,0,0,0,0
Mifflin,WAYNE,President,,REP,Bill Weld,5,0,4,9
Mifflin,WAYNE,President,,REP,Write-In,2,1,0,3
Mifflin,WAYNE,Attorney General,,REP,Heather Heidelbaugh,221,6,75,302
Mifflin,WAYNE,Attorney General,,REP,Write-In,4,0,0,4
Mifflin,WAYNE,Auditor General,,REP,Timothy Defoor,216,6,75,297
Mifflin,WAYNE,Auditor General,,REP,Write-In,3,0,0,3
Mifflin,WAYNE,State Treasurer,,REP,Stacy L Garrity,218,7,75,300
Mifflin,WAYNE,State Treasurer,,REP,Write-In,3,0,0,3
Mifflin,WAYNE,U.S. House,12,REP,Fred Keller,222,8,69,299
Mifflin,WAYNE,U.S. House,12,REP,Write-In,3,0,0,3
Mifflin,WAYNE,General Assembly,81,REP,Rich Irvin,236,8,71,315
Mifflin,WAYNE,General Assembly,81,REP,Write-In,4,0,2,6
