county,office,district,party,candidate,votes,election_day,mail,provisional
Butler,State House,8,DEM,Phil Heasley,528,,,
Butler,State House,8,REP,Timothy R. Bonner,1224,,,
Mercer,State House,8,DEM,Phil Heasley,800,,,
Mercer,State House,8,REP,Timothy R. Bonner,2776,,,
