county,office,district,party,candidate,votes,election_day,mail,absentee,provisional
Clinton,Registered Voters,,,,22387,,,,
Clinton,Ballots Cast,,,,17716,13108,4287,,321
Clinton,Ballots Cast Blank,,,,3,2,1,,0
Clinton,President,,DEM,JOSEPH R BIDEN,5502,2706,2703,,93
Clinton,President,,REP,DONALD J TRUMP,11902,10169,1507,,226
Clinton,President,,LIB,JO JORGENSEN,221,177,42,,2
Clinton,President,,,Write-In Totals,36,21,15,,0
Clinton,Attorney General,,DEM,JOSH SHAPIRO,6061,3205,2765,,91
Clinton,Attorney General,,REP,HEATHER HEIDELBAUGH,10933,9363,1352,,218
Clinton,Attorney General,,LIB,DANIEL WASSMER,306,241,59,,6
Clinton,Attorney General,,GRN,RICHARD L WEISS,137,83,53,,1
Clinton,Attorney General,,,Write-In Totals,3,3,0,,0
Clinton,Auditor General,,DEM,NINA AHMAD,5115,2557,2482,,76
Clinton,Auditor General,,REP,TIMOTHY DEFOOR,11474,9728,1520,,226
Clinton,Auditor General,,LIB,JENNIFER MOORE,581,441,130,,10
Clinton,Auditor General,,GRN,OLIVIA FAISON,155,104,48,,3
Clinton,Auditor General,,,Write-In Totals,7,4,3,,0
Clinton,State Treasurer,,DEM,JOE TORSELLA,5481,2797,2604,,80
Clinton,State Treasurer,,REP,STACY L GARRITY,11361,9668,1471,,222
Clinton,State Treasurer,,LIB,JOE SOLOSKI,369,295,71,,3
Clinton,State Treasurer,,GRN,TIMOTHY RUNKLE,174,112,55,,7
Clinton,State Treasurer,,,Write-In Totals,5,3,2,,0
Clinton,U.S. House,12,DEM,LEE GRIFFIN,5296,2633,2572,,91
Clinton,U.S. House,12,REP,FRED KELLER,12045,10194,1626,,225
Clinton,U.S. House,12,,Write-In Totals,20,17,3,,0
Clinton,State Senate,25,DEM,MARGIE BROWN,5662,2866,2700,,96
Clinton,State Senate,25,REP,CRIS DUSH,11729,9995,1514,,220
Clinton,State Senate,25,,Write-In Totals,13,8,5,,0
