candidate,office,district,party,county,votes,winner
"GOOD, MATTHEW W.",State House,3,REP,Erie,11592,TRUE
"MCGRATH, BRIAN P.",State House,3,DEM,Erie,4331,
"SAWDY, LARRY",State House,3,GRN,Erie,353,
