candidate,office,district,party,county,votes,winner
"DENLINGER, GORDON R.",State House,99,REP,Lancaster,3335,TRUE
"JOHNSON, BERNADETTE C.",State House,99,DEM,Lancaster,1347,
"BONNER, BETH H.",State House,99,GRN,Lancaster,68,
