candidate,office,district,party,county,votes,winner
"GORDNER, JOHN R.",State Senate,27,REP,Columbia,11041,
"SHELHAMER, KENT D.",State Senate,27,DEM,Columbia,2960,
"PYLE, ROBERT L.",State Senate,27,REF,Columbia,262,
"GORDNER, JOHN R.",State Senate,27,REP,Dauphin,1988,
"SHELHAMER, KENT D.",State Senate,27,DEM,Dauphin,705,
"PYLE, ROBERT L.",State Senate,27,REF,Dauphin,108,
"GORDNER, JOHN R.",State Senate,27,REP,Luzerne,1365,
"SHELHAMER, KENT D.",State Senate,27,DEM,Luzerne,1040,
"PYLE, ROBERT L.",State Senate,27,REF,Luzerne,98,
"GORDNER, JOHN R.",State Senate,27,REP,Montour,2617,
"SHELHAMER, KENT D.",State Senate,27,DEM,Montour,1330,
"PYLE, ROBERT L.",State Senate,27,REF,Montour,178,
"GORDNER, JOHN R.",State Senate,27,REP,Northumberland,9992,
"SHELHAMER, KENT D.",State Senate,27,DEM,Northumberland,7438,
"PYLE, ROBERT L.",State Senate,27,REF,Northumberland,1247,
"GORDNER, JOHN R.",State Senate,27,REP,Snyder,3663,
"SHELHAMER, KENT D.",State Senate,27,DEM,Snyder,1656,
"PYLE, ROBERT L.",State Senate,27,REF,Snyder,1142,
"GORDNER, JOHN R.",State Senate,27,REP,,30666,TRUE
"SHELHAMER, KENT D.",State Senate,27,DEM,,15129,
"PYLE, ROBERT L.",State Senate,27,REF,,3035,
