candidate,office,district,party,county,votes,winner
"KILLION, THOMAS H.",State House,168,REP,Chester,376,
"THOMAS, WILLIAM A.",State House,168,DEM,Chester,95,
"KILLION, THOMAS H.",State House,168,REP,Delaware,3574,
"THOMAS, WILLIAM A.",State House,168,DEM,Delaware,1335,
"KILLION, THOMAS H.",State House,168,REP,,3950,TRUE
"THOMAS, WILLIAM A.",State House,168,DEM,,1430,
"MUSTIO, MARK",State House,44,REP,Allegheny,3653,TRUE
"LIECHTI, FREDERICH E. ",State House,44,DEM,Allegheny,2075,
