county,office,district,party,candidate,votes,election_day,mail,provisional
Dauphin,State Senate,48,DEM,Calvin C. Clements,4066,,,
Dauphin,State Senate,48,REP,Chris Gebhard,5889,,,
Dauphin,State Senate,48,BPT,Edward H. Krebs,368,,,
Dauphin,State Senate,48,LIB,Tim McMaster,325,,,
Lebanon,State Senate,48,DEM,Calvin C. Clements,7066,,,
Lebanon,State Senate,48,REP,Chris Gebhard,17836,,,
Lebanon,State Senate,48,BPT,Edward H. Krebs,1736,,,
Lebanon,State Senate,48,LIB,Tim McMaster,763,,,
York,State Senate,48,DEM,Calvin C. Clements,3674,,,
York,State Senate,48,REP,Chris Gebhard,6642,,,
York,State Senate,48,BPT,Edward H. Krebs,222,,,
York,State Senate,48,LIB,Tim McMaster,411,,,
