county,precinct,office,district,party,candidate,vote_for,votes,election_day,mail,provisional
Lycoming,Anthony Township,,,,Registered Voters,,649,,,
Lycoming,Anthony Township,,,,Ballots Cast,,269,,,
Lycoming,Anthony Township,Judge of the Superior Court,,,Brandon Neuman,1,54,36,18,0
Lycoming,Anthony Township,Judge of the Superior Court,,,Maria Battista,1,208,191,17,0
Lycoming,Anthony Township,Judge of the Superior Court,,,Daniel Wassmer,1,2,2,0,0
Lycoming,Anthony Township,Judge of the Superior Court,,,Write-in,1,2,1,1,0
Lycoming,Anthony Township,Judge of the Commonwealth Court,,,Stella Tsai,1,56,38,18,0
Lycoming,Anthony Township,Judge of the Commonwealth Court,,,Matt Wolford,1,208,191,17,0
Lycoming,Anthony Township,Judge of the Commonwealth Court,,,Write-in,1,2,1,1,0
Lycoming,Anthony Township,County Controller,,,Nicki S. Gottschall,1,221,199,22,0
Lycoming,Anthony Township,County Controller,,,Write-in,1,6,4,2,0
Lycoming,Anthony Township,Sheriff,,,Eric Spiegel,1,238,208,30,0
Lycoming,Anthony Township,Sheriff,,,Write-in,1,2,1,1,0
Lycoming,Anthony Township,Jersey Shore SD 1,,,Craig M. Allen,1,208,183,25,0
Lycoming,Anthony Township,Jersey Shore SD 1,,,Write-in,1,11,9,2,0
Lycoming,Anthony Township,Anthony Supervisor,,,Mark Tebbs,1,230,206,24,0
Lycoming,Anthony Township,Anthony Supervisor,,,Write-in,1,4,3,1,0
Lycoming,Anthony Township,Anthony Auditor,,,Write-in,1,11,10,1,0
Lycoming,Anthony Township,Anthony Auditor (4yr),,,Write-in,1,9,8,1,0
Lycoming,Anthony Township,Anthony Auditor (2yr),,,Write-in,1,10,9,1,0
Lycoming,Anthony Township,Anthony Tax Collector,,,Corinne Paulhamus,1,241,212,29,0
Lycoming,Anthony Township,Anthony Tax Collector,,,Write-in,1,5,4,1,0
Lycoming,Anthony Township,Anthony Judge of Elections,,,Arlene F. Ulmer,1,238,213,25,0
Lycoming,Anthony Township,Anthony Judge of Elections,,,Write-in,1,4,3,1,0
Lycoming,Anthony Township,Anthony Inspector of Elections,,,Wayne L. Paulhamus,1,219,196,23,0
Lycoming,Anthony Township,Anthony Inspector of Elections,,,Write-in,1,18,16,2,0
Lycoming,Anthony Township,Retention 1,,,Yes,1,86,67,19,0
Lycoming,Anthony Township,Retention 1,,,No,1,168,155,13,0
Lycoming,Anthony Township,Retention 2,,,Yes,1,88,68,20,0
Lycoming,Anthony Township,Retention 2,,,No,1,169,156,13,0
Lycoming,Anthony Township,Retention 3,,,Yes,1,87,67,20,0
Lycoming,Anthony Township,Retention 3,,,No,1,170,157,13,0
Lycoming,Anthony Township,Retention 4,,,Yes,1,91,70,21,0
Lycoming,Anthony Township,Retention 4,,,No,1,161,150,11,0
Lycoming,Anthony Township,Retention 5,,,Yes,1,94,73,21,0
Lycoming,Anthony Township,Retention 5,,,No,1,158,147,11,0
Lycoming,Anthony Township,Retention 6,,,Yes,1,70,51,19,0
Lycoming,Anthony Township,Retention 6,,,No,1,193,178,15,0
Lycoming,Armstrong Township,,,,Registered Voters,,462,,,
Lycoming,Armstrong Township,,,,Ballots Cast,,185,,,
Lycoming,Armstrong Township,Judge of the Superior Court,,,Brandon Neuman,1,40,27,13,0
Lycoming,Armstrong Township,Judge of the Superior Court,,,Maria Battista,1,137,122,15,0
