county,office,district,party,candidate,election_day,mail,provisional,votes
Carbon,Judge of the Superior Court,,,Ballots Cast,13863,3381,43,17287
Carbon,Judge of the Superior Court,,DEM,BRANDON NEUMAN,4411,2207,21,6639
Carbon,Judge of the Superior Court,,REP,MARIA BATTISTA,8625,967,19,9611
Carbon,Judge of the Superior Court,,LIB,DANIEL WASSMER,276,85,1,362
Carbon,Judge of the Superior Court,,,Write-In,0,0,0,0
Carbon,Judge of the Commonwealth Court,,,Ballots Cast,13863,3381,43,17287
Carbon,Judge of the Commonwealth Court,,DEM,STELLA TSAI,4517,2261,21,6799
Carbon,Judge of the Commonwealth Court,,REP,MATT WOLFORD,8714,989,20,9723
Carbon,Judge of the Commonwealth Court,,,Write-In,1,0,0,1
Carbon,Treasurer (4 Year Term),,,Ballots Cast,13863,3381,43,17287
Carbon,Treasurer (4 Year Term),,REP,KEVIN ZELIENKA,10500,1760,23,12283
Carbon,Treasurer (4 Year Term),,,Write-In,70,22,0,92
Carbon,Clerk of Courts (4 Year Term),,,Ballots Cast,13863,3381,43,17287
Carbon,Clerk of Courts (4 Year Term),,REP,TYRA L BONI,10481,1776,23,12280
Carbon,Clerk of Courts (4 Year Term),,,Write-In,80,27,0,107
Carbon,Register of Wills & Clerk of Orphans Court (4 Year Term),,,Ballots Cast,13863,3381,43,17287
Carbon,Register of Wills & Clerk of Orphans Court (4 Year Term),,REP,JEAN A PAPAY,10603,1825,25,12453
Carbon,Register of Wills & Clerk of Orphans Court (4 Year Term),,,Write-In,57,20,0,77
Carbon,Township Supervisor (6 Year Term) Banks Township,,,Ballots Cast,213,35,0,248
Carbon,Township Supervisor (6 Year Term) Banks Township,,DEM,WILLIAM J NICE,162,32,0,194
Carbon,Township Supervisor (6 Year Term) Banks Township,,,Write-In,2,1,0,3
Carbon,Tax Collector (4 Year Term) Banks Township,,,Ballots Cast,213,35,0,248
Carbon,Tax Collector (4 Year Term) Banks Township,,DEM,,166,28,0,194
Carbon,Tax Collector (4 Year Term) Banks Township,,,Write-In,0,1,0,1
Carbon,Auditor (6 Year Term) Banks Township,,,Ballots Cast,213,35,0,248
Carbon,Auditor (6 Year Term) Banks Township,,,Write-In,2,1,0,3
Carbon,Auditor (4 Year Term) Banks Township,,,Ballots Cast,213,35,0,248
Carbon,Auditor (4 Year Term) Banks Township,,,Write-In,2,0,0,2
Carbon,Auditor (2 Year Term) Banks Township,,,Ballots Cast,213,35,0,248
Carbon,Auditor (2 Year Term) Banks Township,,,Write-In,0,0,0,0
Carbon,Judge of Elections (4 Year Term) Banks Township,,,Ballots Cast,213,35,0,248
Carbon,Judge of Elections (4 Year Term) Banks Township,,,Write-In,7,0,0,7
Carbon,Inspector of Elections (4 Year Term) Banks Township,,,Ballots Cast,213,35,0,248
Carbon,Inspector of Elections (4 Year Term) Banks Township,,,Write-In,2,0,0,2
Carbon,Mayor (4 Year Term) Beaver Meadows Boro,,,Ballots Cast,168,18,0,186
Carbon,Mayor (4 Year Term) Beaver Meadows Boro,,REP,MICHAEL B GERHARD,120,11,0,131
Carbon,Mayor (4 Year Term) Beaver Meadows Boro,,,Write-In,4,1,0,5
Carbon,Council (4 Year Term) Beaver Meadows Boro,,,Ballots Cast,168,18,0,186
Carbon,Council (4 Year Term) Beaver Meadows Boro,,DEM,ROBERT J CRYDER III,112,12,0,124
Carbon,Council (4 Year Term) Beaver Meadows Boro,,REP,MICHAEL B GERHARD,93,10,0,103
Carbon,Council (4 Year Term) Beaver Meadows Boro,,REP,MICHAEL BARAN,94,10,0,104
Carbon,Council (4 Year Term) Beaver Meadows Boro,,,Write-In,32,4,0,36
Carbon,Tax Collector (4 Year Term) Beaver Meadows Boro,,,Ballots Cast,168,18,0,186
Carbon,Tax Collector (4 Year Term) Beaver Meadows Boro,,,Write-In,21,3,0,24
Carbon,Judge of Elections (4 Year Term) Beaver Meadows Borough,,,Ballots Cast,168,18,0,186
Carbon,Judge of Elections (4 Year Term) Beaver Meadows Borough,,REP,JOHN TRANGUCH,150,12,0,162
Carbon,Judge of Elections (4 Year Term) Beaver Meadows Borough,,,Write-In,0,1,0,1
Carbon,Inspector of Elections (4 Year Term) Beaver Meadows Borough,,,Ballots Cast,168,18,0,186
