county,precinct,office,district,party,candidate,votes,election_day,mail,provisional,vote_for
Schuylkill,Ashland,Mayor Ashland,,DEM,Antimo Brooklyn Esposito,220,185,35,0,1
Schuylkill,Ashland,Mayor Ashland,,REP,Lorenda Kutz,280,235,44,1,1
Schuylkill,Ashland,Mayor Ashland,,,Write-ins,22,20,2,0,1
Schuylkill,Ashland,Tax Collector Ashland,,DEM,Joanne Vaughn,262,220,42,0,1
Schuylkill,Ashland,Tax Collector Ashland,,REP,Warren Lane,252,214,38,0,1
Schuylkill,Ashland,Tax Collector Ashland,,,Write-ins,12,6,6,0,1
Schuylkill,Ashland,Council V4 4yr Ashland,,DEM,John F. Reilly,287,233,53,1,4
Schuylkill,Ashland,Council V4 4yr Ashland,,DEM,"Edward P. Moran, Jr.",199,156,42,1,4
Schuylkill,Ashland,Council V4 4yr Ashland,,DEM,Donna Salem,201,168,32,1,4
Schuylkill,Ashland,Council V4 4yr Ashland,,REP,"Adam J. Bernodin, Jr.",379,321,57,1,4
Schuylkill,Ashland,Council V4 4yr Ashland,,REP,Francis E. Menne,284,242,42,0,4
Schuylkill,Ashland,Council V4 4yr Ashland,,REP,Julie Pohl,242,210,32,0,4
Schuylkill,Ashland,Council V4 4yr Ashland,,REP,Charles J. Schmoltze,259,222,37,0,4
Schuylkill,Ashland,Council V4 4yr Ashland,,,Write-ins,25,17,8,0,4
Schuylkill,Ashland,Judge of Election Ashland 1st,,REP,James P. Klock,248,202,45,1,1
Schuylkill,Ashland,Judge of Election Ashland 1st,,,Write-ins,8,6,2,0,1
Schuylkill,Ashland,Judge of Election Ashland 2nd,,,Write-ins,18,14,4,0,1
Schuylkill,Ashland,Inspector of Election Ashland 1st,,DEM,Deborah Berrigan,130,103,26,1,1
Schuylkill,Ashland,Inspector of Election Ashland 1st,,REP,Diane Seymour,157,132,25,0,1
Schuylkill,Ashland,Inspector of Election Ashland 1st,,,Write-ins,0,0,0,0,1
Schuylkill,Ashland,Inspector of Election Ashland 2nd,,DEM,Joanne Demko,200,169,31,0,1
Schuylkill,Ashland,Inspector of Election Ashland 2nd,,,Write-ins,16,16,0,0,1
Schuylkill,Auburn,Mayor Auburn,,DEM/REP,"Richard A. Krebs, Jr.",157,136,21,0,1
Schuylkill,Auburn,Mayor Auburn,,,Write-ins,9,7,2,0,1
Schuylkill,Auburn,Tax Collector Auburn,,REP,Marlene Naftzinger,161,138,23,0,1
Schuylkill,Auburn,Tax Collector Auburn,,,Write-ins,3,2,1,0,1
Schuylkill,Auburn,Council V3 4yr Auburn,,DEM,James Fox,102,86,16,0,3
Schuylkill,Auburn,Council V3 4yr Auburn,,REP,Douglas Naftzinger,110,94,16,0,3
Schuylkill,Auburn,Council V3 4yr Auburn,,,Write-ins,23,19,4,0,3
Schuylkill,Auburn,Judge of Election Auburn,,REP,Keri Thomas,143,123,20,0,1
Schuylkill,Auburn,Judge of Election Auburn,,,Write-ins,2,2,0,0,1
Schuylkill,Auburn,Inspector of Election Auburn,,,Write-ins,14,12,2,0,1
Schuylkill,Barry Twp.,Supervisor V1 6yr Barry Twp.,,REP,Morgan Yarnall,274,246,27,1,1
Schuylkill,Barry Twp.,Supervisor V1 6yr Barry Twp.,,,Write-ins,7,7,0,0,1
Schuylkill,Barry Twp.,Tax Collector Barry Twp.,,DEM/REP,Heather Bixler,281,247,33,1,1
Schuylkill,Barry Twp.,Tax Collector Barry Twp.,,,Write-ins,2,2,0,0,1
Schuylkill,Barry Twp.,Auditor V1 6yr Barry Twp.,,,Write-ins,29,27,2,0,1
Schuylkill,Barry Twp.,Judge of Election Barry Twp.,,REP,Alisa Chiaretti,259,238,20,1,1
Schuylkill,Barry Twp.,Judge of Election Barry Twp.,,,Write-ins,3,3,0,0,1
Schuylkill,Barry Twp.,Inspector of Election Barry Twp.,,DEM,Cathy A. Clouser,120,96,23,1,1
Schuylkill,Barry Twp.,Inspector of Election Barry Twp.,,REP,Ruby E. Clouser,180,170,10,0,1
