county,office,district,party,candidate,votes,election_day,mail,provisional
Mifflin,Registered Voters,,,,0,,,
Mifflin,Ballots Cast,,,,10593,8457,2120,16
Mifflin,Ballots Cast Blank,,,,0,0,0,0
Mifflin,Judge of the Superior Court,,DEM,BRANDON NEUMAN,2692,1574,1107,11
Mifflin,Judge of the Superior Court,,REP,MARIA BATTISTA,7445,6542,898,5
Mifflin,Judge of the Superior Court,,LBR,DANIEL WASSMER,185,128,57,0
Mifflin,Judge of the Superior Court,,,Write-ins,5,4,1,0
Mifflin,Judge of the Superior Court,,,Overvotes,8,3,5,0
Mifflin,Judge of the Superior Court,,,Undervotes,258,206,52,0
Mifflin,Judge of the Commonwealth Court,,DEM,STELLA TSAI,2766,1621,1134,11
Mifflin,Judge of the Commonwealth Court,,REP,MATT WOLFORD,7526,6604,917,5
Mifflin,Judge of the Commonwealth Court,,,Write-ins,5,5,0,0
Mifflin,Judge of the Commonwealth Court,,,Overvotes,5,2,3,0
Mifflin,Judge of the Commonwealth Court,,,Undervotes,291,225,66,0
Mifflin,Judge of the Court of Common Pleas,,DAR,AARON L GINGRICH,9503,7596,1893,14
Mifflin,Judge of the Court of Common Pleas,,,Write-ins,60,52,8,0
Mifflin,Judge of the Court of Common Pleas,,,Overvotes,0,0,0,0
Mifflin,Judge of the Court of Common Pleas,,,Undervotes,1030,809,219,2
Mifflin,Magisterial District Judge,58-3-2,DAR,ERIC S ETTINGER,3188,2527,655,6
Mifflin,Magisterial District Judge,58-3-2,,Write-ins,31,28,3,0
Mifflin,Magisterial District Judge,58-3-2,,Overvotes,0,0,0,0
Mifflin,Magisterial District Judge,58-3-2,,Undervotes,412,293,119,0
Mifflin,Register & Recorder,,REP,ELLEN AMSPACKER,9149,7540,1597,12
Mifflin,Register & Recorder,,,Write-ins,92,71,21,0
Mifflin,Register & Recorder,,,Overvotes,7,0,7,0
Mifflin,Register & Recorder,,,Undervotes,1345,846,495,4
Mifflin,Sheriff,,REP,DOUGLAS S CRAMER,9022,7467,1543,12
Mifflin,Sheriff,,,Write-ins,208,154,54,0
Mifflin,Sheriff,,,Overvotes,2,1,1,0
Mifflin,Sheriff,,,Undervotes,1361,835,522,4
Mifflin,Sheriff,,REP,DIANE L GRIFFITH,8992,7454,1526,12
Mifflin,Sheriff,,,Write-ins,88,66,22,0
Mifflin,Sheriff,,,Overvotes,1,1,0,0
Mifflin,Sheriff,,,Undervotes,1512,936,572,4
Mifflin,School Director 2yr Mifflin County School District,,DEM,DIANE STEWART,3162,2024,1129,9
Mifflin,School Director 2yr Mifflin County School District,,DEM,MARY LOU M SIGLER,2809,1706,1094,9
Mifflin,School Director 2yr Mifflin County School District,,REP,BRENT ERB,5918,5161,753,4
Mifflin,School Director 2yr Mifflin County School District,,REP,R. BRIAN KETCHEM,5575,4876,696,3
Mifflin,School Director 2yr Mifflin County School District,,,Write-ins,36,31,5,0
Mifflin,School Director 2yr Mifflin County School District,,,Overvotes,32,12,20,0
Mifflin,School Director 2yr Mifflin County School District,,,Undervotes,2162,1854,307,1
Mifflin,School Director 4yr Mifflin County School District,,DEM,MARY LOU M SIGLER,3108,1937,1162,9
Mifflin,School Director 4yr Mifflin County School District,,DEM,CHRIS TODDES,2310,1325,978,7
Mifflin,School Director 4yr Mifflin County School District,,REP,MARK R BAKER,6627,5634,988,5
Mifflin,School Director 4yr Mifflin County School District,,REP,JESSICA BAUMGARDNER,5850,5012,833,5
Mifflin,School Director 4yr Mifflin County School District,,REP,BRENT ERB,6040,5178,858,4
Mifflin,School Director 4yr Mifflin County School District,,REP,CODY L WIAN,5681,4921,757,3
Mifflin,School Director 4yr Mifflin County School District,,,Write-ins,127,86,41,0
Mifflin,School Director 4yr Mifflin County School District,,,Overvotes,20,12,4,4
Mifflin,School Director 4yr Mifflin County School District,,,Undervotes,9625,7223,2387,15
Mifflin,School Director - Region I Mount Union Area School District,,DAR,BRUCE J SMITH IV,457,374,81,2
Mifflin,School Director - Region I Mount Union Area School District,,,Write-ins,234,213,21,0
Mifflin,School Director - Region I Mount Union Area School District,,,Overvotes,0,0,0,0
Mifflin,School Director - Region I Mount Union Area School District,,,Undervotes,55,38,16,1
Mifflin,Township Auditor 6yr Armagh Twp,,,Write-ins,49,46,3,0
Mifflin,Township Auditor 6yr Armagh Twp,,,Overvotes,0,0,0,0
Mifflin,Township Auditor 6yr Armagh Twp,,,Undervotes,774,656,118,0
Mifflin,Township Auditor 2yr Armagh Twp,,,Write-ins,52,48,4,0
Mifflin,Township Auditor 2yr Armagh Twp,,,Overvotes,0,0,0,0
Mifflin,Township Auditor 2yr Armagh Twp,,,Undervotes,771,654,117,0
Mifflin,Township Auditor Bratton Twp,,,Write-ins,12,12,0,0
Mifflin,Township Auditor Bratton Twp,,,Overvotes,0,0,0,0
Mifflin,Township Auditor Bratton Twp,,,Undervotes,656,602,52,2
Mifflin,Township Auditor Brown Twp,,,Write-ins,46,41,5,0
Mifflin,Township Auditor Brown Twp,,,Overvotes,0,0,0,0
Mifflin,Township Auditor Brown Twp,,,Undervotes,1132,869,261,2
Mifflin,Township Auditor Decatur Twp,,REP,GAIL ANGNEY,670,598,71,1
Mifflin,Township Auditor Decatur Twp,,,Write-ins,4,3,1,0
Mifflin,Township Auditor Decatur Twp,,,Overvotes,0,0,0,0
Mifflin,Township Auditor Decatur Twp,,,Undervotes,53,33,19,1
Mifflin,Township Auditor Derry Twp,,REP,KEVIN L DOEBLER,1645,1269,373,3
Mifflin,Township Auditor Derry Twp,,,Write-ins,16,10,6,0
Mifflin,Township Auditor Derry Twp,,,Overvotes,0,0,0,0
Mifflin,Township Auditor Derry Twp,,,Undervotes,325,189,136,0
Mifflin,Township Auditor 6yr Granville Twp,,,Write-ins,64,49,15,0
Mifflin,Township Auditor 6yr Granville Twp,,,Overvotes,0,0,0,0
Mifflin,Township Auditor 6yr Granville Twp,,,Undervotes,1167,916,250,1
Mifflin,Township Auditor 4yr Granville Twp,,,Write-ins,53,40,13,0
Mifflin,Township Auditor 4yr Granville Twp,,,Overvotes,0,0,0,0
Mifflin,Township Auditor 4yr Granville Twp,,,Undervotes,1178,925,252,1
Mifflin,Township Auditor Menno Twp,,REP,BRADLEY O YODER,161,150,11,0
Mifflin,Township Auditor Menno Twp,,,Write-ins,2,2,0,0
Mifflin,Township Auditor Menno Twp,,,Overvotes,0,0,0,0
Mifflin,Township Auditor Menno Twp,,,Undervotes,13,8,5,0
Mifflin,Township Auditor 6yr Oliver Twp,,REP,TARA L MCCARL,462,396,66,0
Mifflin,Township Auditor 6yr Oliver Twp,,,Write-ins,3,2,1,0
Mifflin,Township Auditor 6yr Oliver Twp,,,Overvotes,0,0,0,0
Mifflin,Township Auditor 6yr Oliver Twp,,,Undervotes,34,25,9,0
Mifflin,Township Auditor 4yr Oliver Twp,,REP,CRYSTAL M SUNDERLAND,451,387,64,0
Mifflin,Township Auditor 4yr Oliver Twp,,,Write-ins,5,4,1,0
Mifflin,Township Auditor 4yr Oliver Twp,,,Overvotes,0,0,0,0
Mifflin,Township Auditor 4yr Oliver Twp,,,Undervotes,43,32,11,0
Mifflin,Township Auditor Union Twp,,,Write-ins,47,33,14,0
