county,precinct,office,district,party,candidate,votes,election_day,mail,provisional,vote_for
Mifflin,Armagh Township-East,Registered Voters,,,,0,,,,
Mifflin,Armagh Township-East,Ballots Cast,,,,267,237,30,0,
Mifflin,Armagh Township-East,Ballots Cast Blank,,,,0,0,0,0,
Mifflin,Armagh Township-East,Judge of the Superior Court,,DEM,BRANDON NEUMAN,46,33,13,0,1
Mifflin,Armagh Township-East,Judge of the Superior Court,,REP,MARIA BATTISTA,210,194,16,0,1
Mifflin,Armagh Township-East,Judge of the Superior Court,,LBR,DANIEL WASSMER,1,1,0,0,1
Mifflin,Armagh Township-East,Judge of the Superior Court,,,Write-ins,0,0,0,0,1
Mifflin,Armagh Township-East,Judge of the Superior Court,,,Overvotes,0,0,0,0,1
Mifflin,Armagh Township-East,Judge of the Superior Court,,,Undervotes,10,9,1,0,1
Mifflin,Armagh Township-East,Judge of the Commonwealth Court,,DEM,STELLA TSAI,48,35,13,0,1
Mifflin,Armagh Township-East,Judge of the Commonwealth Court,,REP,MATT WOLFORD,214,199,15,0,1
Mifflin,Armagh Township-East,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0,1
Mifflin,Armagh Township-East,Judge of the Commonwealth Court,,,Overvotes,0,0,0,0,1
Mifflin,Armagh Township-East,Judge of the Commonwealth Court,,,Undervotes,5,3,2,0,1
Mifflin,Armagh Township-East,Judge of the Court of Common Pleas,,DAR,AARON L GINGRICH,231,207,24,0,1
Mifflin,Armagh Township-East,Judge of the Court of Common Pleas,,,Write-ins,0,0,0,0,1
Mifflin,Armagh Township-East,Judge of the Court of Common Pleas,,,Overvotes,0,0,0,0,1
Mifflin,Armagh Township-East,Judge of the Court of Common Pleas,,,Undervotes,36,30,6,0,1
Mifflin,Armagh Township-East,Register and Recorder,,REP,ELLEN AMSPACKER,243,222,21,0,1
Mifflin,Armagh Township-East,Register and Recorder,,,Write-ins,2,2,0,0,1
Mifflin,Armagh Township-East,Register and Recorder,,,Overvotes,0,0,0,0,1
Mifflin,Armagh Township-East,Register and Recorder,,,Undervotes,22,13,9,0,1
Mifflin,Armagh Township-East,Sheriff,,REP,DOUGLAS S CRAMER,244,223,21,0,1
Mifflin,Armagh Township-East,Sheriff,,,Write-ins,1,1,0,0,1
Mifflin,Armagh Township-East,Sheriff,,,Overvotes,0,0,0,0,1
Mifflin,Armagh Township-East,Sheriff,,,Undervotes,22,13,9,0,1
Mifflin,Armagh Township-East,Treasurer,,REP,DIANE L GRIFFITH,242,221,21,0,1
Mifflin,Armagh Township-East,Treasurer,,,Write-ins,2,2,0,0,1
Mifflin,Armagh Township-East,Treasurer,,,Overvotes,0,0,0,0,1
Mifflin,Armagh Township-East,Treasurer,,,Undervotes,23,14,9,0,1
Mifflin,Armagh Township-East,School Director (2 Year),Mifflin County,DEM,DIANE STEWART,58,43,15,0,2
Mifflin,Armagh Township-East,School Director (2 Year),Mifflin County,DEM,MARY LOU M SIGLER,63,46,17,0,2
Mifflin,Armagh Township-East,School Director (2 Year),Mifflin County,REP,BRENT ERB,172,158,14,0,2
Mifflin,Armagh Township-East,School Director (2 Year),Mifflin County,REP,R. BRIAN KETCHEM,169,158,11,0,2
Mifflin,Armagh Township-East,School Director (2 Year),Mifflin County,,Write-ins,0,0,0,0,2
Mifflin,Armagh Township-East,School Director (2 Year),Mifflin County,,Overvotes,0,0,0,0,2
Mifflin,Armagh Township-East,School Director (2 Year),Mifflin County,,Undervotes,72,69,3,0,2
Mifflin,Armagh Township-East,School Director (4 Year),Mifflin County,DEM,MARY LOU M SIGLER,61,45,16,0,4
Mifflin,Armagh Township-East,School Director (4 Year),Mifflin County,DEM,CHRIS TODDES,40,29,11,0,4
Mifflin,Armagh Township-East,School Director (4 Year),Mifflin County,REP,MARK R BAKER,197,181,16,0,4
Mifflin,Armagh Township-East,School Director (4 Year),Mifflin County,REP,JESSICA BAUMGARDNER,171,158,13,0,4
Mifflin,Armagh Township-East,School Director (4 Year),Mifflin County,REP,BRENT ERB,177,164,13,0,4
Mifflin,Armagh Township-East,School Director (4 Year),Mifflin County,REP,CODY L WIAN,170,158,12,0,4
Mifflin,Armagh Township-East,School Director (4 Year),Mifflin County,,Write-ins,1,1,0,0,4
Mifflin,Armagh Township-East,School Director (4 Year),Mifflin County,,Overvotes,0,0,0,0,4
Mifflin,Armagh Township-East,School Director (4 Year),Mifflin County,,Undervotes,251,212,39,0,4
Mifflin,Armagh Township-East,Township Auditor (6 Year),Armagh Township,,Write-ins,6,5,1,0,1
Mifflin,Armagh Township-East,Township Auditor (6 Year),Armagh Township,,Overvotes,0,0,0,0,1
Mifflin,Armagh Township-East,Township Auditor (6 Year),Armagh Township,,Undervotes,261,232,29,0,1
Mifflin,Armagh Township-East,Township Auditor (2 Year),Armagh Township,,Write-ins,5,4,1,0,1
Mifflin,Armagh Township-East,Township Auditor (2 Year),Armagh Township,,Overvotes,0,0,0,0,1
Mifflin,Armagh Township-East,Township Auditor (2 Year),Armagh Township,,Undervotes,262,233,29,0,1
Mifflin,Armagh Township-East,Tax Collector,Armagh Township,REP,CRYSTAL HEISTER,249,222,27,0,1
Mifflin,Armagh Township-East,Tax Collector,Armagh Township,,Write-ins,2,2,0,0,1
Mifflin,Armagh Township-East,Tax Collector,Armagh Township,,Overvotes,0,0,0,0,1
Mifflin,Armagh Township-East,Tax Collector,Armagh Township,,Undervotes,16,13,3,0,1
Mifflin,Armagh Township-East,Township Supervisor,Armagh Township,REP,CRAIG A BITNER,232,211,21,0,1
Mifflin,Armagh Township-East,Township Supervisor,Armagh Township,,Write-ins,3,3,0,0,1
Mifflin,Armagh Township-East,Township Supervisor,Armagh Township,,Overvotes,0,0,0,0,1
Mifflin,Armagh Township-East,Township Supervisor,Armagh Township,,Undervotes,32,23,9,0,1
Mifflin,Armagh Township-East,Judge of Elections,Armagh Township-East,REP,REX BARR,237,216,21,0,1
Mifflin,Armagh Township-East,Judge of Elections,Armagh Township-East,,Write-ins,2,2,0,0,1
Mifflin,Armagh Township-East,Judge of Elections,Armagh Township-East,,Overvotes,0,0,0,0,1
Mifflin,Armagh Township-East,Judge of Elections,Armagh Township-East,,Undervotes,28,19,9,0,1
