county,office,district,party,candidate,votes,election_day,mail,provisional
Lebanon,Judge of the Superior Court,,REP,MARIA BATTISTA,21413,18607,2772,34
Lebanon,Judge of the Superior Court,,DEM,BRANDON NEUMAN,14420,8849,5487,84
Lebanon,Judge of the Superior Court,,LBR,DANIEL WASSMER,831,576,252,3
Lebanon,Judge of the Superior Court,,,Write-ins,31,28,3,0
Lebanon,Judge of the Commonwealth Court,,REP,MATT WOLFORD,22108,19119,2954,35
Lebanon,Judge of the Commonwealth Court,,DEM,STELLA TSAI,14544,8901,5558,85
Lebanon,Judge of the Commonwealth Court,,,Write-ins,29,28,1,0
Lebanon,District Attorney,,REP,PIER HESS GRAF,21540,18408,3096,36
Lebanon,District Attorney,,DEM,MICHAEL J LIGHT II,15202,9685,5431,86
Lebanon,District Attorney,,,Write-ins,75,63,12,0
Lebanon,Sheriff,,REP,JEFFRIE C MARLEY JR,28151,23108,4968,75
Lebanon,Sheriff,,,Write-ins,669,497,169,3
Lebanon,"Recorder of Deeds, Register of Wills, and Clerk of the Orphans' Court",,REP,BRIAN CRAIG,27979,23010,4897,72
Lebanon,"Recorder of Deeds, Register of Wills, and Clerk of the Orphans' Court",,,Write-ins,584,429,152,3
Lebanon,Magisterial District Judge,52-1-01 52-1-01,,D/R MARIA MELUSKEY DISSINGER,1429,1054,362,13
Lebanon,Magisterial District Judge,52-1-01 52-1-01,,Write-ins,17,15,2,0
Lebanon,School Director AT LARGE ANNVILLE CLEONA,,REP,CINDY EBY,2031,1744,283,4
Lebanon,School Director AT LARGE ANNVILLE CLEONA,,,D/R BECCA LEBO,1952,1473,472,7
Lebanon,School Director AT LARGE ANNVILLE CLEONA,,,D/R COLLEEN SHAY,1917,1466,443,8
Lebanon,School Director AT LARGE ANNVILLE CLEONA,,,D/R KATHLEEN BLOUCH,1890,1440,443,7
Lebanon,School Director AT LARGE ANNVILLE CLEONA,,DEM,CHRISTOPHER SIRRIANNIA,1767,1300,461,6
Lebanon,School Director AT LARGE ANNVILLE CLEONA,,,Write-ins,62,51,11,0
Lebanon,School Director AT LARGE CORNWALL LEBANON,,REP,SUSAN A DIEFFENBACH,6844,5475,1362,7
Lebanon,School Director AT LARGE CORNWALL LEBANON,,REP,JOEL W ZUG,6227,5092,1127,8
Lebanon,School Director AT LARGE CORNWALL LEBANON,,REP,JANE OWSIAK,5962,4871,1084,7
Lebanon,School Director AT LARGE CORNWALL LEBANON,,,D/R BETSY GARRETT,5245,3375,1856,14
Lebanon,School Director AT LARGE CORNWALL LEBANON,,DEM,EDWARD VARNER,4729,2756,1964,9
Lebanon,School Director AT LARGE CORNWALL LEBANON,,,Write-ins,345,262,83,0
Lebanon,School Director AT LARGE EASTERN LEBANON COUNTY,,REP,JORDAN WEAVER,3462,3084,370,8
Lebanon,School Director AT LARGE EASTERN LEBANON COUNTY,,REP,BONNIE KANTNER,2994,2571,416,7
Lebanon,School Director AT LARGE EASTERN LEBANON COUNTY,,REP,RACHEL MOYER,2787,2409,372,6
Lebanon,School Director AT LARGE EASTERN LEBANON COUNTY,,DEM,MEGAN SCHAEFFER,2523,1803,712,8
Lebanon,School Director AT LARGE EASTERN LEBANON COUNTY,,REP,CODY B WEALAND,2512,2188,319,5
Lebanon,School Director AT LARGE EASTERN LEBANON COUNTY,,,Write-ins,1386,1258,125,3
Lebanon,School Director AT LARGE LEBANON,,,D/R DEBRA L BOWMAN,1954,1328,609,17
Lebanon,School Director AT LARGE LEBANON,,DEM,CEDRIC JORDAN,1797,1187,594,16
Lebanon,School Director AT LARGE LEBANON,,REP,HOLLY KRISTOVENSKY,1758,1488,266,4
Lebanon,School Director AT LARGE LEBANON,,DEM,ASHLEY CESSNA,1615,1023,578,14
Lebanon,School Director AT LARGE LEBANON,,REP,KERRY L SHUYLER,1613,1386,224,3
Lebanon,School Director AT LARGE LEBANON,,REP,ERIC D ELLIS,1533,1312,217,4
Lebanon,School Director AT LARGE LEBANON,,DEM,MARQUITA WARREN,1438,896,529,13
Lebanon,School Director AT LARGE LEBANON,,,Write-ins,36,29,7,0
Lebanon,School Director AT LARGE NORTHERN LEBANON,,REP,MARTHA BLOUGH,3151,2716,430,5
Lebanon,School Director AT LARGE NORTHERN LEBANON,,,D/R STACI MURRAY,1985,1472,507,6
Lebanon,School Director AT LARGE NORTHERN LEBANON,,,D/R ROBBIE ENGLAND,1912,1470,437,5
Lebanon,School Director AT LARGE NORTHERN LEBANON,,,D/R DAVID KLINE,1874,1428,441,5
Lebanon,School Director AT LARGE NORTHERN LEBANON,,,Write-ins,152,131,21,0
Lebanon,School Director AT LARGE PALMYRA,,REP,CYNTHIA SPONDELLO,3951,3271,671,9
Lebanon,School Director AT LARGE PALMYRA,,DEM,CHRISTINE FISHER,3948,2601,1322,25
Lebanon,School Director AT LARGE PALMYRA,,REP,COREY ANDREW,3934,3306,622,6
Lebanon,School Director AT LARGE PALMYRA,,REP,SETH STEINMETZ,3853,3227,619,7
Lebanon,School Director AT LARGE PALMYRA,,DEM,JOSHUA BRINSER,3838,2592,1225,21
Lebanon,School Director AT LARGE PALMYRA,,REP,SHANE ARRIGONI,3671,3107,558,6
Lebanon,School Director AT LARGE PALMYRA,,DEM,BENJAMIN J WEABER,3640,2416,1202,22
Lebanon,School Director AT LARGE PALMYRA,,,Write-ins,138,99,38,1
Lebanon,School Director AT LARGE PALMYRA,,REP,SHERRY CAPELLO,1991,1584,400,7
Lebanon,School Director AT LARGE PALMYRA,,DEM,CESAR B LIRIANO,1658,1153,480,25
Lebanon,School Director AT LARGE PALMYRA,,,Write-ins,19,16,3,0
Lebanon,MEMBER CITY COUNCIL CITY,,DEM,CORNELL WILSON,1984,1332,625,27
Lebanon,MEMBER CITY COUNCIL CITY,,REP,KAREN S HAITOS,1604,1338,263,3
Lebanon,MEMBER CITY COUNCIL CITY,,REP,ANGELINA MARKO,1519,1256,258,5
Lebanon,MEMBER CITY COUNCIL CITY,,,Write-ins,36,29,7,0
Lebanon,Mayor CLEONA,,LIB,MATTHEW ZECHMAN,443,376,66,1
Lebanon,Mayor CLEONA,,REP,LARRY MINNICH,224,190,34,0
Lebanon,Mayor CLEONA,,,Write-ins,2,2,0,0
