county,precinct,office,district,party,candidate,vote_for,votes,election_day,mail,provisional
Lackawanna,Waverly Township W-00 P-00,,,,Registered Voters,,1505,,,
Lackawanna,Waverly Township W-00 P-00,,,,Ballots Cast,,740,581,157,2
Lackawanna,Waverly Township W-00 P-00,,,,Ballots Cast - Blank,,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,JUDGE OF THE SUPERIOR COURT,,DEM,BRANDON NEUMAN,1,451,335,115,1
Lackawanna,Waverly Township W-00 P-00,JUDGE OF THE SUPERIOR COURT,,REP,MARIA BATTISTA,1,263,224,38,1
Lackawanna,Waverly Township W-00 P-00,JUDGE OF THE SUPERIOR COURT,,LIB,DANIEL WASSMER,1,4,4,0,0
Lackawanna,Waverly Township W-00 P-00,JUDGE OF THE SUPERIOR COURT,,,Write-In Totals,1,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,JUDGE OF THE COMMONWEALTH COURT,,DEM,STELLA TSAI,1,457,340,116,1
Lackawanna,Waverly Township W-00 P-00,JUDGE OF THE COMMONWEALTH COURT,,REP,MATT WOLFORD,1,263,224,38,1
Lackawanna,Waverly Township W-00 P-00,JUDGE OF THE COMMONWEALTH COURT,,,Write-In Totals,1,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,JUDGE OF THE COURT OF COMMON PLEAS,,DNR,MARK POWELL,1,605,475,128,2
Lackawanna,Waverly Township W-00 P-00,JUDGE OF THE COURT OF COMMON PLEAS,,,Write-In Totals,1,14,11,3,0
Lackawanna,Waverly Township W-00 P-00,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,DEM,THOM WELBY,1,291,199,90,2
Lackawanna,Waverly Township W-00 P-00,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,REP,CHET MERLI,1,218,182,36,0
Lackawanna,Waverly Township W-00 P-00,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,AAI,MICHAEL P. CAPPELLINI,1,211,183,28,0
Lackawanna,Waverly Township W-00 P-00,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,,Write-In Totals,1,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,CLERK OF JUDICIAL RECORDS TWO YEAR UNEXPIRED TERM,,DEM,LAUREN BIEBER MAILEN,1,305,213,91,1
Lackawanna,Waverly Township W-00 P-00,CLERK OF JUDICIAL RECORDS TWO YEAR UNEXPIRED TERM,,REP,SUSANNE PREAMBO GREEN,1,233,198,34,1
Lackawanna,Waverly Township W-00 P-00,CLERK OF JUDICIAL RECORDS TWO YEAR UNEXPIRED TERM,,,Write-In Totals,1,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,DISTRICT ATTORNEY,,DNR,BRIAN GALLAGHER,1,603,473,129,1
Lackawanna,Waverly Township W-00 P-00,DISTRICT ATTORNEY,,,Write-In Totals,1,10,8,2,0
Lackawanna,Waverly Township W-00 P-00,SHERIFF,,DEM,MARK P. MCANDREW,1,486,366,119,1
Lackawanna,Waverly Township W-00 P-00,SHERIFF,,REP,GLENN CAPMAN,1,222,190,32,0
Lackawanna,Waverly Township W-00 P-00,SHERIFF,,,Write-In Totals,1,2,2,0,0
Lackawanna,Waverly Township W-00 P-00,RECORDER OF DEEDS,,DEM,EVIE RAFALKO MCNULTY,1,491,365,125,1
Lackawanna,Waverly Township W-00 P-00,RECORDER OF DEEDS,,REP,SHARON SOLTIS SPARANO,1,232,200,31,1
Lackawanna,Waverly Township W-00 P-00,RECORDER OF DEEDS,,,Write-In Totals,1,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,REGISTER OF WILLS,,DEM,FRAN KOVALESKI,1,467,344,122,1
Lackawanna,Waverly Township W-00 P-00,REGISTER OF WILLS,,REP,VANESSA LIENERT,1,228,198,29,1
Lackawanna,Waverly Township W-00 P-00,REGISTER OF WILLS,,,Write-In Totals,1,1,1,0,0
Lackawanna,Waverly Township W-00 P-00,SUPERVISOR WAVERLY,,DNR,ERIC PARRY,1,610,477,132,1
Lackawanna,Waverly Township W-00 P-00,SUPERVISOR WAVERLY,,,Write-In Totals,1,7,6,1,0
Lackawanna,Waverly Township W-00 P-00,TAX COLLECTOR WAVERLY,,DEM,ILONA THURSTON,1,578,439,138,1
Lackawanna,Waverly Township W-00 P-00,TAX COLLECTOR WAVERLY,,,Write-In Totals,1,8,7,1,0
Lackawanna,Waverly Township W-00 P-00,AUDITOR SIX YEAR TERM WAVERLY,,,Write-In Totals,1,19,17,2,0
Lackawanna,Waverly Township W-00 P-00,AUDITOR TWO YEAR UNEXPIRED TERM WAVERLY,,,Write-In Totals,1,24,20,4,0
Lackawanna,Waverly Township W-00 P-00,ABINGTON HEIGHTS SCHOOL DIRECTOR REGION 1,,DNR,SHANNON MALLOY KEHOE,1,574,443,130,1
Lackawanna,Waverly Township W-00 P-00,ABINGTON HEIGHTS SCHOOL DIRECTOR REGION 1,,,Write-In Totals,1,16,14,2,0
Lackawanna,Waverly Township W-00 P-00,ABINGTON HEIGHTS SCHOOL DIRECTOR AT-LARGE,,DNR,EMILY KARAM,1,592,458,133,1
Lackawanna,Waverly Township W-00 P-00,ABINGTON HEIGHTS SCHOOL DIRECTOR AT-LARGE,,,Write-In Totals,1,10,9,1,0
Lackawanna,Waverly Township W-00 P-00,JUDGE OF ELECTION Waverly Township W-00 P-00,,,Write-In Totals,1,28,23,5,0
Lackawanna,Waverly Township W-00 P-00,INSPECTOR OF ELECTION Waverly Township W-00 P-00,,,Write-In Totals,1,23,19,4,0
Lackawanna,Waverly Township W-00 P-00,SUPREME COURT RETENTION - CHRISTINE DONOHUE,,,YES,1,481,358,122,1
Lackawanna,Waverly Township W-00 P-00,SUPREME COURT RETENTION - CHRISTINE DONOHUE,,,NO,1,212,187,24,1
Lackawanna,Waverly Township W-00 P-00,SUPREME COURT RETENTION - KEVIN M. DOUGHERTY,,,YES,1,488,366,121,1
Lackawanna,Waverly Township W-00 P-00,SUPREME COURT RETENTION - KEVIN M. DOUGHERTY,,,NO,1,205,178,26,1
Lackawanna,Waverly Township W-00 P-00,SUPREME COURT RETENTION - DAVID WECHT,,,YES,1,477,355,121,1
Lackawanna,Waverly Township W-00 P-00,SUPREME COURT RETENTION - DAVID WECHT,,,NO,1,209,184,24,1
Lackawanna,Waverly Township W-00 P-00,SUPERIOR COURT RETENTION - ALICE BECK DUBOW,,,YES,1,446,326,119,1
Lackawanna,Waverly Township W-00 P-00,SUPERIOR COURT RETENTION - ALICE BECK DUBOW,,,NO,1,211,187,23,1
Lackawanna,Waverly Township W-00 P-00,COMMONWEALTH COURT RETENTION - MICHAEL H. WOJCIK,,,YES,1,461,341,119,1
Lackawanna,Waverly Township W-00 P-00,COMMONWEALTH COURT RETENTION - MICHAEL H. WOJCIK,,,NO,1,196,172,23,1
Lackawanna,Waverly Township W-00 P-00,COURT OF COMMON PLEAS RETENTION - ANDY JARBOLA,,,YES,1,495,386,107,2
Lackawanna,Waverly Township W-00 P-00,COURT OF COMMON PLEAS RETENTION - ANDY JARBOLA,,,NO,1,186,147,39,0
Lackawanna,Archbald W-01 P-01,,,,Registered Voters,,1449,,,
Lackawanna,Archbald W-01 P-01,,,,Ballots Cast,,794,588,204,2
Lackawanna,Archbald W-01 P-01,,,,Ballots Cast - Blank,,0,0,0,0
Lackawanna,Archbald W-01 P-01,JUDGE OF THE SUPERIOR COURT,,DEM,BRANDON NEUMAN,1,445,303,141,1
Lackawanna,Archbald W-01 P-01,JUDGE OF THE SUPERIOR COURT,,REP,MARIA BATTISTA,1,278,228,49,1
Lackawanna,Archbald W-01 P-01,JUDGE OF THE SUPERIOR COURT,,LIB,DANIEL WASSMER,1,13,12,1,0
Lackawanna,Archbald W-01 P-01,JUDGE OF THE SUPERIOR COURT,,,Write-In Totals,1,1,1,0,0
Lackawanna,Archbald W-01 P-01,JUDGE OF THE COMMONWEALTH COURT,,DEM,STELLA TSAI,1,458,314,144,0
Lackawanna,Archbald W-01 P-01,JUDGE OF THE COMMONWEALTH COURT,,REP,MATT WOLFORD,1,268,220,46,2
Lackawanna,Archbald W-01 P-01,JUDGE OF THE COMMONWEALTH COURT,,,Write-In Totals,1,1,1,0,0
Lackawanna,Archbald W-01 P-01,JUDGE OF THE COURT OF COMMON PLEAS,,DNR,MARK POWELL,1,653,477,174,2
Lackawanna,Archbald W-01 P-01,JUDGE OF THE COURT OF COMMON PLEAS,,,Write-In Totals,1,4,4,0,0
Lackawanna,Archbald W-01 P-01,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,DEM,THOM WELBY,1,218,128,90,0
Lackawanna,Archbald W-01 P-01,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,REP,CHET MERLI,1,267,222,44,1
Lackawanna,Archbald W-01 P-01,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,AAI,MICHAEL P. CAPPELLINI,1,302,233,68,1
Lackawanna,Archbald W-01 P-01,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,,Write-In Totals,1,1,1,0,0
Lackawanna,Archbald W-01 P-01,CLERK OF JUDICIAL RECORDS TWO YEAR UNEXPIRED TERM,,DEM,LAUREN BIEBER MAILEN,1,311,207,104,0
Lackawanna,Archbald W-01 P-01,CLERK OF JUDICIAL RECORDS TWO YEAR UNEXPIRED TERM,,REP,SUSANNE PREAMBO GREEN,1,235,194,40,1
Lackawanna,Archbald W-01 P-01,CLERK OF JUDICIAL RECORDS TWO YEAR UNEXPIRED TERM,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-01 P-01,DISTRICT ATTORNEY,,DNR,BRIAN GALLAGHER,1,649,471,176,2
Lackawanna,Archbald W-01 P-01,DISTRICT ATTORNEY,,,Write-In Totals,1,2,2,0,0
Lackawanna,Archbald W-01 P-01,SHERIFF,,DEM,MARK P. MCANDREW,1,625,447,176,2
Lackawanna,Archbald W-01 P-01,SHERIFF,,REP,GLENN CAPMAN,1,143,117,26,0
Lackawanna,Archbald W-01 P-01,SHERIFF,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-01 P-01,RECORDER OF DEEDS,,DEM,EVIE RAFALKO MCNULTY,1,522,360,161,1
Lackawanna,Archbald W-01 P-01,RECORDER OF DEEDS,,REP,SHARON SOLTIS SPARANO,1,242,202,39,1
Lackawanna,Archbald W-01 P-01,RECORDER OF DEEDS,,,Write-In Totals,1,1,0,1,0
Lackawanna,Archbald W-01 P-01,REGISTER OF WILLS,,DEM,FRAN KOVALESKI,1,497,340,156,1
Lackawanna,Archbald W-01 P-01,REGISTER OF WILLS,,REP,VANESSA LIENERT,1,234,195,38,1
Lackawanna,Archbald W-01 P-01,REGISTER OF WILLS,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-01 P-01,MAYOR ARCHBALD,,DEM,SHIRLEY BARRETT,1,430,290,139,1
Lackawanna,Archbald W-01 P-01,MAYOR ARCHBALD,,REP,CYNTHIA SNYDER,1,342,279,62,1
Lackawanna,Archbald W-01 P-01,MAYOR ARCHBALD,,,Write-In Totals,1,3,3,0,0
Lackawanna,Archbald W-01 P-01,TAX COLLECTOR ARCHBALD,,DNR,KATIE GROGAN NOLDY,1,687,503,182,2
Lackawanna,Archbald W-01 P-01,TAX COLLECTOR ARCHBALD,,,Write-In Totals,1,3,2,1,0
Lackawanna,Archbald W-01 P-01,COUNCIL ARCHBALD,,DEM,MARIE COOKE ANDREOLI,3,337,211,126,0
Lackawanna,Archbald W-01 P-01,COUNCIL ARCHBALD,,DNR,TOM ANISKA,3,550,397,151,2
Lackawanna,Archbald W-01 P-01,COUNCIL ARCHBALD,,DEM,FRANCIS BURKE,3,304,193,110,1
Lackawanna,Archbald W-01 P-01,COUNCIL ARCHBALD,,REP,LOUIS J. RAPOCH,3,392,321,70,1
Lackawanna,Archbald W-01 P-01,COUNCIL ARCHBALD,,REP,BRUCE WALDER,3,303,242,61,0
Lackawanna,Archbald W-01 P-01,COUNCIL ARCHBALD,,,Write-In Totals,3,31,21,10,0
Lackawanna,Archbald W-01 P-01,VALLEY VIEW SCHOOL DIRECTOR REGION 1,,DNR,JOSEPH A. FARRELL,2,363,250,113,0
Lackawanna,Archbald W-01 P-01,VALLEY VIEW SCHOOL DIRECTOR REGION 1,,DNR,TOM OWEN,2,371,280,89,2
Lackawanna,Archbald W-01 P-01,VALLEY VIEW SCHOOL DIRECTOR REGION 1,,IND,JULIE BUDD-KULENICH,2,358,273,84,1
Lackawanna,Archbald W-01 P-01,VALLEY VIEW SCHOOL DIRECTOR REGION 1,,,Write-In Totals,2,7,3,4,0
Lackawanna,Archbald W-01 P-01,JUDGE OF ELECTION Archbald W-01 P-01,,,Write-In Totals,1,16,16,0,0
Lackawanna,Archbald W-01 P-01,INSPECTOR OF ELECTION Archbald W-01 P-01,,,Write-In Totals,1,24,24,0,0
Lackawanna,Archbald W-01 P-01,SUPREME COURT RETENTION - CHRISTINE DONOHUE,,,YES,1,474,332,141,1
Lackawanna,Archbald W-01 P-01,SUPREME COURT RETENTION - CHRISTINE DONOHUE,,,NO,1,223,183,39,1
Lackawanna,Archbald W-01 P-01,SUPREME COURT RETENTION - KEVIN M. DOUGHERTY,,,YES,1,485,340,143,2
Lackawanna,Archbald W-01 P-01,SUPREME COURT RETENTION - KEVIN M. DOUGHERTY,,,NO,1,216,179,37,0
Lackawanna,Archbald W-01 P-01,SUPREME COURT RETENTION - DAVID WECHT,,,YES,1,464,320,142,2
Lackawanna,Archbald W-01 P-01,SUPREME COURT RETENTION - DAVID WECHT,,,NO,1,230,192,38,0
Lackawanna,Archbald W-01 P-01,SUPERIOR COURT RETENTION - ALICE BECK DUBOW,,,YES,1,433,298,133,2
Lackawanna,Archbald W-01 P-01,SUPERIOR COURT RETENTION - ALICE BECK DUBOW,,,NO,1,229,194,35,0
Lackawanna,Archbald W-01 P-01,COMMONWEALTH COURT RETENTION - MICHAEL H. WOJCIK,,,YES,1,445,307,136,2
Lackawanna,Archbald W-01 P-01,COMMONWEALTH COURT RETENTION - MICHAEL H. WOJCIK,,,NO,1,221,187,34,0
Lackawanna,Archbald W-01 P-01,COURT OF COMMON PLEAS RETENTION - ANDY JARBOLA,,,YES,1,517,379,136,2
Lackawanna,Archbald W-01 P-01,COURT OF COMMON PLEAS RETENTION - ANDY JARBOLA,,,NO,1,184,138,46,0
Lackawanna,Archbald W-01 P-02,,,,Registered Voters,,1358,,,
Lackawanna,Archbald W-01 P-02,,,,Ballots Cast,,739,524,211,4
Lackawanna,Archbald W-01 P-02,,,,Ballots Cast - Blank,,0,0,0,0
Lackawanna,Archbald W-01 P-02,JUDGE OF THE SUPERIOR COURT,,DEM,BRANDON NEUMAN,1,404,242,160,2
Lackawanna,Archbald W-01 P-02,JUDGE OF THE SUPERIOR COURT,,REP,MARIA BATTISTA,1,281,240,39,2
