county,office,district,party,candidate,votes,election_day,mail,provisional
Chester,Registered Voters,,,,385849,,,
Chester,Ballots Cast,,,,196724,132026,52363,12335
Chester,Ballots Cast Blank,,,,18,8,7,3
Chester,Judge of the Superior Court,,DEM,Brandon Neuman,120796,72314,40634,7848
Chester,Judge of the Superior Court,,REP,Maria Battista,71159,56855,10369,3935
Chester,Judge of the Superior Court,,LBR,Daniel Wassmer,3035,1826,856,353
Chester,Judge of the Superior Court,,,Write-ins,62,42,12,8
Chester,Judge of the Commonwealth Court,,DEM,Stella Tsai,122606,73338,41225,8043
Chester,Judge of the Commonwealth Court,,REP,Matt Wolford,72439,57644,10717,4078
Chester,Judge of the Commonwealth Court,,,Write-ins,67,49,7,11
Chester,Judge of the Court of Common Pleas,,DEM,Mackenzie Smith,122056,72939,41097,8020
Chester,Judge of the Court of Common Pleas,,DEM,"Clay Cauley, Sr.",96565,56063,34911,5591
Chester,Judge of the Court of Common Pleas,,REP,Neill C. Kling,67172,53634,9881,3657
Chester,Judge of the Court of Common Pleas,,REP,Betty A. Ryberg,62640,49753,9628,3259
Chester,Judge of the Court of Common Pleas,,,Write-ins,139,95,33,11
Chester,Judge of the Court of Common Pleas,,DEM,Caroline Bradley,121785,72885,40931,7969
Chester,Judge of the Court of Common Pleas,,REP,Alissa McGrory,72991,57965,10910,4116
Chester,Judge of the Court of Common Pleas,,,Write-ins,54,37,8,9
Chester,Controller,,DEM,Nick Cherubino,120725,72084,40834,7807
Chester,Controller,,REP,Joseph Lorusso,73914,58681,10998,4235
Chester,Controller,,,Write-ins,55,38,7,10
Chester,Controller,,DEM,Sophia Garcia-Jackson,121999,72922,41040,8037
Chester,Controller,,REP,Thomas John Hatzidais,72175,57481,10699,3995
Chester,Controller,,,Write-ins,83,62,7,14
Chester,Prothonotary/Clerk of Courts,,DEM,Alex Christy,121352,72528,40862,7962
Chester,Prothonotary/Clerk of Courts,,REP,Christopher Thomson,72751,57871,10817,4063
Chester,Prothonotary/Clerk of Courts,,,Write-ins,75,56,12,7
Chester,Prothonotary/Clerk of Courts,,DEM,Patricia A. Maisano,118746,71180,39925,7641
Chester,Prothonotary/Clerk of Courts,,REP,Deana Wang,72498,57371,10939,4188
Chester,Prothonotary/Clerk of Courts,,,Write-ins,102,61,25,16
Chester,Magisterial District Judge,District 15-2-01,DEM,James C. Kovaleski,9211,5766,2845,600
Chester,Magisterial District Judge,District 15-2-01,REP,Matthew R. Kline,3513,2754,555,204
Chester,Magisterial District Judge,District 15-2-01,,Write-ins,6,2,2,2
Chester,Magisterial District Judge,District 15-2-03,DEM,Tony diFrancesca,8406,5077,2781,548
Chester,Magisterial District Judge,District 15-2-03,REP,Andy Rongaus,5714,4528,886,300
Chester,Magisterial District Judge,District 15-2-03,,Write-ins,3,1,0,2
Chester,Magisterial District Judge,District 15-3-07,DEM,Joe Heffern,5711,3348,2052,311
Chester,Magisterial District Judge,District 15-3-07,REP,Roseanne Starkey,4162,3374,587,201
Chester,Magisterial District Judge,District 15-3-07,,Write-ins,16,15,0,1
Chester,School Director At Large Owen J. Roberts,,DEM/REP,Sara Evans,8882,5765,2489,628
Chester,School Director At Large Owen J. Roberts,,DEM/REP,April Saboe,8189,5225,2403,561
Chester,School Director At Large Owen J. Roberts,,DEM/REP,David Harmanos,8134,5288,2295,551
Chester,School Director At Large Owen J. Roberts,,DEM/REP,Rita Pederson,8067,5183,2351,533
Chester,School Director At Large Owen J. Roberts,,,Write-ins,491,408,56,27
Chester,School Director At Large Phoenixville,,DEM,Victoria R. Walker,9827,6064,3119,644
Chester,School Director At Large Phoenixville,,DEM/REP,Susan Turner,9103,5772,2753,578
Chester,School Director At Large Phoenixville,,DEM/REP,Scott Overland,8652,5494,2596,562
Chester,School Director At Large Phoenixville,,DEM/REP,Brittany Remington,8550,5426,2589,535
Chester,School Director At Large Phoenixville,,,Write-ins,267,173,70,24
Chester,School Director At Large Oxford Area,,DEM/REP,Andrew Atkinson,4745,3335,1111,299
Chester,School Director At Large Oxford Area,,,Write-ins,1664,1521,71,72
Chester,School Director Avon Grove Region 1,,DEM,Natalie Ortega-Moran,1755,1117,552,86
Chester,School Director Avon Grove Region 1,,DEM,Ruchira Singh,1585,997,512,76
Chester,School Director Avon Grove Region 1,,REP,Mike Woodin,1472,1267,154,51
Chester,School Director Avon Grove Region 1,,REP,Ricky A. Hagar,1137,996,107,34
Chester,School Director Avon Grove Region 1,,,Write-ins,1,1,0,0
Chester,School Director Coatesville Region 3,,DEM/REP,Robin Seagreaves,4177,2539,1474,164
Chester,School Director Coatesville Region 3,,REP,Robert M. Knecht,3483,2772,577,134
Chester,School Director Coatesville Region 3,,,Write-ins,92,60,25,7
Chester,School Director Great Valley Region 1,,DEM,Andrea Rizzo,2947,1708,1004,235
Chester,School Director Great Valley Region 1,,DEM,Stacey Kahan,2573,1457,921,195
Chester,School Director Great Valley Region 1,,REP,Liz Sabo,1495,1130,266,99
Chester,School Director Great Valley Region 1,,REP,Cindy Parthmer,1468,1124,264,80
Chester,School Director Great Valley Region 1,,,Write-ins,12,10,1,1
Chester,School Director Kennett Consolidated Region C,,DEM,Vicki Gehrt,2957,1598,1137,222
Chester,School Director Kennett Consolidated Region C,,REP,Brendan Keane,1398,1040,247,111
Chester,School Director Kennett Consolidated Region C,,REP,Allison DeMajistre,1380,1000,281,99
Chester,School Director Kennett Consolidated Region C,,,Write-ins,1232,773,392,67
Chester,School Director Octorara Region 2,,REP,Kerry Guilford,388,327,47,14
Chester,School Director Octorara Region 2,,DEM/REP,Jere L. Zimmerman,315,189,102,24
Chester,School Director Octorara Region 2,,DEM,Paul LeVasseur,249,128,97,24
Chester,School Director Octorara Region 2,,,Write-ins,5,4,0,1
Chester,School Director Octorara Region 3,,DEM,Brian Fox,1141,682,381,78
Chester,School Director Octorara Region 3,,REP,Donna Dougherty,1037,835,150,52
Chester,School Director Octorara Region 3,,REP,Cindy Reyburn,1023,818,150,55
Chester,School Director Octorara Region 3,,,Write-ins,14,8,4,2
Chester,School Director Spring Ford Region 3,,DEM/REP,Abby Deardorff,769,538,180,51
Chester,School Director Spring Ford Region 3,,DEM/REP,Erica Hermans,634,459,138,37
Chester,School Director Spring Ford Region 3,,,Write-ins,36,35,0,1
Chester,School Director Tredyffrin Easttown Region 3,,DEM,Maryann Piccioni,3343,2069,1036,238
Chester,School Director Tredyffrin Easttown Region 3,,DEM,Julie K. Mesaros,3094,1910,984,200
Chester,School Director Tredyffrin Easttown Region 3,,REP,Christina Laczko,1839,1398,305,136
Chester,School Director Tredyffrin Easttown Region 3,,REP,Deborah Smith Killen,1670,1281,262,127
Chester,School Director Tredyffrin Easttown Region 3,,,Write-ins,2,2,0,0
Chester,School Director Twin Valley Region 2,,REP,Jay Oliver,863,701,129,33
Chester,School Director Twin Valley Region 2,,REP,Tracy M. Phillips,815,641,141,33
Chester,School Director Twin Valley Region 2,,,Write-ins,32,18,12,2
Chester,School Director Unionville Chadds Ford Region A,,DEM/REP,Susan Still Elks,2132,1255,719,158
Chester,School Director Unionville Chadds Ford Region A,,DEM/REP,Joseph P. Everett,1965,1213,618,134
Chester,School Director Unionville Chadds Ford Region A,,,Write-ins,79,50,25,4
Chester,School Director Unionville Chadds Ford Region B,,DEM,Sandra Litvin,2352,1447,771,134
Chester,School Director Unionville Chadds Ford Region B,,DEM/REP,Steven G. Simonson,1769,1193,486,90
Chester,School Director Unionville Chadds Ford Region B,,,Write-ins,72,54,9,9
Chester,School Director West Chester Region 3,,DEM,Laura Detre,6581,3955,2274,352
Chester,School Director West Chester Region 3,,DEM,Beth Campbell,6088,3623,2148,317
Chester,School Director West Chester Region 3,,REP,Ashley Padula,4991,3935,818,238
Chester,School Director West Chester Region 3,,REP,Alain Oliver,4249,3392,661,196
Chester,School Director West Chester Region 3,,,Write-ins,9,6,0,3
Chester,School Director Avon Grove Region 2,,DEM,Katie Leonard,2770,1509,1089,172
Chester,School Director Avon Grove Region 2,,REP,Stephen Sheppleman,2213,1764,333,116
Chester,School Director Avon Grove Region 2,,,Write-ins,2,1,1,0
Chester,School Director Avon Grove Region 3,,DEM,Bill Wood,2044,1276,643,125
Chester,School Director Avon Grove Region 3,,REP,Jules Quartapella,1303,1065,180,58
Chester,School Director Avon Grove Region 3,,,Write-ins,4,4,0,0
Chester,School Director Coatesville Region 1,,DEM,Steven Wilson,4008,2560,1161,287
Chester,School Director Coatesville Region 1,,,Write-ins,90,70,12,8
Chester,School Director Coatesville Region 2,,DEM/REP,Shawna F. Maxwell,6438,3710,2359,369
Chester,School Director Coatesville Region 2,,,Write-ins,147,106,33,8
Chester,School Director Downingtown Region 2,,DEM/REP,Madhu Gurthy,3286,1947,1082,257
Chester,School Director Downingtown Region 2,,,Write-ins,104,74,23,7
Chester,School Director Downingtown Region 4,,DEM,Erin Todorovac,1927,1286,501,140
Chester,School Director Downingtown Region 4,,REP,Margie Miller,1130,911,154,65
Chester,School Director Downingtown Region 4,,,Write-ins,2,0,0,2
