county,precinct,office,district,party,candidate,votes,election_day,mail,provisional,vote_for
Elk,Benezette,Registered Voters,,,,196,,,,
Elk,Benezette,Ballots Cast,,,,122,112,10,0,
Elk,Benezette,Ballots Cast Blank,,,,0,0,0,0,
Elk,Benezette,Judge of the Superior Court,,DEM,BRANDON NEUMAN,26,21,5,0,1
Elk,Benezette,Judge of the Superior Court,,REP,MARIA BATTISTA,84,79,5,0,1
Elk,Benezette,Judge of the Superior Court,,LBR,DANIEL WASSMER,2,2,0,0,1
Elk,Benezette,Judge of the Superior Court,,,Write-ins,1,1,0,0,1
Elk,Benezette,Judge of the Commonwealth Court,,DEM,STELLA TSAI,26,21,5,0,1
Elk,Benezette,Judge of the Commonwealth Court,,REP,MATT WOLFORD,86,81,5,0,1
Elk,Benezette,Judge of the Commonwealth Court,,,Write-ins,1,1,0,0,1
Elk,Benezette,Tax Collector (4 Year),Benezette Township,D/R,TANYA GALLAGHER,109,100,9,0,1
Elk,Benezette,Tax Collector (4 Year),Benezette Township,,Write-ins,5,4,1,0,1
Elk,Benezette,Township Supervisor (6 Year),Benezette Township,,Write-ins,102,97,5,0,1
Elk,Benezette,Township Auditor (6 Year),Benezette Township,,Write-ins,30,29,1,0,1
Elk,Benezette,Township Auditor (4 Year),Benezette Township,,Write-ins,25,25,0,0,1
Elk,Benezette,Judge of Elections (4 Year),,REP,LEIGH ANN COPELLO,102,94,8,0,1
Elk,Benezette,Judge of Elections (4 Year),,,Write-ins,2,2,0,0,1
Elk,Benezette,Inspector of Elections (4 Year),,DEM,BRENDA MAHOLTZ,92,86,6,0,1
Elk,Benezette,Inspector of Elections (4 Year),,,Write-ins,6,5,1,0,1
Elk,Benezette,School Director Region 3 (4 Year),St Marys Area,D/R,CHRISSY KEEBLER,108,100,8,0,1
Elk,Benezette,School Director Region 3 (4 Year),St Marys Area,,Write-ins,3,3,0,0,1
Elk,Benezette,School Director Region 3 (2 Year),St Marys Area,D/R,JEFF GAVAZZI,100,92,8,0,1
Elk,Benezette,School Director Region 3 (2 Year),St Marys Area,,Write-ins,3,3,0,0,1
Elk,Benezette,Supreme Court Retention - Christine Donohue,,,Yes,41,34,7,0,1
Elk,Benezette,Supreme Court Retention - Christine Donohue,,,No,74,71,3,0,1
Elk,Benezette,Supreme Court Retention - Kevin M Dougherty,,,Yes,38,31,7,0,1
Elk,Benezette,Supreme Court Retention - Kevin M Dougherty,,,No,73,71,2,0,1
Elk,Benezette,Supreme Court Retention - David Wecht,,,Yes,37,30,7,0,1
Elk,Benezette,Supreme Court Retention - David Wecht,,,No,73,70,3,0,1
Elk,Benezette,Superior Court Retention - Alice Beck Dubow,,,Yes,39,31,8,0,1
Elk,Benezette,Superior Court Retention - Alice Beck Dubow,,,No,70,68,2,0,1
Elk,Benezette,Commonwealth Court Retention - Michael H Wojcik,,,Yes,40,32,8,0,1
Elk,Benezette,Commonwealth Court Retention - Michael H Wojcik,,,No,68,66,2,0,1
Elk,Fox #1,Registered Voters,,,,1296,,,,
Elk,Fox #1,Ballots Cast,,,,540,436,103,1,
Elk,Fox #1,Ballots Cast Blank,,,,0,0,0,0,
Elk,Fox #1,Judge of the Superior Court,,DEM,BRANDON NEUMAN,172,105,66,1,1
Elk,Fox #1,Judge of the Superior Court,,REP,MARIA BATTISTA,350,321,29,0,1
Elk,Fox #1,Judge of the Superior Court,,LBR,DANIEL WASSMER,10,5,5,0,1
Elk,Fox #1,Judge of the Superior Court,,,Write-ins,1,1,0,0,1
Elk,Fox #1,Judge of the Commonwealth Court,,DEM,STELLA TSAI,183,111,71,1,1
Elk,Fox #1,Judge of the Commonwealth Court,,REP,MATT WOLFORD,347,318,29,0,1
Elk,Fox #1,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0,1
Elk,Fox #1,Tax Collector (4 Year),Fox Township,D/R,JILL L PRITT,524,423,100,1,1
Elk,Fox #1,Tax Collector (4 Year),Fox Township,,Write-ins,7,6,1,0,1
Elk,Fox #1,Township Supervisor (6 Year),Fox Township,REP,MATTHEW D PONTZER,470,395,74,1,1
Elk,Fox #1,Township Supervisor (6 Year),Fox Township,,Write-ins,19,11,8,0,1
Elk,Fox #1,Township Auditor (6 Year),Fox Township,,Write-ins,44,38,6,0,1
Elk,Fox #1,Township Auditor (2 Year),Fox Township,,Write-ins,52,47,5,0,1
Elk,Fox #1,Judge of Elections (4 Year),,DEM,MARLENE GLANTZ,338,249,88,1,1
Elk,Fox #1,Judge of Elections (4 Year),,,Write-ins,18,18,0,0,1
