county,office,district,party,candidate,votes,election_day,mail,provisional
Venango,Registered Voters,,,,32748,,,
Venango,Ballots Cast,,,,15636,12810,2782,44
Venango,Ballots Cast Blank,,,,4,4,0,0
Venango,Judge of the Superior Court,,DEM,BRANDON NEUMAN,4656,2999,1642,15
Venango,Judge of the Superior Court,,REP,MARIA BATTISTA,10037,9073,942,22
Venango,Judge of the Superior Court,,LBR,DANIEL WASSMER,358,276,78,4
Venango,Judge of the Superior Court,,,Write-ins,23,18,5,0
Venango,Judge of the Superior Court,,,Overvotes,32,25,6,1
Venango,Judge of the Superior Court,,,Undervotes,530,419,109,2
Venango,Judge of the Commonwealth Court,,DEM,STELLA TSAI,4804,3101,1686,17
Venango,Judge of the Commonwealth Court,,REP,MATT WOLFORD,10254,9244,985,25
Venango,Judge of the Commonwealth Court,,,Write-ins,63,58,5,0
Venango,Judge of the Commonwealth Court,,,Overvotes,11,11,0,0
Venango,Judge of the Commonwealth Court,,,Undervotes,504,396,106,2
Venango,Magisterial District Judge,Magisterial District 28-3-01,DEM/REP,ANDREW F FISH,5966,4961,992,13
Venango,Magisterial District Judge,Magisterial District 28-3-01,,Write-ins,97,83,12,2
Venango,Magisterial District Judge,Magisterial District 28-3-01,,Overvotes,4,3,1,0
Venango,Magisterial District Judge,Magisterial District 28-3-01,,Undervotes,682,554,121,7
Venango,Magisterial District Judge,Magisterial District 28-3-03,DEM/REP,KEVIN SARAGIAN,3478,2739,733,6
Venango,Magisterial District Judge,Magisterial District 28-3-03,,Write-ins,62,51,11,0
Venango,Magisterial District Judge,Magisterial District 28-3-03,,Overvotes,1,0,1,0
Venango,Magisterial District Judge,Magisterial District 28-3-03,,Undervotes,618,475,137,6
Venango,District Attorney,,REP,SHAWN WHITE,13217,11172,2014,31
Venango,District Attorney,,,Write-ins,305,258,44,3
Venango,District Attorney,,,Overvotes,12,10,1,1
Venango,District Attorney,,,Undervotes,2102,1370,723,9
Venango,Sheriff,,REP,ERIC FOY,13413,11342,2037,34
Venango,Sheriff,,,Write-ins,249,204,43,2
Venango,Sheriff,,,Overvotes,10,7,2,1
Venango,Sheriff,,,Undervotes,1964,1257,700,7
Venango,Sheriff,,REP,CHRISTINA M RUGH,13700,11524,2138,38
Venango,Sheriff,,,Write-ins,180,147,32,1
Venango,Sheriff,,,Overvotes,8,7,1,0
Venango,Sheriff,,,Undervotes,1748,1132,611,5
Venango,Sheriff,,REP,CORI R SHARPE,13344,11272,2034,38
Venango,Sheriff,,,Write-ins,173,140,32,1
Venango,Sheriff,,,Overvotes,4,4,0,0
Venango,Sheriff,,,Undervotes,2115,1394,716,5
Venango,Mayor Franklin,,REP,DOUGLAS A BAKER,1342,1033,309,0
Venango,Mayor Franklin,,,Write-ins,49,38,11,0
Venango,Mayor Franklin,,,Overvotes,1,1,0,0
Venango,Mayor Franklin,,,Undervotes,240,146,92,2
Venango,City Council At Large FKLN Franklin,,DEM,JAMES O JOHNSON,802,518,284,0
Venango,City Council At Large FKLN Franklin,,DEM,ELIJAH DAUBENSPECK,756,499,257,0
Venango,City Council At Large FKLN Franklin,,REP,CHRISTIAN MARSHALL,1007,799,208,0
Venango,City Council At Large FKLN Franklin,,REP,TRAVIS YOUNG,771,640,131,0
Venango,City Council At Large FKLN Franklin,,,Write-ins,33,31,2,0
Venango,City Council At Large FKLN Franklin,,,Overvotes,6,3,3,0
Venango,City Council At Large FKLN Franklin,,,Undervotes,1521,1164,351,6
Venango,City Council At Large OC Oil City,,DEM,HILARY WISNIEWSKI,1024,715,305,4
Venango,City Council At Large OC Oil City,,DEM,LAURA ORDAZ,951,660,286,5
Venango,City Council At Large OC Oil City,,REP,RON GUSTAFSON,1267,1100,162,5
Venango,City Council At Large OC Oil City,,REP,PAUL T MYERS,910,799,109,2
Venango,City Council At Large OC Oil City,,,Write-ins,17,13,4,0
Venango,City Council At Large OC Oil City,,,Overvotes,8,2,6,0
