county,precinct,office,district,party,candidate,votes,election_day,mail,provisional,vote_for
Lawrence,New Castle 1-1,Registered Voters,,,,499,,,,
Lawrence,New Castle 1-1,Ballots Cast,,,,133,97,35,1,
Lawrence,New Castle 1-1,Ballots Cast Blank,,,,0,0,0,0,
Lawrence,New Castle 1-1,Judge of the Superior Court,,DEM,BRANDON NEUMAN,72,47,24,1,1
Lawrence,New Castle 1-1,Judge of the Superior Court,,REP,MARIA BATTISTA,47,38,9,0,1
Lawrence,New Castle 1-1,Judge of the Superior Court,,LBR,DANIEL WASSMER,6,4,2,0,1
Lawrence,New Castle 1-1,Judge of the Superior Court,,,Write-ins,0,0,0,0,1
Lawrence,New Castle 1-1,Judge of the Commonwealth Court,,DEM,STELLA TSAI,79,51,27,1,1
Lawrence,New Castle 1-1,Judge of the Commonwealth Court,,REP,MATT WOLFORD,45,37,8,0,1
Lawrence,New Castle 1-1,Judge of the Commonwealth Court,,,Write-ins,0,0,0,0,1
Lawrence,New Castle 1-1,Judge of the Court of Common Pleas,,DEM,BRADLEY G OLSON JR,75,51,23,1,3
Lawrence,New Castle 1-1,Judge of the Court of Common Pleas,,DEM,JAMES W MANOLIS,73,49,24,0,3
Lawrence,New Castle 1-1,Judge of the Court of Common Pleas,,D/R,DEBORAH SHAW,56,36,20,0,3
Lawrence,New Castle 1-1,Judge of the Court of Common Pleas,,REP,LARRY KEITH,47,38,9,0,3
Lawrence,New Castle 1-1,Judge of the Court of Common Pleas,,REP,WILLIAM BILL FLANNERY,43,33,9,1,3
Lawrence,New Castle 1-1,Judge of the Court of Common Pleas,,,Write-ins,0,0,0,0,3
Lawrence,New Castle 1-1,District Attorney,,D/R,JOSHUA LAMANCUSA,115,82,32,1,1
Lawrence,New Castle 1-1,District Attorney,,,Write-ins,1,1,0,0,1
Lawrence,New Castle 1-1,Register and Recorder,,D/R,TAMMY R CRAWFORD,106,77,28,1,1
Lawrence,New Castle 1-1,Register and Recorder,,,Write-ins,2,2,0,0,1
Lawrence,New Castle 1-1,Sheriff,,D/R,VINCENT MARTWINSKI,106,76,29,1,1
Lawrence,New Castle 1-1,Sheriff,,,Write-ins,2,2,0,0,1
Lawrence,New Castle 1-1,Magisterial District Judge,53-1-1,D/R,MELISSA A AMODIE,116,83,32,1,1
Lawrence,New Castle 1-1,Magisterial District Judge,53-1-1,,Write-ins,1,0,1,0,1
Lawrence,New Castle 1-1,City Council (4 Year),New Castle,DEM,DAVID WARD,72,49,22,1,3
Lawrence,New Castle 1-1,City Council (4 Year),New Castle,DEM,DAVID A ESPOSITO,66,46,20,0,3
Lawrence,New Castle 1-1,City Council (4 Year),New Castle,DEM,ERIC RITTER,56,32,23,1,3
Lawrence,New Castle 1-1,City Council (4 Year),New Castle,REP,ERIC FRANCIS,47,39,8,0,3
Lawrence,New Castle 1-1,City Council (4 Year),New Castle,CON,BILL MESSNER,19,15,4,0,3
Lawrence,New Castle 1-1,City Council (4 Year),New Castle,CON,RANDY DUFFORD,16,12,4,0,3
Lawrence,New Castle 1-1,City Council (4 Year),New Castle,,Write-ins,5,4,1,0,3
Lawrence,New Castle 1-1,City Council (2 Year),New Castle,DEM,DAVID A ESPOSITO,78,53,24,1,1
Lawrence,New Castle 1-1,City Council (2 Year),New Castle,REP,ERIC FRANCIS,35,31,4,0,1
Lawrence,New Castle 1-1,City Council (2 Year),New Castle,CON,RANDY DUFFORD,13,8,5,0,1
Lawrence,New Castle 1-1,City Council (2 Year),New Castle,,Write-ins,2,1,1,0,1
Lawrence,New Castle 1-1,Judge of Elections,,,Write-ins,8,6,2,0,1
Lawrence,New Castle 1-1,Inspector of Elections,,,Write-ins,5,3,2,0,1
Lawrence,New Castle 1-1,School Director (4 Year),New Castle Area,D/R,PAUL A FULENA,76,46,29,1,4
Lawrence,New Castle 1-1,School Director (4 Year),New Castle Area,D/R,ROBERT E LYLES,71,46,25,0,4
